unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781162771,23.40,86597556,12.46,635,1572864,182304,77,0,0,221184,0,6,5,17
1781162773,42.06,86620848,12.46,668,1572864,182688,74,10950,54320,7847936,31002624,14,13,17
1781162775,28.06,86776640,11.87,455,1572864,182496,76,9349,44170,4001792,185257984,14,13,17
1781162777,15.43,86867576,11.87,486,1572864,182592,77,7515,9741,2449408,286720,14,13,17
1781162779,15.13,86789888,11.87,516,1572864,182496,80,13491,30363,3919872,62287872,14,13,17
1781162781,19.15,86833124,11.40,540,1572864,182496,81,12261,17171,7106560,1859584,14,13,17
1781162783,14.09,86841560,11.40,561,1572864,182592,86,7361,5672,757760,282624,14,13,17
1781162785,15.40,86888112,10.96,587,1572864,182688,86,8409,11770,1015808,20815872,14,13,17
1781162787,15.10,86930692,10.96,603,1572864,182688,90,11215,5431,3747840,1400832,14,13,17
1781162789,14.43,86925712,10.33,618,1572864,182592,92,17070,10757,1884160,14524416,14,13,17
1781162791,14.66,86892984,10.33,636,1572864,182592,91,11203,4103,1495040,1802240,14,13,17
1781162793,14.60,86958264,10.33,655,1572864,182496,99,13076,6986,2416640,1544192,14,13,17
1781162795,14.83,86978916,9.98,556,1572864,182496,95,12015,5308,1052672,17518592,14,13,17
1781162797,14.72,86979876,9.98,565,1572864,182592,95,13585,4834,1073152,1679360,14,13,17
1781162799,16.22,86937252,9.66,584,1572864,182688,101,16761,8804,1400832,7024640,14,13,17
1781162801,14.72,86912896,9.66,600,1572864,182688,105,12362,6106,1282048,141352960,14,13,17
1781162804,14.76,86825772,9.66,615,1572864,182592,108,12540,7943,749568,282624,14,13,17
1781162806,13.40,86808136,9.13,630,1572864,182496,111,14470,12137,1032192,109510656,14,13,17
1781162808,15.11,86775012,9.13,648,1572864,182400,118,17499,9258,946176,1765376,14,13,17
1781162811,27.90,86774916,9.20,675,1572864,182880,118,12702,9535,1261568,21942272,15,14,17
1781162813,16.83,86703844,9.20,696,1572864,183168,127,17221,9689,2134016,8781824,15,14,17
1781162815,18.29,86622684,9.18,738,1572864,182880,118,9833,5274,1392640,16654336,15,14,17
1781162817,17.97,86629900,9.18,756,1572864,183264,122,15245,7759,1044480,5316608,15,14,17
1781162819,20.49,86611700,9.25,775,1572864,183360,113,12395,10270,2457600,10321920,15,14,17
1781162821,17.46,86553964,9.25,784,1572864,183264,113,10381,2391,1449984,21250048,15,14,17
1781162823,17.53,86522748,9.25,802,1572864,183264,115,13955,6343,1167360,10088448,15,14,17
1781162825,16.26,86544580,9.39,812,1572864,183456,117,11670,5631,1060864,5459968,15,14,17
1781162827,19.77,86540400,9.39,827,1572864,183456,113,12986,4970,1155072,134860800,15,14,17
1781162829,17.25,86548088,9.39,843,1572864,183360,118,16106,8100,1458176,6152192,15,14,17
1781162831,17.33,86572068,9.20,856,1572864,183168,118,12037,5978,1241088,30126080,15,14,17
1781162833,18.23,86598948,9.20,880,1572864,183072,123,12223,5731,1994752,132870144,15,14,17
1781162835,17.80,86563464,8.86,895,1572864,182880,124,12422,8031,1527808,10747904,15,14,17
1781162837,17.30,86602628,8.86,910,1572864,183072,125,11440,4769,1495040,6262784,15,14,17
1781162839,16.29,86617960,8.86,928,1572864,183072,123,17166,8195,1114112,385024,15,14,17
1781162841,18.04,86709680,8.79,942,1572864,182976,127,12949,5441,1126400,26742784,15,14,17
1781162843,19.19,87017772,8.79,959,1572864,183072,129,14090,26647,1458176,2891776,15,14,17
1781162845,15.86,86726616,8.57,975,1572864,183072,134,11850,5251,1007616,4907008,15,14,17
1781162847,14.85,86779436,8.57,987,1572864,182880,130,16493,7572,974848,7032832,15,14,17
1781162849,15.88,86747248,8.20,1004,1572864,182784,135,17044,11599,1015808,1961984,15,14,17
1781162851,15.68,86792632,8.20,1016,1572864,182880,130,11030,4206,2068480,5357568,15,14,17
1781162853,16.45,86754200,8.20,1037,1572864,182784,137,12843,6911,1232896,369131520,15,14,17
1781162855,17.10,86725696,8.02,499,1572864,182784,133,12780,5681,917504,3166208,15,14,17
1781162857,16.42,86660016,8.02,510,1572864,182880,134,13527,5803,1392640,26963968,15,14,17
1781162859,15.51,86743348,7.70,529,1572864,182880,126,16463,8244,2109440,20131840,15,14,17
1781162861,15.83,86759684,7.70,543,1572864,182688,129,12508,5986,3448832,6807552,15,14,17
1781162863,14.86,86681016,7.70,558,1572864,182880,124,12667,8753,1007616,802816,15,14,17
1781162865,14.62,86703416,7.73,575,1572864,182784,130,12705,5797,851968,970752,15,14,17
1781162867,14.80,86706048,7.73,590,1572864,182688,129,11752,5371,1146880,7065600,15,14,17
1781162869,13.70,86698684,7.51,605,1572864,182784,132,15798,7457,1249280,1531904,15,14,17
1781162871,14.32,86741504,7.51,621,1572864,182592,119,12709,5558,1179648,6684672,15,14,17
1781162873,14.77,86753016,7.51,640,1572864,182688,127,12199,6287,1060864,21860352,15,14,17
1781162876,15.13,86708404,7.31,653,1572864,182592,119,13903,7341,1626112,105795584,15,14,17
1781162878,15.79,86694260,7.31,669,1572864,182496,123,12139,5620,1273856,7098368,15,14,17
1781162880,14.47,86662008,7.28,691,1572864,182688,118,16225,10794,1499136,70135808,15,14,17
1781162882,14.96,86686212,7.28,703,1572864,182880,119,11058,4269,3260416,28622848,15,14,17
1781162884,15.67,86648408,7.28,722,1572864,182688,125,12089,6847,2625536,16781312,15,14,17
1781162886,14.77,86701768,7.34,740,1572864,182688,132,11839,5521,1019904,1589248,15,14,17
1781162888,15.37,86709892,7.34,752,1572864,182880,134,13154,5175,1167360,5763072,15,14,17
1781162890,13.62,86706340,7.15,770,1572864,182688,134,16583,8748,1523712,2994176,15,14,17
1781162892,15.29,86714768,7.15,786,1572864,182880,138,12502,4913,1339392,5554176,15,14,17
1781162894,14.53,86686608,7.15,802,1572864,182880,133,12698,8146,770048,14741504,15,14,17
1781162896,13.76,86696236,7.22,817,1572864,182976,139,12942,6289,1101824,1511424,15,14,17
1781162898,14.19,86663088,7.22,835,1572864,182976,136,18101,7932,1650688,5931008,15,14,17
1781162900,14.17,86718144,7.28,848,1572864,183072,133,12197,4779,1888256,2330624,15,14,17
1781162902,14.17,86654440,7.28,860,1572864,183072,136,13381,5549,2666496,124342272,15,14,17
1781162904,14.85,86587968,7.28,879,1572864,182880,132,14433,6268,1224704,16150528,15,14,17
1781162906,13.52,86552672,7.50,890,1572864,182976,134,12820,5249,937984,5619712,15,14,17
1781162908,14.60,86668316,7.50,910,1572864,182976,133,17831,10998,1314816,78704640,15,14,17
1781162910,15.41,86687088,7.38,925,1572864,183072,138,13407,6463,1634304,471040,15,14,17
1781162912,14.66,86673788,7.38,934,1572864,183168,139,13306,5145,1413120,6475776,15,14,17
1781162914,12.86,86706976,7.38,954,1572864,183264,132,13455,5720,1601536,1425408,15,14,17
1781162916,13.34,86689616,7.19,970,1572864,183072,138,13186,5180,1925120,905216,15,14,17
1781162918,13.17,86663156,7.19,545,1572864,182976,136,19245,9809,1130496,5668864,15,14,17
1781162920,13.16,86714688,7.01,562,1572864,183168,138,12552,4959,1028096,24080384,15,14,17
1781162922,12.12,86659760,7.01,576,1572864,183072,137,12804,5534,1286144,5386240,15,14,17
1781162924,13.80,86663020,7.01,595,1572864,182976,141,13481,9452,1265664,2166784,15,14,17
1781162926,13.42,86695060,7.25,614,1572864,182880,134,15561,6929,1220608,1712128,15,14,17
1781162928,15.71,86687284,7.25,637,1572864,183072,139,16797,11557,937984,164438016,15,14,17
1781162930,21.01,86696408,8.35,653,1572864,183072,137,11903,9217,1060864,41668608,15,14,17
