unix_ts,namespace,pod,cpu_m,mem_mib
1781162787,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162787,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162787,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162787,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162787,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162787,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162787,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162789,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162789,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162789,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162789,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162789,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162789,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162789,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162791,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162791,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162791,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162791,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162791,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162791,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162791,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162793,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162793,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162793,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162793,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162793,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162793,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162793,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162795,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162795,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162795,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162795,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162795,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162795,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162795,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162797,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162797,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162797,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162797,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162797,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162797,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162797,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162799,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162799,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162799,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162799,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162799,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162799,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162799,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162801,gsm-cal,osmo-bsc-594654bd47-2x8bq,7,5
1781162801,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,10,5
1781162801,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162801,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162801,gsm-cal,osmo-mobile-7f9874b89b-k27kr,17,33
1781162801,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162801,gsm-cal,virtphy-7d9cdbf75-qphn5,6,1
1781162804,gsm-cal,msc-test-stub-5b875d749d-94sv9,8,16
1781162804,gsm-cal,osmo-bsc-594654bd47-2x8bq,2,5
1781162804,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,16,5
1781162804,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162804,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162804,gsm-cal,osmo-mobile-7f9874b89b-k27kr,3,33
1781162804,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162804,gsm-cal,virtphy-7d9cdbf75-qphn5,7,1
1781162806,gsm-cal,msc-test-stub-5b875d749d-94sv9,8,16
1781162806,gsm-cal,osmo-bsc-594654bd47-2x8bq,2,5
1781162806,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,16,5
1781162806,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162806,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162806,gsm-cal,osmo-mobile-7f9874b89b-k27kr,3,33
1781162806,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162806,gsm-cal,virtphy-7d9cdbf75-qphn5,7,1
1781162808,gsm-cal,msc-test-stub-5b875d749d-94sv9,8,16
1781162808,gsm-cal,osmo-bsc-594654bd47-2x8bq,2,5
1781162808,gsm-cal,osmo-bts-virtual-5f8b9b86fc-lm76z,16,5
1781162808,gsm-cal,osmo-hlr-546bdb8988-gj92l,3,2
1781162808,gsm-cal,osmo-mgw-8c8fc67d6-rghhv,1,2
1781162808,gsm-cal,osmo-mobile-7f9874b89b-k27kr,3,33
1781162808,gsm-cal,osmo-stp-768687f494-p2p75,1,2
1781162808,gsm-cal,virtphy-7d9cdbf75-qphn5,7,1
1781162811,gsm-cal,msc-test-stub-5b875d749d-94sv9,8,16
