namespace,phase,unix_ts
gsm-1,t0,1780641899.520603364
gsm-1,t_apply,1780641902.038999048
gsm-1,t_ready,1780641938.877951208
gsm-1,t_attached,1780641939.261959759
gsm-1,t_test0,1780641939.263081587
gsm-1,t_testN,1780642301.773586686
gsm-1,t_teardown,1780642353.343922173
gsm-2,t0,1780641899.521164638
gsm-2,t_apply,1780641902.267834536
gsm-2,t_ready,1780641938.895066959
gsm-2,t_attached,1780641939.262539085
gsm-2,t_test0,1780641939.263680510
gsm-2,t_testN,1780642210.531266754
gsm-2,t_teardown,1780642262.472586319
