unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780641900,25.00,61992764,15.71,581,1572864,156000,52,0,0,53248,135168,0,0,10
1780641902,59.01,61969808,17.33,638,1572864,156480,56,12765,104062,16420864,58208256,0,0,10
1780641904,78.78,62491852,17.33,702,1572864,156960,56,12449,87349,4509696,51105792,0,0,10
1780641906,93.22,63565872,22.11,604,1572864,156864,52,7440,37807,6893568,85499904,0,0,10
1780641908,61.65,63879920,22.11,546,1572864,156576,57,7199,33859,147456,1376256,0,0,10
1780641909,61.69,63072388,22.11,559,1572864,156384,60,11465,26134,102400,29224960,0,0,10
1780641911,38.08,62899924,21.94,593,1572864,156672,61,7156,6134,569344,17350656,0,0,10
1780641913,28.39,62793156,21.94,641,1572864,156576,69,2167,3080,0,25776128,0,0,10
1780641915,35.00,62704664,21.94,715,1572864,156768,71,6481,10196,102400,33333248,0,0,10
1780641916,35.65,62769908,21.31,745,1572864,156960,78,6722,20820,40960,42680320,0,0,10
1780641918,30.07,62696768,21.31,733,1572864,157248,84,10451,8425,0,1925120,0,0,10
1780641920,52.18,63048420,24.16,770,1572864,157248,87,6777,3826,45056,3399680,0,0,10
1780641922,79.21,64040100,24.16,797,1572864,157152,93,15232,20416,8192,66011136,0,0,10
1780641924,56.55,64147760,24.16,814,1572864,157248,97,17514,6486,0,18030592,0,0,10
1780641926,59.56,63911008,24.47,827,1572864,157152,100,14026,5611,4096,2457600,0,0,10
1780641927,47.11,63526876,24.47,847,1572864,156960,107,16144,7347,4096,72441856,0,0,10
1780641929,36.05,63429684,24.47,858,1572864,156864,110,17653,9886,32768,29302784,0,0,10
1780641931,32.77,63292772,24.03,874,1572864,157056,118,9954,3693,0,49909760,0,0,10
1780641933,33.85,62992416,24.03,888,1572864,157152,125,12590,6832,487424,76947456,0,0,10
1780641935,31.18,62935860,24.03,904,1572864,157152,131,12110,18634,0,3911680,0,0,10
1780641936,28.44,62801284,23.15,920,1572864,156960,139,10639,6554,73728,31150080,0,0,10
1780641938,34.63,62728252,23.15,925,1572864,156960,128,14366,7279,0,28266496,0,0,10
1780641940,94.51,63560228,25.62,962,1572864,156864,137,13282,6507,602112,13467648,0,0,10
1780641942,65.33,63709688,25.62,1035,1572864,157632,143,12967,12188,1437696,6721536,0,0,10
