namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-589b74d577-qpp6b,msc-test-stub,5,false,137
gsm-1,osmo-bsc-594654bd47-pnslz,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-x7zc8,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-76d9565554-lw8fn,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-vv8db,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-fhs6d,mobile,0,false,
gsm-1,osmo-stp-768687f494-gw987,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-7-3-1-2-w6ndc,ttcn3,0,false,
gsm-1,ttcn3-tc-26-7-4-4-3-cb62h,ttcn3,0,false,
gsm-1,ttcn3-tc-26-8-1-3-2-1-1-z5f7n,ttcn3,0,false,
gsm-1,virtphy-858665df6d-gmpjf,virtphy,0,false,
