unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780641900,36.67,61975460,15.71,585,1572864,155904,56,0,0,24576,180224,0,0,10
1780641902,59.49,61971068,17.33,638,1572864,156576,56,12765,104062,16396288,58236928,0,0,10
1780641904,78.83,62491852,17.33,702,1572864,156960,56,12449,87349,4509696,52707328,0,0,10
1780641906,92.77,63576004,22.11,604,1572864,156864,52,7496,37807,6893568,83824640,0,0,10
1780641908,61.46,63882352,22.11,546,1572864,156576,57,11441,36523,147456,3067904,0,0,10
1780641909,61.62,63072832,22.11,591,1572864,156384,60,9404,26060,102400,27693056,0,0,10
1780641911,37.35,62894656,21.94,594,1572864,156672,61,4919,3544,569344,17305600,0,0,10
1780641913,28.35,62797264,21.94,641,1572864,156576,69,2167,3080,0,25661440,0,0,10
1780641915,35.15,62705668,21.94,715,1572864,156768,71,6481,10196,102400,33333248,0,0,10
1780641916,35.66,62769908,21.31,745,1572864,156960,78,6722,20820,40960,42680320,0,0,10
1780641918,30.08,62696768,21.31,733,1572864,157248,84,10451,8425,0,1925120,0,0,10
1780641920,52.10,63048704,24.16,770,1572864,157248,87,6777,3826,45056,3399680,0,0,10
1780641922,79.04,64036860,24.16,797,1572864,157152,93,15232,20416,8192,66011136,0,0,10
1780641924,56.53,64147760,24.16,814,1572864,157248,97,17514,6486,0,18030592,0,0,10
1780641926,59.57,63910988,24.47,827,1572864,157152,100,14026,5611,4096,2457600,0,0,10
1780641927,47.09,63518812,24.47,847,1572864,156960,107,16144,7347,4096,72441856,0,0,10
1780641929,36.04,63429684,24.47,858,1572864,156864,110,17653,9886,32768,29302784,0,0,10
1780641931,32.76,63292772,24.03,874,1572864,157056,118,9887,3693,0,49909760,0,0,10
1780641933,33.86,62992416,24.03,888,1572864,157152,125,12657,6832,487424,76947456,0,0,10
1780641935,31.17,62935920,24.03,904,1572864,157152,131,12110,18634,0,3911680,0,0,10
1780641936,28.45,62801536,23.15,920,1572864,156960,139,10639,6554,73728,31674368,0,0,10
1780641938,35.47,62728216,23.15,925,1572864,156960,128,14366,7279,0,27742208,0,0,10
1780641940,94.44,63580084,25.62,962,1572864,156864,137,13483,6507,602112,13467648,0,0,10
1780641942,64.68,63711668,25.62,1035,1572864,157632,143,12900,12188,1437696,6721536,0,0,10
1780641944,49.31,63517244,25.62,1053,1572864,157344,147,11358,8958,139264,119185408,0,0,10
1780641945,35.89,63206652,25.01,1070,1572864,157248,155,12683,6566,0,27860992,0,0,10
1780641947,28.67,63215768,25.01,1140,1572864,157440,155,10718,4051,1146880,41635840,0,0,10
1780641949,30.14,63180996,25.01,1152,1572864,157440,167,13091,6430,1650688,4030464,0,0,10
1780641951,29.57,63138776,24.21,1177,1572864,157536,170,12249,6301,778240,17412096,0,0,10
1780641952,67.65,63095180,24.21,1194,1572864,157632,178,13635,6373,0,21020672,0,0,10
1780641954,64.10,63094144,24.21,1213,1572864,157440,187,12183,6929,135168,52207616,0,0,10
1780641956,78.20,62997004,25.95,1221,1572864,157152,188,11574,4200,0,25903104,0,0,10
1780641958,52.84,62931076,25.95,1239,1572864,157056,194,18496,8704,94208,42446848,0,0,10
1780641960,27.12,62965944,25.95,1251,1572864,157152,197,11847,8645,4096,76201984,0,0,10
1780641961,25.01,63152416,25.64,1262,1572864,157152,204,12412,5674,4096,85143552,0,0,10
1780641963,25.65,63145640,25.64,1277,1572864,157344,206,11100,5154,12288,242778112,0,0,10
1780641965,24.81,63226044,24.54,1288,1572864,156864,214,7473,3001,20480,205799424,0,0,10
1780641967,25.40,59400144,24.54,1308,1572864,157056,219,11007,5906,0,3624960,0,0,10
1780641968,23.82,59368532,24.54,1317,1572864,157152,222,15281,7781,8192,30449664,0,0,10
1780641970,25.09,59411040,23.62,1332,1572864,157248,231,12442,8183,0,89157632,0,0,10
1780641972,25.52,59653872,23.62,1347,1572864,157248,231,10587,6261,0,25878528,0,0,10
1780641974,24.11,59739356,23.62,1364,1572864,157344,236,39485,8168,0,1974272,0,0,10
1780641975,24.85,59793752,22.61,1387,1572864,157344,234,62127,6371,0,30547968,0,0,10
1780641977,26.10,59778120,22.61,1400,1572864,157440,239,61605,5034,24576,29900800,0,0,10
1780641979,25.30,59745252,22.61,666,1572864,157440,227,62440,5460,0,1290240,0,0,10
1780641981,24.35,59761836,21.52,678,1572864,157536,236,62672,5851,4096,59744256,0,0,10
1780641983,25.01,59774032,21.52,695,1572864,157536,246,62292,6034,0,60506112,0,0,10
1780641984,23.47,59784244,21.52,711,1572864,157440,245,19214,6858,0,2359296,0,0,10
1780641986,24.25,59689924,20.60,720,1572864,157248,248,9091,4495,0,17440768,0,0,10
1780641988,23.76,59467080,20.60,733,1572864,157344,242,17642,9854,4096,51109888,0,0,10
1780641990,24.53,59113324,20.60,751,1572864,157344,249,10025,9000,16384,29974528,0,0,10
1780641991,23.30,59177704,21.11,763,1572864,157536,241,10807,6135,0,29745152,0,0,10
1780641993,25.56,59240132,21.11,786,1572864,157344,251,10029,6086,0,64208896,0,0,10
1780641995,24.41,59453200,20.14,797,1572864,157536,255,5552,2210,0,2179072,0,0,10
1780641997,23.35,59473300,20.14,813,1572864,157824,244,11300,5528,0,32288768,0,0,10
1780641999,24.83,59507152,20.14,830,1572864,157824,248,15552,7848,0,109621248,0,0,10
1780642000,24.61,59472612,19.33,847,1572864,158016,244,10408,5520,4096,47357952,0,0,10
1780642002,24.38,59514308,19.33,863,1572864,157824,253,10874,5686,12288,75452416,0,0,10
1780642004,24.87,59537036,19.33,875,1572864,157920,242,9242,7871,16384,108298240,0,0,10
1780642006,24.72,59520440,18.82,898,1572864,158016,252,10729,6236,102400,1871872,0,0,10
1780642007,23.15,59557156,18.82,916,1572864,158016,250,9860,4770,172032,11964416,0,0,10
1780642009,24.78,59450064,18.82,933,1572864,158112,251,14705,8781,8192,60604416,0,0,10
1780642011,25.60,59435708,18.35,950,1572864,157824,259,5614,2190,28672,4669440,0,0,10
1780642013,27.75,59414976,18.35,970,1572864,157824,246,11195,19343,4096,6647808,0,0,10
1780642014,40.72,59424244,18.35,1000,1572864,157728,254,11493,9410,0,51535872,0,0,10
1780642016,27.52,59452012,17.92,1011,1572864,157728,243,10386,8166,0,4497408,0,0,10
1780642018,29.42,59506032,17.92,1025,1572864,157536,249,16105,8013,4096,44634112,0,0,10
1780642020,29.70,59447080,17.92,1036,1572864,157632,242,12852,15662,7835648,67575808,0,0,10
1780642021,30.72,59286368,17.77,1052,1572864,157728,251,12967,12608,1671168,70881280,0,0,10
1780642023,30.08,58977148,17.77,1065,1572864,157536,259,12522,6272,4096,10207232,0,0,10
1780642025,25.91,59037972,17.71,1076,1572864,157728,244,7042,2497,8192,22908928,0,0,10
1780642027,40.42,58709076,17.71,1088,1572864,157536,250,13349,24810,8192,99680256,0,0,10
1780642028,30.22,58712156,17.71,1102,1572864,157440,242,16292,8083,4096,35053568,0,0,10
1780642030,29.12,58940312,17.01,1114,1572864,157536,250,13577,7965,4096,58249216,0,0,10
1780642032,25.63,59185728,17.01,1133,1572864,157344,260,11443,5819,0,19095552,0,0,10
1780642034,20.75,59404140,17.01,1149,1572864,157344,247,12240,9092,0,34914304,0,0,10
1780642035,26.08,59369508,16.29,1170,1572864,157344,255,17183,6587,0,8581120,0,0,10
1780642037,19.65,59470008,16.29,1182,1572864,157248,241,10017,1468,131072,14340096,0,0,10
1780642039,19.09,59475764,16.29,1196,1572864,157248,249,19645,8541,4096,11476992,0,0,10
1780642041,20.78,59627636,15.54,886,1572864,156960,244,15068,5931,69632,10305536,0,0,10
1780642042,24.05,59912872,15.54,997,1572864,157056,256,15886,6851,0,25944064,0,0,10
1780642044,20.55,59630608,15.54,1011,1572864,156960,270,13968,5449,65536,27602944,0,0,10
1780642046,19.46,59616744,14.78,1022,1572864,157152,252,12108,5970,0,13533184,0,0,10
1780642048,19.38,59625220,14.78,1038,1572864,157056,261,14069,7446,0,39878656,0,0,10
1780642049,18.45,59604712,14.78,1051,1572864,156960,256,16427,12234,24576,184684544,0,0,10
1780642051,19.66,59675396,14.80,1064,1572864,157056,262,11639,5032,0,58257408,0,0,10
1780642053,18.77,59633856,14.80,1077,1572864,157056,253,7528,3467,0,14282752,0,0,10
1780642055,20.01,59585212,14.80,1094,1572864,157152,260,12366,6270,0,18722816,0,0,10
1780642056,20.28,59622280,14.81,1106,1572864,157248,268,11379,6233,8192,35737600,0,0,10
1780642058,18.59,59553524,14.81,1120,1572864,157152,258,14047,8183,0,13672448,0,0,10
1780642060,22.45,59508084,14.27,1135,1572864,157248,266,10615,5767,4096,26116096,0,0,10
1780642062,18.54,59534884,14.27,1149,1572864,156960,263,10558,5873,278528,3375104,0,0,10
1780642064,23.07,59502268,14.27,1165,1572864,157152,271,11113,12583,65536,29818880,0,0,10
1780642065,27.89,59565764,13.53,1178,1572864,157152,258,11685,9502,0,3878912,0,0,10
1780642067,22.99,59537252,13.53,1191,1572864,156960,260,9417,7099,106496,4694016,0,0,10
1780642069,38.14,59052748,13.53,1209,1572864,157152,253,11678,12235,49152,60559360,0,0,10
1780642071,28.33,58981552,12.92,1231,1572864,156960,263,10496,6670,4096,3432448,0,0,10
1780642072,21.70,58966768,12.92,1246,1572864,157152,272,12458,9656,77824,19316736,0,0,10
1780642074,18.32,58956704,12.92,1297,1572864,157248,264,12046,7579,90112,39002112,0,0,10
1780642076,17.55,58902312,12.69,1341,1572864,157248,267,10281,4724,28672,11046912,0,0,10
1780642078,17.54,58912612,12.69,1373,1572864,157344,258,17565,9080,106496,55681024,0,0,10
1780642080,15.90,58906504,12.69,1399,1572864,157440,263,10730,8726,0,5877760,0,0,10
1780642081,17.42,58981996,12.39,1416,1572864,157440,256,10133,5620,73728,1650688,0,0,10
1780642083,16.13,58932604,12.39,1427,1572864,157440,263,10006,5084,0,26415104,0,0,10
1780642085,17.06,58928928,12.39,1442,1572864,157536,272,5228,2959,12288,24195072,0,0,10
1780642087,17.58,58953280,12.52,1453,1572864,157536,264,10464,6118,106496,2138112,0,0,10
1780642088,17.11,58922832,12.52,1466,1572864,157536,268,14075,7697,0,13492224,0,0,10
1780642090,17.19,58873500,12.08,1480,1572864,157440,256,13998,8272,0,2797568,0,0,10
1780642092,18.26,58929584,12.08,1499,1572864,157728,264,10232,5621,0,6397952,0,0,10
1780642094,16.81,58987632,12.08,1515,1572864,157632,253,9499,8531,4096,27262976,0,0,10
1780642095,17.20,59061476,11.83,1533,1572864,157536,263,10980,6347,16384,2351104,0,0,10
1780642097,18.15,58960444,11.83,1541,1572864,157344,264,4846,1084,12288,2150400,0,0,10
1780642099,17.25,59011188,11.83,1568,1572864,157632,258,15264,8238,0,72863744,0,0,10
1780642101,20.80,59320076,11.53,1679,1572864,157632,265,10072,5571,4096,4743168,0,0,10
1780642102,18.04,58974576,11.53,1040,1572864,157536,263,10843,6599,12288,25886720,0,0,10
1780642104,17.78,59068708,11.53,1055,1572864,157344,268,9696,5182,45056,60047360,0,0,10
1780642106,15.78,59026412,11.16,1067,1572864,157440,252,9727,5994,0,13742080,0,0,10
1780642107,17.58,58966964,11.16,1081,1572864,157440,260,12737,6868,0,2068480,0,0,10
1780642109,17.91,58938552,11.16,1098,1572864,157248,266,14607,11754,0,214102016,0,0,10
1780642111,15.67,58954536,11.07,1110,1572864,157344,256,6780,2377,0,2379776,0,0,10
1780642113,16.12,58930104,11.07,1125,1572864,157344,263,12146,5402,0,2285568,0,0,10
1780642114,15.86,58876808,11.07,1143,1572864,157248,250,12590,6145,0,2428928,0,0,10
1780642116,17.43,58903028,10.74,1159,1572864,157056,258,12377,6128,0,22671360,0,0,10
1780642118,15.94,58894420,10.74,1166,1572864,157152,251,14876,6959,0,2101248,0,0,10
1780642120,17.83,58969084,10.74,1182,1572864,157248,257,12157,5772,4096,45293568,0,0,10
1780642121,17.03,59020972,10.36,1199,1572864,157440,265,10006,5348,0,12173312,0,0,10
1780642123,17.90,59037836,10.36,1219,1572864,157440,253,10609,9345,0,3424256,0,0,10
1780642125,18.72,58978388,10.41,1230,1572864,157536,256,6332,2727,0,100106240,0,0,10
1780642127,17.71,58964504,10.41,1247,1572864,157440,246,9273,4684,0,4460544,0,0,10
1780642128,17.65,58914736,10.41,1260,1572864,157536,254,14748,8296,0,1404928,0,0,10
1780642130,18.07,58949532,9.98,1279,1572864,157632,258,9889,5845,0,3276800,0,0,10
1780642132,17.09,58969176,9.98,1298,1572864,157728,256,10362,6550,4096,21123072,0,0,10
1780642134,25.23,58486612,9.98,1315,1572864,157728,263,10650,4371,4096,41312256,0,0,10
1780642136,23.11,58527804,9.58,1332,1572864,157440,249,12609,19350,122880,16031744,0,0,10
1780642137,16.02,58850148,9.58,1346,1572864,157536,256,13089,6881,4096,12390400,0,0,10
1780642139,16.87,58945408,9.58,1358,1572864,157440,250,15402,24414,0,5853184,0,0,10
1780642141,16.09,59006528,9.62,1374,1572864,157536,257,7049,2977,110592,26689536,0,0,10
1780642143,16.24,58960588,9.62,1399,1572864,157536,246,10689,5860,0,1368064,0,0,10
1780642144,16.08,58963120,9.62,1412,1572864,157728,252,11466,6322,0,3792896,0,0,10
1780642146,16.16,58989220,9.65,1426,1572864,157632,258,10639,5556,4096,27680768,0,0,10
1780642148,15.36,59021768,9.65,1436,1572864,157632,240,13680,6863,0,21610496,0,0,10
1780642150,16.87,59038568,9.65,1454,1572864,157728,251,12491,8810,229376,4513792,0,0,10
1780642151,19.65,59040724,9.51,1469,1572864,157824,246,10480,5728,0,22011904,0,0,10
1780642153,16.44,59019368,9.51,1484,1572864,157728,255,10812,9547,4096,1593344,0,0,10
1780642155,17.23,59086020,9.31,1500,1572864,157632,244,5592,3064,0,21688320,0,0,10
1780642157,18.33,59039636,9.31,1515,1572864,157536,250,10300,5032,20480,36130816,0,0,10
1780642158,19.31,59004712,9.31,1546,1572864,157440,257,14339,8329,40960,16736256,0,0,10
1780642160,20.92,58104692,9.69,1565,1572864,157440,246,10097,5069,0,2998272,0,0,10
1780642162,17.71,57726692,9.69,1591,1572864,157152,259,12322,7726,0,27402240,0,0,10
1780642164,15.04,57732804,9.69,864,1572864,157152,238,11055,5824,0,21999616,0,0,10
