unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw
1748769000,3.21,12450000,0.51,412,262144,5120,18
1748769001,4.10,12480000,0.55,418,262144,5132,18
1748769002,5.02,12520000,0.61,431,262144,5188,22
1748769003,7.81,12610000,0.74,450,262144,5240,27
1748769004,9.14,12700000,0.88,471,262144,5301,31
1748769005,11.20,12830000,1.02,498,262144,5380,33
1748769006,13.55,12950000,1.21,520,262144,5440,38
1748769007,15.92,13110000,1.40,549,262144,5512,41
1748769008,17.31,13280000,1.62,581,262144,5601,47
1748769009,18.40,13390000,1.81,612,262144,5680,49
