unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw
1779425590,11.32,4281344,1.47,94,131072,51234,9
1779425591,12.81,4283136,1.47,97,131072,51267,9
1779425592,13.44,4284672,1.50,101,131072,51289,10
1779425593,10.95,4283904,1.50,103,131072,51301,10
1779425594,9.63,4285440,1.54,107,131072,51318,11
1779425595,11.21,4286208,1.54,109,131072,51342,11
1779425596,14.08,4287232,1.57,112,131072,51367,12
1779425597,12.55,4286976,1.57,114,131072,51389,12
1779425598,10.73,4286208,1.54,116,131072,51411,12
1779425599,9.84,4285696,1.54,118,131072,51428,11
