namespace,pod,container,restarts,oom_killed,exit_code
gsm-baseline,msc-test-stub-589b74d577-zfqsd,msc-test-stub,4,false,137
gsm-baseline,osmo-bsc-594654bd47-rhfxk,osmo-bsc,0,false,
gsm-baseline,osmo-bts-virtual-5f8b9b86fc-jd5wb,osmo-bts-virtual,0,false,
gsm-baseline,osmo-hlr-76d9565554-fmx95,osmo-hlr,0,false,
gsm-baseline,osmo-mgw-8c8fc67d6-87j87,osmo-mgw,0,false,
gsm-baseline,osmo-mobile-7759b9f495-clzzt,mobile,0,false,
gsm-baseline,osmo-stp-768687f494-bdmp6,osmo-stp,0,false,
gsm-baseline,ttcn3-tc-26-7-3-1-vhc6n,ttcn3,0,false,
gsm-baseline,ttcn3-tc-26-7-4-4-zp2kt,ttcn3,0,false,
gsm-baseline,ttcn3-tc-26-8-1-2-1-1-27cjg,ttcn3,0,false,
gsm-baseline,ttcn3-tc-26-8-1-2-2-2-q4ntj,ttcn3,0,false,
gsm-baseline,ttcn3-tc-26-8-1-3-2-1-6kxsr,ttcn3,0,false,
gsm-baseline,virtphy-7546b8c6b-w5jr2,virtphy,0,false,
