namespace,phase,unix_ts
gsm-1,t0,1780400000.717998185
gsm-1,t_apply,1780400003.283551045
gsm-1,t_ready,1780400040.261848860
gsm-1,t_attached,1780400040.591000430
gsm-1,t_test0,1780400040.592332541
gsm-1,t_testN,1780400200.182520672
gsm-1,t_teardown,1780400259.994030947
gsm-2,t0,1780400000.718770730
gsm-2,t_apply,1780400003.306718265
gsm-2,t_ready,1780400040.251693468
gsm-2,t_attached,1780400040.591362630
gsm-2,t_test0,1780400040.592760846
gsm-2,t_testN,1780400203.525578867
gsm-2,t_teardown,1780400263.390422802
gsm-3,t0,1780400000.721160570
gsm-3,t_apply,1780400003.285497317
gsm-3,t_ready,1780400040.263393613
gsm-3,t_attached,1780400040.584496813
gsm-3,t_test0,1780400040.586210671
gsm-3,t_testN,1780400200.182734546
gsm-3,t_teardown,1780400259.092135922
