unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw
1780400000,70.00,43203392,18.76,1205,1572864,92544,366
1780400001,54.04,43266992,19.66,1236,1572864,92544,376
1780400002,72.10,43301016,19.66,1305,1572864,92832,378
1780400003,70.83,43276244,19.66,1325,1572864,93024,351
1780400004,71.08,43360540,19.66,1169,1572864,93408,352
1780400005,70.33,43353716,19.66,1199,1572864,93792,363
1780400006,55.24,43321688,20.25,1266,1572864,93984,371
1780400008,40.35,43438616,20.25,1284,1572864,94080,350
1780400009,22.93,43518676,20.25,1280,1572864,94080,358
1780400010,59.44,43743832,20.25,1292,1572864,93984,366
1780400011,89.76,44420260,20.25,1351,1572864,93984,373
1780400012,64.18,44779624,21.43,1363,1572864,93984,358
1780400013,50.84,44902988,21.43,1428,1572864,93984,369
1780400014,55.11,44098524,21.43,1466,1572864,93792,378
1780400015,47.45,43804836,21.43,1547,1572864,93792,389
1780400016,52.05,43902788,21.56,1593,1572864,93696,377
1780400017,41.40,43957692,21.56,1607,1572864,93696,383
1780400018,21.10,43960540,21.56,1643,1572864,93792,393
1780400019,21.64,43991028,21.56,1662,1572864,93792,404
1780400020,21.38,43965616,21.56,1716,1572864,93792,386
1780400021,20.91,43975344,20.55,1729,1572864,93792,392
1780400022,21.76,44038428,20.55,1754,1572864,93888,411
1780400023,21.12,44072136,20.55,1769,1572864,93888,398
1780400024,80.29,44536948,20.55,1782,1572864,93888,407
1780400025,93.38,44985264,20.55,1802,1572864,93888,416
1780400026,57.60,45069060,20.19,1826,1572864,93888,425
1780400027,46.06,45053128,20.19,1839,1572864,93888,399
1780400028,48.36,44957716,20.19,1852,1572864,93792,409
1780400029,40.98,44836220,20.19,1873,1572864,93792,417
1780400031,27.56,44855884,20.19,1890,1572864,93792,426
1780400032,22.23,44847612,19.93,1899,1572864,93792,412
1780400033,20.26,44877428,19.93,1919,1572864,93792,425
1780400034,21.42,44891960,19.93,1937,1572864,93792,438
1780400035,22.03,44956876,19.93,1958,1572864,93792,448
1780400036,49.13,45047976,22.02,1976,1572864,93792,434
1780400037,77.92,45306780,22.02,1994,1572864,93888,445
1780400038,61.70,45403040,22.02,2007,1572864,93984,450
1780400039,63.26,44075268,22.02,2020,1572864,94080,458
1780400040,82.79,44251420,22.02,2043,1572864,94272,443
1780400041,80.87,44384624,25.22,2085,1572864,94176,453
1780400042,51.08,44495184,25.22,2105,1572864,94368,466
1780400043,24.14,44555176,25.22,2125,1572864,94368,477
1780400044,25.99,44605032,25.22,1354,1572864,94272,471
1780400045,25.36,44566408,25.22,1370,1572864,94272,480
1780400046,44.86,44663092,24.72,1392,1572864,94176,493
1780400047,33.29,44732768,24.72,1516,1572864,94176,505
1780400048,30.09,44729536,24.72,1550,1572864,94560,493
1780400049,24.06,44771572,24.72,1563,1572864,94560,502
1780400051,25.07,44992416,24.72,1587,1572864,94464,515
1780400052,21.22,45071304,23.46,1603,1572864,94560,527
1780400053,22.02,45100252,23.46,1616,1572864,94656,517
1780400054,22.71,45087568,23.46,1641,1572864,94656,528
1780400055,24.45,45162568,23.46,1664,1572864,94656,537
1780400056,21.36,45367216,22.06,1682,1572864,94560,546
1780400057,23.07,41083504,22.06,1702,1572864,94464,529
1780400058,20.64,41123408,22.06,1717,1572864,94368,539
1780400059,20.37,41202984,22.06,1735,1572864,94272,547
1780400060,24.14,41473984,22.06,1753,1572864,94368,534
1780400061,21.73,41620780,20.78,1774,1572864,94368,545
1780400062,23.17,41729512,20.78,1793,1572864,94368,560
1780400063,21.03,42139892,20.78,1807,1572864,94464,568
1780400064,23.90,42234448,20.78,1838,1572864,94464,560
1780400065,21.95,42285412,20.78,1857,1572864,94368,574
1780400066,21.86,42325552,20.39,1872,1572864,94368,586
1780400067,24.39,40882856,20.39,1896,1572864,94464,600
1780400068,21.40,40951180,20.39,1914,1572864,94560,585
1780400069,21.89,41107448,20.39,1924,1572864,94368,593
1780400071,22.70,41243012,20.39,1951,1572864,94464,607
1780400072,21.74,41378700,19.48,1968,1572864,94368,617
1780400073,20.62,41350808,19.48,1988,1572864,94368,599
1780400074,25.60,41400788,19.48,2009,1572864,94368,608
1780400075,24.74,41469752,19.48,2026,1572864,94272,618
1780400076,22.18,41532600,18.48,2049,1572864,94080,635
1780400077,23.73,41532412,18.48,2069,1572864,94080,595
1780400078,22.92,41592292,18.48,2081,1572864,94080,604
1780400079,24.97,41630152,18.48,2100,1572864,94272,615
1780400080,27.11,41726436,18.48,2119,1572864,94272,623
1780400081,27.29,41761388,18.12,2134,1572864,94272,599
1780400082,28.38,41834012,18.12,2151,1572864,94272,617
1780400083,26.42,41979688,18.12,2173,1572864,94368,625
1780400084,25.16,42033760,18.12,2186,1572864,94368,633
1780400085,25.49,42048604,18.12,2205,1572864,94272,601
1780400086,28.50,42077392,17.47,2239,1572864,94176,617
1780400087,29.31,42164524,17.47,2250,1572864,94176,623
1780400088,23.90,42198300,17.47,2266,1572864,94176,634
1780400089,25.65,42277988,17.47,2293,1572864,94272,621
1780400090,26.92,42424676,17.47,2310,1572864,94368,630
1780400092,24.11,42511244,16.87,2324,1572864,94272,642
1780400093,26.55,41823288,16.87,2350,1572864,94272,656
1780400094,23.12,41053488,16.87,2368,1572864,94368,629
1780400095,23.93,41076684,16.87,2383,1572864,94368,638
1780400096,25.66,41167948,16.87,2403,1572864,94368,652
1780400097,23.70,41206792,17.68,2421,1572864,94272,665
1780400098,23.03,41227832,17.68,2434,1572864,94272,628
1780400099,23.06,41382912,17.68,2450,1572864,94176,638
1780400100,27.33,41402816,17.68,2470,1572864,94176,646
1780400101,23.57,41466424,17.07,2485,1572864,94176,653
1780400102,23.62,41577888,17.07,2501,1572864,93984,638
1780400103,28.00,41714412,17.07,2525,1572864,93984,650
1780400104,23.42,41760080,17.07,2537,1572864,93984,657
1780400105,39.15,41813480,17.07,1644,1572864,93888,625
