namespace,phase,unix_ts
gsm-1,t0,1780469227.450936242
gsm-1,t_apply,1780469230.049207603
gsm-1,t_ready,1780469266.722960812
gsm-1,t_attached,1780469267.044320568
gsm-1,t_test0,1780469267.046108637
gsm-1,t_testN,1780469278.410891256
gsm-1,t_teardown,1780469330.386961616
gsm-2,t0,1780469227.452855837
gsm-2,t_apply,1780469230.060779913
gsm-2,t_ready,1780469266.727509441
gsm-2,t_attached,1780469267.043142607
gsm-2,t_test0,1780469267.045306612
gsm-2,t_testN,1780469319.984791562
gsm-2,t_teardown,1780469370.710563143
