unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw
1780473929,15.38,46359672,3.88,280,1572864,134496,40
1780473930,35.64,46637152,3.88,313,1572864,134784,49
1780473931,69.10,46781920,15.74,398,1572864,135168,49
1780473932,71.09,46796276,15.74,414,1572864,135648,47
1780473933,66.30,46847744,15.74,492,1572864,135744,47
1780473934,72.04,46976740,15.74,549,1572864,135840,48
1780473935,71.47,47239908,15.74,637,1572864,135936,49
1780473936,68.40,47081416,16.72,648,1572864,135936,55
1780473937,40.02,47077492,16.72,726,1572864,136224,58
1780473938,8.31,47053988,16.72,727,1572864,136416,60
1780473939,9.07,47047352,16.72,796,1572864,136416,64
1780473940,11.04,47042248,16.72,860,1572864,136512,68
1780473941,9.60,47052252,15.71,934,1572864,136512,76
1780473942,9.51,47081792,15.71,948,1572864,136512,82
1780473943,7.71,47104200,15.71,1073,1572864,136608,84
1780473944,8.14,47095196,15.71,1083,1572864,136608,91
1780473945,17.59,47083112,15.71,1124,1572864,136512,98
1780473946,20.36,47098112,16.37,1136,1572864,136512,99
1780473947,11.01,47140476,16.37,1182,1572864,136224,109
1780473948,9.25,47150612,16.37,1194,1572864,136320,115
1780473950,10.23,47241256,16.37,1253,1572864,136224,116
1780473951,13.16,47221560,15.54,1276,1572864,136320,125
1780473952,9.53,47208616,15.54,1290,1572864,136320,135
1780473953,12.48,47165532,15.54,1299,1572864,136416,137
1780473954,10.04,47129884,15.54,1310,1572864,136416,143
1780473955,10.11,47122132,15.54,1324,1572864,136416,153
1780473956,9.85,47140484,14.70,1327,1572864,136416,154
1780473957,10.89,47141316,14.70,1231,1572864,136320,157
1780473958,12.61,47115260,14.70,1245,1572864,136416,165
1780473959,8.51,47092180,14.70,1249,1572864,136416,167
1780473960,8.23,47084068,14.70,1264,1572864,136416,178
1780473961,8.22,47069424,13.84,1277,1572864,136416,187
1780473962,7.62,47062664,13.84,1284,1572864,136416,194
1780473963,9.50,47076064,13.84,1300,1572864,136416,204
1780473964,7.82,47061300,13.84,1320,1572864,136416,214
1780473965,8.44,47058524,13.84,1330,1572864,136416,216
1780473966,8.92,47061524,12.97,1343,1572864,136416,223
1780473967,7.71,47061376,12.97,1349,1572864,136416,227
1780473968,18.24,47166920,12.97,1404,1572864,136320,236
1780473969,52.16,47246188,12.97,1426,1572864,136416,243
1780473970,20.23,47257176,12.97,1434,1572864,136512,249
1780473971,10.35,47231312,12.17,1453,1572864,136512,261
1780473973,12.29,47192720,12.17,1473,1572864,136512,263
1780473974,7.23,47184816,12.17,1480,1572864,136512,265
1780473975,10.46,47209860,12.17,1621,1572864,136608,273
1780473976,12.48,47169532,11.44,1649,1572864,136800,281
