unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781679844,80.95,98885316,9.07,453,1572864,201504,65,0,0,1069056,27455488,6,5,15
1781679848,85.02,98867884,9.07,421,1572864,202560,64,49275,727449,17219584,224292864,32,26,15
1781679853,44.90,99542888,20.20,516,1572864,203712,64,34386,82832,60821504,543805440,59,53,15
1781679867,40.05,99378344,52.84,613,1572864,204960,65,43883,32356,302366720,636891136,134,117,15
1781679882,35.69,100555044,84.51,696,1572864,206784,79,70416,181593,984563712,590016512,134,133,15
1781679903,25.52,100102208,105.94,1163,1572864,207168,154,113538,266033,1102807040,850309120,134,133,15
1781679918,24.83,100517104,129.75,1937,1572864,207936,401,285498,725355,5812224,2606514176,134,133,15
1781679921,39.66,101098440,127.04,2212,1572864,207936,524,121554,187881,3784704,807788544,134,133,15
1781679924,74.77,101085452,119.59,2492,1572864,207552,566,56526,53290,17113088,295837696,134,133,15
1781679926,72.53,101325408,119.59,2708,1572864,207648,619,78516,85330,2805760,276819968,134,133,15
1781679929,58.58,101256256,112.66,2861,1572864,208032,665,64739,56327,24576,312315904,134,133,15
1781679931,45.73,101394072,112.66,3023,1572864,207936,697,67825,47868,204800,236748800,134,133,15
1781679933,45.07,101425852,107.08,3151,1572864,207936,734,58129,26481,73728,437534720,134,133,15
1781679936,41.84,101492776,107.08,3309,1572864,207840,777,73682,44775,1695744,250146816,134,133,15
1781679938,42.27,101484652,100.11,3488,1572864,207552,817,78646,43740,397312,249053184,134,133,15
1781679942,43.40,101344176,100.11,3638,1572864,207648,870,58019,30095,45056,152784896,134,133,15
1781679944,40.68,101502612,95.37,3854,1572864,207936,906,88772,61732,1896448,384614400,134,133,15
1781679947,42.14,101585460,95.37,4067,1572864,208320,950,113228,39505,61440,491429888,134,133,15
1781679949,44.59,101684632,90.86,4210,1572864,208128,998,101382,33770,2121728,213184512,134,133,15
1781679951,43.34,101847276,90.86,4358,1572864,208032,1017,102925,29816,733184,25407488,134,133,15
1781679954,46.14,101836568,85.66,4492,1572864,207936,1057,92737,23119,7585792,26382336,137,135,15
1781679957,42.18,101674160,85.66,4657,1572864,208128,1082,107793,34976,20480,61411328,137,136,15
1781679959,44.94,101298464,81.29,4821,1572864,207936,1101,115608,49598,4096,33792000,138,137,15
1781679961,43.31,101548120,81.29,4976,1572864,207936,1145,102721,30110,4096,103411712,139,138,15
1781679964,45.67,101674780,75.82,5109,1572864,208032,1145,96847,26044,462848,30785536,139,138,15
1781679966,42.82,101678888,75.82,5259,1572864,207840,1197,99489,31070,8192,34791424,139,138,15
1781679968,38.83,101736764,73.27,2451,1572864,207648,1179,101287,32869,0,364544,139,138,15
1781679970,40.56,101699548,73.27,2589,1572864,207456,1228,94235,28016,4096,12521472,139,138,15
1781679973,41.62,101750064,73.27,2725,1572864,207552,1221,99024,27327,0,5623808,139,138,15
1781679975,39.07,101560800,69.08,2869,1572864,207648,1276,101326,42392,102400,12152832,139,138,15
1781679978,36.22,101736656,69.08,3020,1572864,207744,1261,114823,35652,36864,16048128,139,138,15
1781679980,38.31,101690752,66.67,3170,1572864,207840,1233,111669,35332,0,11739136,139,138,15
1781679982,36.56,101828944,66.67,3298,1572864,208032,1272,98957,27666,0,30752768,139,138,15
1781679985,38.73,101717720,63.10,3457,1572864,207936,1268,100124,31460,0,10981376,139,138,15
1781679988,34.44,101345464,63.10,3645,1572864,207744,1257,121981,41641,102400,9252864,139,138,15
1781679990,36.98,101508480,59.81,3798,1572864,208032,1301,106860,43636,0,8548352,139,138,15
1781679993,37.33,101679232,59.81,3956,1572864,207648,1262,104415,28131,0,6799360,139,138,15
1781679996,37.46,101613496,56.86,4150,1572864,207840,1321,111052,36234,0,12214272,139,138,15
1781679998,39.56,101657932,53.91,4309,1572864,207840,1298,119545,37817,1908736,4505600,139,138,15
1781680000,42.82,101710660,53.91,4465,1572864,208032,1259,101914,29735,1155072,17129472,139,138,15
1781680003,40.39,101744056,53.91,4604,1572864,207456,1295,100968,26388,602112,14929920,139,138,15
1781680006,42.72,101930748,51.99,4762,1572864,207552,1278,106708,46619,1200128,11108352,139,138,15
1781680008,40.72,102041736,49.11,4908,1572864,207648,1255,121266,37717,4096,91521024,139,138,15
1781680010,42.61,101803048,49.11,5062,1572864,207648,1293,106467,33096,4096,33550336,139,138,15
1781680013,42.80,101901020,49.11,5195,1572864,207744,1262,98284,28536,49152,18345984,139,138,15
1781680015,43.87,101819100,46.78,5356,1572864,207744,1313,104212,31793,12288,17530880,139,138,15
1781680018,44.50,101939276,46.78,5511,1572864,207840,1276,109571,32594,131072,15245312,139,138,15
1781680020,43.21,101918556,44.87,5698,1572864,208032,1248,135051,52903,4096,21434368,139,138,15
1781680023,48.12,101964808,44.87,5815,1572864,207840,1283,97271,23412,0,15638528,139,138,15
1781680025,46.43,101972248,42.48,5945,1572864,207744,1261,101061,32163,36864,31645696,139,138,15
