unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781686353,28.00,102910096,11.35,442,1572864,198816,39,0,0,114688,0,6,5,15
1781686356,74.92,102131072,17.09,553,1572864,199008,73,41297,651524,5554176,54231040,22,19,15
1781686359,56.25,101984024,17.09,409,1572864,200448,73,29498,151291,94208,46694400,38,33,15
1781686363,50.62,102444456,25.97,511,1572864,201408,72,23479,28349,3895296,48336896,58,57,15
1781686368,77.10,102654864,39.66,595,1572864,202752,74,27671,93041,823296,68173824,85,82,15
1781686377,58.79,102934304,51.94,748,1572864,204192,81,44034,96839,9670656,175415296,131,112,15
1781686388,47.82,104433520,71.15,1098,1572864,204960,111,80048,249622,634880,141012992,134,133,15
1781686395,28.40,100556784,80.01,1673,1572864,205920,190,127231,328773,2199552,603734016,134,133,15
1781686399,39.31,101217284,85.13,2128,1572864,205344,262,107276,272089,90112,48316416,134,133,15
1781686402,63.42,101493568,82.00,2347,1572864,205152,312,82671,194449,12288,35545088,134,133,15
1781686404,63.83,101772408,79.36,2637,1572864,205344,364,87416,98977,0,5718016,134,133,15
1781686407,79.48,102071768,79.36,2858,1572864,205440,398,63191,44310,32768,23429120,134,133,15
1781686410,66.26,102453580,76.37,3039,1572864,205440,444,107269,97672,36864,12963840,134,133,15
1781686412,55.24,102811712,76.37,3195,1572864,205536,484,94980,28019,8192,8376320,134,133,15
1781686414,51.55,103933404,76.37,3322,1572864,205536,486,99886,26095,45056,2121728,134,133,15
1781686416,83.66,104507260,73.21,3469,1572864,205632,521,108739,45382,4096,64139264,134,133,15
1781686419,92.27,104554540,73.21,2429,1572864,205632,555,116088,31439,0,1421312,134,133,15
1781686421,63.53,104682160,71.83,2620,1572864,205824,597,125374,54056,4096,160559104,134,133,15
1781686424,39.22,104721696,71.83,2747,1572864,205536,637,105085,38676,0,57434112,134,133,15
1781686426,39.95,104576388,67.92,2900,1572864,205344,686,116341,52298,0,643072,134,133,15
1781686429,41.60,105222956,67.92,3070,1572864,205152,736,125782,36218,0,44834816,134,133,15
