unix_ts,namespace,pod,cpu_m,mem_mib
1781686399,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686399,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686399,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686399,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686399,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686402,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686402,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686402,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686402,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686402,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686404,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686404,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686404,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686404,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686404,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686407,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686407,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,14,8
1781686407,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686407,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,7,28
1781686407,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686409,gsm-10,msc-test-stub-5b875d749d-jn2kt,4,16
1781686409,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686409,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686409,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686409,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686409,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686409,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686409,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686411,gsm-10,msc-test-stub-5b875d749d-jn2kt,4,16
1781686411,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686411,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686411,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686411,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686411,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686411,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686411,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686414,gsm-10,msc-test-stub-5b875d749d-jn2kt,4,16
1781686414,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686414,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686414,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686414,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686414,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686414,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686414,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686416,gsm-10,msc-test-stub-5b875d749d-jn2kt,4,16
1781686416,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686416,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686416,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686416,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686416,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686416,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686416,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686419,gsm-10,msc-test-stub-5b875d749d-jn2kt,4,16
1781686419,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686419,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686419,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686419,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686419,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686419,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686419,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686422,gsm-10,msc-test-stub-5b875d749d-jn2kt,4,16
1781686422,gsm-10,osmo-bsc-594654bd47-z89vs,5,5
1781686422,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686422,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686422,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686422,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686422,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686422,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686424,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686424,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686424,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686424,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686424,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686424,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,3,28
1781686424,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686424,gsm-10,virtphy-65b766dcb8-fchgr,7,1
1781686426,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686426,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686426,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686426,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686426,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686426,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,3,28
1781686426,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686426,gsm-10,virtphy-65b766dcb8-fchgr,7,1
1781686428,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686428,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686428,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686428,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686428,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686428,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,3,28
1781686428,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686428,gsm-10,virtphy-65b766dcb8-fchgr,7,1
1781686431,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686431,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686431,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686431,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686431,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686431,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,3,28
1781686431,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686431,gsm-10,virtphy-65b766dcb8-fchgr,7,1
1781686435,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686435,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686435,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686435,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686435,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686435,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,3,28
1781686435,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686435,gsm-10,virtphy-65b766dcb8-fchgr,7,1
1781686437,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686437,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686437,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686437,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686437,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686437,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,3,28
1781686437,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686437,gsm-10,virtphy-65b766dcb8-fchgr,7,1
1781686439,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686439,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686439,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686439,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686439,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686439,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686439,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686439,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686442,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686442,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686442,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686442,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686442,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686442,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686442,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686442,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686444,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686444,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686444,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686444,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686444,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686444,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686444,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686444,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686446,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686446,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686446,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686446,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686446,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686446,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686446,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686446,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686449,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686449,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686449,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686449,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686449,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686449,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686449,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686449,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686451,gsm-10,msc-test-stub-5b875d749d-jn2kt,1,16
1781686451,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
1781686451,gsm-10,osmo-bts-virtual-5f8b9b86fc-fnwmh,27,5
1781686451,gsm-10,osmo-hlr-546bdb8988-9cl9z,1,2
1781686451,gsm-10,osmo-mgw-8c8fc67d6-trx74,1,2
1781686451,gsm-10,osmo-mobile-7cd864fcdc-wzxr5,2,28
1781686451,gsm-10,osmo-stp-768687f494-p4z84,1,2
1781686451,gsm-10,virtphy-65b766dcb8-fchgr,6,1
1781686453,gsm-10,msc-test-stub-5b875d749d-jn2kt,3,16
1781686453,gsm-10,osmo-bsc-594654bd47-z89vs,1,5
