unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781686353,73.33,102671308,11.35,469,1572864,199008,71,0,0,401408,2170880,6,5,15
1781686356,75.65,102209012,17.09,561,1572864,199488,74,42647,673502,4325376,53194752,22,21,15
1781686359,50.95,102005928,17.09,409,1572864,200640,73,29493,130280,212992,49238016,38,36,15
1781686364,52.81,102476624,25.97,511,1572864,201408,72,22134,27382,3776512,44453888,67,57,15
1781686370,74.37,103007212,51.94,632,1572864,203040,77,51910,164771,10100736,168071168,97,95,15
1781686380,41.03,103083856,60.20,883,1572864,204192,92,43676,130660,909312,129675264,134,133,15
1781686390,41.04,104176756,79.23,1267,1572864,205152,137,100280,257398,966656,316436480,134,133,15
1781686397,31.02,100647384,80.01,1839,1572864,205632,219,113811,278651,1363968,392036352,134,133,15
1781686400,46.38,101500136,82.00,2147,1572864,205152,299,121964,356067,90112,47751168,134,133,15
1781686403,63.20,101639180,82.00,2509,1572864,205152,335,78785,112800,0,21577728,134,133,15
1781686406,78.46,101799012,79.36,2729,1572864,205632,388,77978,62726,24576,13479936,134,133,15
1781686408,65.57,102320820,79.36,2947,1572864,205728,429,84547,46118,8192,13639680,134,133,15
1781686411,82.06,102650024,76.37,3115,1572864,205536,468,87865,80393,45056,11849728,134,133,15
1781686414,43.16,103518288,76.37,3293,1572864,205440,511,148720,37596,0,10493952,134,133,15
1781686416,78.00,104472008,73.21,3429,1572864,205536,514,102861,40978,45056,52629504,134,133,15
1781686419,91.79,104500824,73.21,2423,1572864,205536,553,131088,38549,4096,12931072,134,133,15
1781686421,69.17,104495776,71.83,2602,1572864,205824,595,120605,51878,4096,107905024,134,133,15
1781686424,38.55,104720948,71.83,2747,1572864,205536,637,114857,41126,0,110088192,134,133,15
1781686426,39.89,104596296,67.92,2907,1572864,205248,691,116654,52570,0,643072,134,133,15
1781686429,41.56,105253436,67.92,3072,1572864,205152,736,123883,35674,0,44834816,134,133,15
1781686431,81.59,105987448,67.05,3233,1572864,205152,766,114314,28662,90112,11821056,137,135,15
1781686435,66.23,103831736,67.05,3394,1572864,205152,816,125612,31319,0,41598976,138,137,15
1781686437,53.11,103863724,65.12,3593,1572864,205152,865,128384,39341,0,15081472,140,139,15
1781686440,41.13,103893780,60.79,3783,1572864,205248,911,125582,51775,0,12599296,141,140,15
1781686442,44.34,103880588,60.79,3940,1572864,205440,961,104323,27811,0,13369344,143,142,15
1781686444,70.63,104973724,60.48,4087,1572864,205440,984,101113,28385,0,9457664,143,142,15
1781686447,70.65,106060380,60.48,4232,1572864,205152,1032,106898,31873,0,16125952,144,143,15
1781686449,64.71,104849300,60.48,4360,1572864,204960,1040,109042,31960,0,21393408,145,144,15
1781686451,56.77,104739844,59.32,4497,1572864,205152,1044,100963,27273,0,20508672,145,144,15
1781686453,45.26,104787460,59.32,4637,1572864,205344,1084,104251,30591,5201920,4743168,146,145,15
1781686456,43.54,104796744,57.38,4805,1572864,205152,1089,98868,44072,187088896,4829184,147,146,15
1781686459,54.35,105376412,57.38,4983,1572864,204960,1143,127185,40016,0,18165760,147,146,15
1781686462,83.89,106174840,59.67,5145,1572864,204960,1128,107975,32992,0,20946944,147,146,15
1781686465,86.19,105730736,59.67,5297,1572864,205152,1116,125660,39320,0,14528512,147,146,15
1781686467,66.26,105723096,60.02,5469,1572864,205248,1154,106136,29511,0,12353536,147,146,15
1781686470,40.55,105730304,55.69,5622,1572864,205728,1126,113563,48264,24576,49881088,147,146,15
1781686472,38.97,105671388,55.69,5781,1572864,205344,1105,111830,33202,4096,15769600,147,146,15
1781686475,44.36,105473124,52.35,5920,1572864,205248,1153,97972,29514,0,12099584,147,146,15
1781686477,87.07,107039040,52.35,2521,1572864,205536,1130,110348,32478,1343488,3866624,147,146,15
1781686479,73.72,106158836,49.20,2698,1572864,205248,1179,119789,40755,0,4485120,147,146,15
1781686482,56.38,104398552,49.20,2843,1572864,205248,1156,94508,24425,40960,23691264,147,146,15
1781686484,48.10,104069004,49.20,2993,1572864,205344,1126,99334,38509,4096,21147648,147,146,15
1781686486,43.79,104121920,46.94,3171,1572864,205536,1176,99249,32395,0,4161536,147,146,15
1781686489,42.33,104224412,46.94,3328,1572864,205248,1148,110390,38153,62349312,6430720,147,146,15
1781686491,79.15,104606608,48.55,3543,1572864,205632,1196,130343,37870,426774528,49004544,147,146,15
1781686494,82.63,105196624,48.55,3821,1572864,205440,1135,103888,23869,65007616,16097280,147,146,15
1781686496,68.19,105317372,48.18,3997,1572864,205728,1116,107870,31821,68702208,7069696,147,146,15
1781686498,43.53,105301572,48.18,4152,1572864,205920,1160,104355,32106,97832960,23363584,147,146,15
