unix_ts,namespace,pod,cpu_m,mem_mib
1781686388,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,5,0
1781686388,gsm-15,osmo-hlr-546bdb8988-zpdhq,4,2
1781686394,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,5,0
1781686394,gsm-15,osmo-hlr-546bdb8988-zpdhq,4,2
1781686399,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686399,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686402,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686402,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686404,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686404,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686407,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,8,0
1781686407,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686409,gsm-15,msc-test-stub-5b875d749d-srt2z,13,16
1781686409,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686409,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,2,0
1781686409,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686409,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686409,gsm-15,osmo-mobile-665fb7b778-xfkbd,32,25
1781686409,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686412,gsm-15,msc-test-stub-5b875d749d-srt2z,13,16
1781686412,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686412,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,2,0
1781686412,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686412,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686412,gsm-15,osmo-mobile-665fb7b778-xfkbd,32,25
1781686412,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686414,gsm-15,msc-test-stub-5b875d749d-srt2z,13,16
1781686414,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686414,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,2,0
1781686414,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686414,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686414,gsm-15,osmo-mobile-665fb7b778-xfkbd,32,25
1781686414,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686416,gsm-15,msc-test-stub-5b875d749d-srt2z,13,16
1781686416,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686416,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,2,0
1781686416,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686416,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686416,gsm-15,osmo-mobile-665fb7b778-xfkbd,32,25
1781686416,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686419,gsm-15,msc-test-stub-5b875d749d-srt2z,13,16
1781686419,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686419,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,2,0
1781686419,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686419,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686419,gsm-15,osmo-mobile-665fb7b778-xfkbd,32,25
1781686419,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686422,gsm-15,msc-test-stub-5b875d749d-srt2z,13,16
1781686422,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686422,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,2,0
1781686422,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686422,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686422,gsm-15,osmo-mobile-665fb7b778-xfkbd,32,25
1781686422,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686424,gsm-15,msc-test-stub-5b875d749d-srt2z,11,16
1781686424,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686424,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,23,7
1781686424,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686424,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686424,gsm-15,osmo-mobile-665fb7b778-xfkbd,5,28
1781686424,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686424,gsm-15,virtphy-d6c8f9dd5-7cv4t,7,1
1781686426,gsm-15,msc-test-stub-5b875d749d-srt2z,11,16
1781686426,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686426,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,23,7
1781686426,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686426,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686426,gsm-15,osmo-mobile-665fb7b778-xfkbd,5,28
1781686426,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686426,gsm-15,virtphy-d6c8f9dd5-7cv4t,7,1
1781686428,gsm-15,msc-test-stub-5b875d749d-srt2z,11,16
1781686428,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686428,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,23,7
1781686428,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686428,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686428,gsm-15,osmo-mobile-665fb7b778-xfkbd,5,28
1781686428,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686428,gsm-15,virtphy-d6c8f9dd5-7cv4t,7,1
1781686431,gsm-15,msc-test-stub-5b875d749d-srt2z,11,16
1781686431,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686431,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,23,7
1781686431,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686431,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686431,gsm-15,osmo-mobile-665fb7b778-xfkbd,5,28
1781686431,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686431,gsm-15,virtphy-d6c8f9dd5-7cv4t,7,1
1781686435,gsm-15,msc-test-stub-5b875d749d-srt2z,11,16
1781686435,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686435,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,23,7
1781686435,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686435,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686435,gsm-15,osmo-mobile-665fb7b778-xfkbd,5,28
1781686435,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686435,gsm-15,virtphy-d6c8f9dd5-7cv4t,7,1
1781686437,gsm-15,msc-test-stub-5b875d749d-srt2z,2,19
1781686437,gsm-15,osmo-bsc-594654bd47-pl427,1,5
1781686437,gsm-15,osmo-bts-virtual-5f8b9b86fc-29whg,30,5
1781686437,gsm-15,osmo-hlr-546bdb8988-zpdhq,1,2
1781686437,gsm-15,osmo-mgw-8c8fc67d6-qbjk7,1,2
1781686437,gsm-15,osmo-mobile-665fb7b778-xfkbd,3,28
1781686437,gsm-15,osmo-stp-768687f494-6tljw,1,2
1781686437,gsm-15,virtphy-d6c8f9dd5-7cv4t,7,1
