unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781689019,82.35,107930064,19.73,389,1572864,200736,76,0,0,4096,3874816,6,5,17
1781689022,82.33,108245288,25.43,481,1572864,200832,75,47631,699134,3678208,82096128,25,21,17
1781689025,57.96,108574740,25.43,579,1572864,202272,83,26462,106441,14962688,95330304,43,37,17
1781689028,71.09,109020068,35.57,703,1572864,203520,83,34896,125167,34254848,102612992,59,56,17
1781689031,53.52,109822108,44.41,802,1572864,203808,87,20274,70166,2113536,74842112,75,69,17
1781689036,52.73,110153864,44.41,981,1572864,204864,88,28200,127753,2576384,67874816,97,91,17
1781689042,52.64,109506560,57.75,1376,1572864,205440,115,63597,194118,4472832,578588672,127,116,17
1781689048,46.94,105580104,73.20,1755,1572864,206784,158,76248,241196,3522560,398450688,134,133,17
1781689051,41.18,106312544,78.95,2230,1572864,206496,233,126136,324579,4128768,105639936,134,133,17
1781689054,55.56,106592124,78.95,2459,1572864,206016,265,68613,92305,614400,16842752,134,133,17
1781689057,69.48,106147844,76.47,2646,1572864,206304,306,84153,105219,24576,18407424,134,133,17
1781689060,63.17,106138700,74.19,2865,1572864,206400,352,100305,84726,65536,11874304,134,133,17
1781689062,83.22,106374624,74.19,3058,1572864,206304,395,87544,55897,12288,35262464,134,133,17
1781689064,42.94,106147744,74.19,3183,1572864,206016,440,91966,59476,4096,32567296,134,133,17
1781689067,41.83,106165056,69.61,3336,1572864,206112,490,98090,34453,4096,14184448,134,133,17
1781689069,49.05,106398640,69.61,3431,1572864,206496,530,103497,29722,98304,87617536,134,133,17
1781689071,51.54,106618300,66.44,3562,1572864,206784,575,107959,38135,2179072,11923456,134,133,17
1781689074,39.64,106690748,66.44,3695,1572864,206496,612,102060,33820,0,188416,135,134,17
1781689076,36.12,106623940,62.40,3816,1572864,206400,649,99278,32938,4096,168022016,135,134,17
1781689078,37.76,106640860,62.40,3960,1572864,206304,698,105022,38463,4096,32403456,135,134,17
1781689080,39.34,106450260,58.28,4077,1572864,206496,747,106310,40019,0,1273856,136,135,17
1781689083,41.22,106706572,58.28,4231,1572864,206592,765,108519,47572,8192,59310080,137,136,17
1781689086,38.42,106520420,54.42,4349,1572864,206688,802,109034,29444,0,25481216,138,137,17
1781689088,39.14,106518204,54.42,4536,1572864,206880,868,130137,40590,0,5922816,142,141,17
1781689090,41.71,106803028,50.54,4655,1572864,206688,913,110884,33759,0,17190912,143,142,17
1781689093,38.24,106978840,50.54,4778,1572864,206592,957,102154,27373,0,462848,143,142,17
1781689095,39.39,107063076,47.69,4919,1572864,206592,1009,103387,41737,0,3706880,145,144,17
1781689098,41.16,107405368,47.69,5065,1572864,206976,1040,106835,31546,73728,7897088,146,145,17
1781689100,39.31,107740040,44.43,5190,1572864,206784,1087,115706,35623,147456,27582464,146,145,17
1781689102,39.30,108324396,44.43,5334,1572864,206976,1111,104417,32111,0,7385088,146,145,17
1781689105,45.81,108699520,42.96,5438,1572864,207168,1162,102384,30794,4096,22450176,146,145,17
1781689108,82.95,109134836,42.96,2270,1572864,206880,1173,109325,32053,0,29523968,147,146,17
1781689111,93.55,109610980,43.44,2475,1572864,206784,1187,130958,53346,4096,11710464,147,146,17
1781689113,40.20,109586980,43.44,2595,1572864,206880,1228,97607,27592,0,3641344,147,146,17
1781689115,39.70,109469784,40.60,2741,1572864,206976,1211,99366,30262,0,18636800,147,146,17
1781689118,38.40,110012496,40.60,2890,1572864,207072,1260,101877,32923,0,11022336,147,146,17
1781689121,68.63,110960732,41.92,3060,1572864,207264,1266,129872,41645,0,21438464,147,146,17
1781689123,72.04,110316408,41.92,3216,1572864,206592,1250,104538,31508,0,26537984,147,146,17
1781689125,46.41,110399680,39.36,3334,1572864,206784,1287,104930,41034,0,9703424,147,146,17
1781689128,40.08,110325280,39.36,3458,1572864,206592,1254,101063,29957,0,5750784,147,146,17
1781689131,38.98,110266908,36.77,3609,1572864,206976,1233,120948,39267,0,33763328,147,146,17
1781689133,83.18,111374152,36.77,3762,1572864,206784,1261,108400,30392,4096,3358720,147,146,17
1781689136,64.60,111158824,35.19,3906,1572864,206688,1209,111755,32691,0,9674752,147,146,17
1781689138,60.06,110532812,35.19,4060,1572864,206784,1175,109334,34561,1466368,19345408,147,146,17
1781689141,41.40,110511076,33.41,4231,1572864,206976,1228,119448,46695,0,7229440,147,146,17
1781689143,42.36,110547772,33.41,4362,1572864,207168,1181,97149,25092,0,3866624,147,146,17
1781689145,62.49,110987012,33.62,4485,1572864,207072,1221,102424,29305,8192,7540736,147,146,17
1781689147,80.76,111648880,33.62,4631,1572864,206976,1177,109388,32561,0,13594624,147,146,17
1781689150,79.75,110501552,33.62,4761,1572864,206784,1209,104115,27969,0,26812416,147,146,17
1781689152,64.72,110714176,35.81,4898,1572864,207072,1161,109905,30249,0,35889152,147,146,17
1781689154,46.47,110663292,35.81,5064,1572864,206880,1129,116939,44238,0,34385920,147,146,17
1781689157,42.79,110878076,35.74,5202,1572864,206784,1179,99812,28266,0,9859072,147,146,17
1781689160,70.56,111598216,35.74,5341,1572864,207168,1143,111752,33750,0,6053888,147,146,17
1781689162,83.30,112046720,40.25,5515,1572864,206880,1183,120728,34437,4096,4403200,147,146,17
1781689164,54.79,110513656,40.25,5653,1572864,206880,1143,108355,31177,16384,6103040,147,146,17
1781689166,41.02,110588240,38.63,5766,1572864,207072,1181,99670,27486,0,9908224,147,146,17
1781689168,39.33,110756216,38.63,3220,1572864,206880,1148,102140,43573,4096,8601600,147,146,17
1781689171,42.42,110647824,36.74,3369,1572864,206880,1130,95650,29252,73728,25284608,147,146,17
1781689173,56.79,110800820,36.74,3509,1572864,206976,1170,106795,33299,20480,20742144,147,146,17
1781689176,74.78,111229492,34.75,3681,1572864,206976,1131,108774,30886,57344,44568576,147,146,17
1781689178,83.10,110928508,34.75,3822,1572864,206784,1166,108921,33893,0,5754880,147,146,17
1781689180,50.45,110963776,33.33,3995,1572864,206976,1131,105754,33280,28672,5070848,147,146,17
1781689183,44.39,110928784,33.33,4112,1572864,207168,1174,93765,26066,45056,11145216,147,146,17
1781689186,58.41,110882484,33.63,4296,1572864,207264,1154,129294,51218,0,34131968,147,146,17
1781689189,49.55,110722420,33.63,4477,1572864,206976,1130,127041,42241,12288,32059392,147,146,17
1781689192,37.47,110551368,34.38,4642,1572864,207264,1107,114182,37608,32768,20590592,147,146,17
1781689194,42.70,110375068,34.38,4785,1572864,207360,1151,96379,27963,16384,191131648,147,146,17
1781689196,44.24,110653960,34.67,4916,1572864,207360,1133,95481,27488,16384,287346688,147,146,17
1781689198,42.59,109050696,34.67,5049,1572864,207168,1182,99911,33003,16384,119029760,147,146,17
1781689200,40.90,106796868,33.73,5167,1572864,207456,1163,63735,38065,200704,7512064,147,146,17
1781689203,43.42,106787892,33.73,5296,1572864,207264,1197,95199,24817,0,25313280,147,146,17
1781689205,42.59,106876640,32.95,5434,1572864,206880,1152,94585,29123,0,21770240,147,146,17
1781689207,36.77,106692724,32.95,5569,1572864,207072,1198,91036,29719,20480,40607744,147,146,17
1781689209,41.10,106760932,32.95,5691,1572864,207072,1173,103889,31603,8192,8544256,147,146,17
1781689212,42.71,106859960,32.08,5837,1572864,206880,1155,100423,30755,0,10084352,147,146,17
1781689214,41.87,107016604,32.08,5945,1572864,206784,1204,94246,39934,569344,22355968,147,146,17
1781689217,36.27,107027152,47.77,6076,1572864,206880,1190,110627,36102,8192,6500352,147,146,17
1781689219,43.48,107022324,47.77,6201,1572864,207072,1236,104259,32831,16384,45895680,147,146,17
1781689221,42.70,107055364,45.54,6317,1572864,206976,1207,101543,31538,8192,9613312,147,146,17
1781689224,42.25,107060124,45.54,6445,1572864,206976,1251,97817,28682,0,155648,147,146,17
1781689227,40.75,107163768,42.86,6574,1572864,206976,1217,93571,27696,12288,15675392,147,146,17
1781689229,40.13,106866304,42.86,3039,1572864,207168,1184,120523,48935,20480,30425088,147,146,17
1781689231,41.65,107250360,42.55,3196,1572864,206976,1235,101529,34704,4096,3506176,147,146,17
1781689233,43.09,104736840,42.55,3335,1572864,206688,1203,98098,29603,4096,132968448,147,146,17
1781689237,43.18,104815120,41.30,3480,1572864,206784,1243,95720,27655,12288,11161600,147,146,17
1781689239,38.33,104759388,41.30,3660,1572864,206784,1238,129599,42478,36864,16359424,147,146,17
1781689241,41.62,105011348,39.36,3812,1572864,206784,1213,97069,29616,0,6955008,147,146,17
1781689243,42.89,105502448,39.36,3947,1572864,206688,1256,102285,31772,4096,12771328,147,146,17
