unix_ts,namespace,pod,cpu_m,mem_mib
1781689051,gsm-4,osmo-bsc-594654bd47-fb6zl,5,0
1781689051,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,7,0
1781689051,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,6,2
1781689054,gsm-4,osmo-bsc-594654bd47-fb6zl,5,0
1781689054,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,7,0
1781689054,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,6,2
1781689057,gsm-4,msc-test-stub-5b875d749d-p5hd5,4,0
1781689057,gsm-4,osmo-bsc-594654bd47-fb6zl,5,0
1781689057,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,7,0
1781689057,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,6,2
1781689059,gsm-4,msc-test-stub-5b875d749d-p5hd5,4,0
1781689059,gsm-4,osmo-bsc-594654bd47-fb6zl,5,0
1781689059,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,7,0
1781689059,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,6,2
1781689062,gsm-4,msc-test-stub-5b875d749d-p5hd5,4,0
1781689062,gsm-4,osmo-bsc-594654bd47-fb6zl,5,0
1781689062,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,7,0
1781689062,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,6,2
1781689064,gsm-4,osmo-bsc-594654bd47-fb6zl,5,5
1781689064,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,6,0
1781689064,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,1,2
1781689064,gsm-4,osmo-mobile-74f4b9d576-kbdsk,8,27
1781689064,gsm-4,osmo-stp-768687f494-c7kmj,1,2
1781689064,gsm-4,virtphy-7cb5464db9-hfqwv,6,1
1781689066,gsm-4,osmo-bsc-594654bd47-fb6zl,5,5
1781689066,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,6,0
1781689066,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,1,2
1781689066,gsm-4,osmo-mobile-74f4b9d576-kbdsk,8,27
1781689066,gsm-4,osmo-stp-768687f494-c7kmj,1,2
1781689066,gsm-4,virtphy-7cb5464db9-hfqwv,6,1
1781689069,gsm-4,osmo-bsc-594654bd47-fb6zl,5,5
1781689069,gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,6,0
1781689069,gsm-4,osmo-mgw-8c8fc67d6-v2lk8,1,2
1781689069,gsm-4,osmo-mobile-74f4b9d576-kbdsk,8,27
1781689069,gsm-4,osmo-stp-768687f494-c7kmj,1,2
1781689069,gsm-4,virtphy-7cb5464db9-hfqwv,6,1
