namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-7l9mw,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-z95mm,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-w4htl,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-5bqxk,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-l5p7t,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-rtzf6,mobile,0,false,
gsm-1,osmo-stp-768687f494-rwxsl,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-8-2-1-fggng,ttcn3,0,false,
gsm-1,virtphy-858665df6d-7hccr,virtphy,0,false,
gsm-2,msc-test-stub-5b875d749d-p4wbd,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-md7sd,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-5f8b9b86fc-zp5fw,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-546bdb8988-nmhwv,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-m5fmh,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-mcqn8,mobile,0,false,
gsm-2,osmo-stp-768687f494-vvcbl,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-8-1-2-1-1-1-kzph4,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-l2xwr,virtphy,0,false,
gsm-3,msc-test-stub-5b875d749d-jgh78,msc-test-stub,0,false,
gsm-3,osmo-bsc-594654bd47-7ll92,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-5f8b9b86fc-vrc66,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-546bdb8988-xp6rq,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-pxbmn,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-n4fvf,mobile,0,false,
gsm-3,osmo-stp-768687f494-zdcmx,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-7-2-1-1-d88vk,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-5dqgl,virtphy,0,false,
gsm-4,msc-test-stub-5b875d749d-p5hd5,msc-test-stub,0,false,
gsm-4,osmo-bsc-594654bd47-fb6zl,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-5f8b9b86fc-zfrkw,osmo-bts-virtual,0,false,
gsm-4,osmo-hlr-546bdb8988-pkqb8,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-v2lk8,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-kbdsk,mobile,0,false,
gsm-4,osmo-stp-768687f494-c7kmj,osmo-stp,0,false,
gsm-4,ttcn3-tc-26-7-2-2-1-fq7jw,ttcn3,0,false,
gsm-4,virtphy-7cb5464db9-hfqwv,virtphy,0,false,
gsm-5,msc-test-stub-5b875d749d-4pht7,msc-test-stub,0,false,
gsm-5,osmo-bsc-594654bd47-77llw,osmo-bsc,0,false,
gsm-5,osmo-bts-virtual-5f8b9b86fc-4z94x,osmo-bts-virtual,0,false,
gsm-5,osmo-hlr-546bdb8988-qpvfh,osmo-hlr,0,false,
gsm-5,osmo-mgw-8c8fc67d6-nltq4,osmo-mgw,0,false,
gsm-5,osmo-mobile-59d8d55bb5-lbzb7,mobile,0,false,
gsm-5,osmo-stp-768687f494-2bx28,osmo-stp,0,false,
gsm-5,ttcn3-tc-26-8-1-3-4-6-1-n5mkx,ttcn3,0,false,
gsm-5,virtphy-b55647b48-bbwdk,virtphy,0,false,
gsm-6,msc-test-stub-5b875d749d-lwkp7,msc-test-stub,0,false,
gsm-6,osmo-bsc-594654bd47-tqk82,osmo-bsc,0,false,
gsm-6,osmo-bts-virtual-5f8b9b86fc-pgsrw,osmo-bts-virtual,0,false,
gsm-6,osmo-hlr-546bdb8988-nd6cc,osmo-hlr,0,false,
gsm-6,osmo-mgw-8c8fc67d6-k8mxb,osmo-mgw,0,false,
gsm-6,osmo-mobile-7b8d4df666-xsk29,mobile,0,false,
gsm-6,osmo-stp-768687f494-54tc6,osmo-stp,0,false,
gsm-6,ttcn3-tc-26-7-5-6-1-dxlfb,ttcn3,0,false,
gsm-6,virtphy-65fcd75d7-z7w9g,virtphy,0,false,
gsm-7,msc-test-stub-5b875d749d-tv8k7,msc-test-stub,0,false,
gsm-7,osmo-bsc-594654bd47-njcdt,osmo-bsc,0,false,
gsm-7,osmo-bts-virtual-5f8b9b86fc-jjq54,osmo-bts-virtual,0,false,
gsm-7,osmo-hlr-546bdb8988-kh7ct,osmo-hlr,0,false,
gsm-7,osmo-mgw-8c8fc67d6-8n7mm,osmo-mgw,0,false,
gsm-7,osmo-mobile-6865667c79-6kqrg,mobile,0,false,
gsm-7,osmo-stp-768687f494-6qh85,osmo-stp,0,false,
gsm-7,ttcn3-tc-26-8-1-3-3-1-1-zm28s,ttcn3,0,false,
gsm-7,virtphy-6cd7658d46-vqvxl,virtphy,0,false,
gsm-8,msc-test-stub-5b875d749d-b2zkv,msc-test-stub,0,false,
gsm-8,osmo-bsc-594654bd47-64gb2,osmo-bsc,0,false,
gsm-8,osmo-bts-virtual-5f8b9b86fc-pwdjq,osmo-bts-virtual,0,false,
gsm-8,osmo-hlr-546bdb8988-8kf56,osmo-hlr,0,false,
gsm-8,osmo-mgw-8c8fc67d6-cddks,osmo-mgw,0,false,
gsm-8,osmo-mobile-7f88cc47b4-f9v5b,mobile,0,false,
gsm-8,osmo-stp-768687f494-dkljv,osmo-stp,0,false,
gsm-8,ttcn3-tc-26-6-2-4-1-kbnsh,ttcn3,0,false,
gsm-8,virtphy-86b4bdf559-f9jn5,virtphy,0,false,
gsm-9,msc-test-stub-5b875d749d-w4r67,msc-test-stub,0,false,
gsm-9,osmo-bsc-594654bd47-ql98j,osmo-bsc,0,false,
gsm-9,osmo-bts-virtual-5f8b9b86fc-7xtt7,osmo-bts-virtual,0,false,
gsm-9,osmo-hlr-546bdb8988-lmk2s,osmo-hlr,0,false,
gsm-9,osmo-mgw-8c8fc67d6-rnqbv,osmo-mgw,0,false,
gsm-9,osmo-mobile-7865cb9f97-spl7g,mobile,0,false,
gsm-9,osmo-stp-768687f494-f9q5n,osmo-stp,0,false,
gsm-9,ttcn3-tc-26-6-11-1-1-k86t5,ttcn3,0,false,
gsm-9,virtphy-67c44d7894-nzn8v,virtphy,0,false,
gsm-11,msc-test-stub-5b875d749d-42xw6,msc-test-stub,0,false,
gsm-11,osmo-bsc-594654bd47-hsldg,osmo-bsc,0,false,
gsm-11,osmo-bts-virtual-5f8b9b86fc-pvclw,osmo-bts-virtual,0,false,
gsm-11,osmo-hlr-546bdb8988-dgk9g,osmo-hlr,0,false,
gsm-11,osmo-mgw-8c8fc67d6-57rs8,osmo-mgw,0,false,
gsm-11,osmo-mobile-7d9d749446-wnmhf,mobile,0,false,
gsm-11,osmo-stp-768687f494-jjtl5,osmo-stp,0,false,
gsm-11,ttcn3-tc-26-7-4-1-1-snk4z,ttcn3,0,false,
gsm-11,virtphy-85bb76b745-trs5j,virtphy,0,false,
gsm-12,msc-test-stub-5b875d749d-gwrsq,msc-test-stub,0,false,
gsm-12,osmo-bsc-594654bd47-nsnfh,osmo-bsc,0,false,
gsm-12,osmo-bts-virtual-5f8b9b86fc-q9944,osmo-bts-virtual,0,false,
gsm-12,osmo-hlr-546bdb8988-lwwv5,osmo-hlr,0,false,
gsm-12,osmo-mgw-8c8fc67d6-8xj9h,osmo-mgw,0,false,
gsm-12,osmo-mobile-6f9f4986c7-lrm9l,mobile,0,false,
gsm-12,osmo-stp-768687f494-qqs8g,osmo-stp,0,false,
gsm-12,ttcn3-tc-26-7-5-3-1-smqbw,ttcn3,0,false,
gsm-12,virtphy-795777fb74-d4frw,virtphy,0,false,
gsm-13,msc-test-stub-5b875d749d-fhrt5,msc-test-stub,0,false,
gsm-13,osmo-bsc-594654bd47-nvwn2,osmo-bsc,0,false,
gsm-13,osmo-bts-virtual-5f8b9b86fc-w7mwl,osmo-bts-virtual,0,false,
gsm-13,osmo-hlr-546bdb8988-nxzt4,osmo-hlr,0,false,
gsm-13,osmo-mgw-8c8fc67d6-2xsnn,osmo-mgw,0,false,
gsm-13,osmo-mobile-78d649dbd4-x8mrq,mobile,0,false,
gsm-13,osmo-stp-768687f494-qj794,osmo-stp,0,false,
gsm-13,ttcn3-tc-26-6-2-3-1-1-hl7m9,ttcn3,0,false,
gsm-13,virtphy-7f6dc4d8b7-xpwjw,virtphy,0,false,
gsm-15,osmo-mobile-665fb7b778-smhs5,mobile,0,false,
gsm-16,msc-test-stub-5b875d749d-gqc5v,msc-test-stub,0,false,
gsm-16,osmo-bsc-594654bd47-gb6wn,osmo-bsc,0,false,
gsm-16,osmo-bts-virtual-5f8b9b86fc-86rkc,osmo-bts-virtual,0,false,
gsm-16,osmo-hlr-546bdb8988-5qzkh,osmo-hlr,0,false,
gsm-16,osmo-mgw-8c8fc67d6-nw75p,osmo-mgw,0,false,
gsm-16,osmo-mobile-59db459c77-c5mpj,mobile,0,false,
gsm-16,osmo-stp-768687f494-rnsgh,osmo-stp,0,false,
gsm-16,ttcn3-tc-26-6-1-1-1-wb5g5,ttcn3,0,false,
gsm-16,virtphy-7ff7d8df7d-dhg5q,virtphy,0,false,
