namespace,phase,unix_ts
gsm-1,t0,1781678743.756736916
gsm-1,t_apply,1781678745.224013388
gsm-1,t_ready,1781678903.152078196
gsm-1,t_attached,1781679078.848947635
gsm-1,t_test0,1781679078.849948469
gsm-1,t_testN,1781679421.874049874
gsm-1,t_teardown,1781679477.177088688
gsm-2,t0,1781678743.759214905
gsm-2,t_apply,1781678745.190305163
gsm-2,t_ready,1781678903.275791029
gsm-2,t_attached,1781679030.169947400
gsm-2,t_test0,1781679030.171268539
gsm-2,t_testN,1781679333.847241150
gsm-2,t_teardown,1781679394.975906026
gsm-3,t0,1781678743.759879840
gsm-3,t_apply,1781678744.711547588
gsm-3,t_ready,1781678908.384178142
gsm-3,t_attached,1781679030.166248912
gsm-3,t_test0,1781679030.167649808
gsm-3,t_testN,1781679291.103160575
gsm-3,t_teardown,1781679353.081039220
gsm-4,t0,1781678743.762089296
gsm-4,t_apply,1781678745.350308193
gsm-4,t_ready,1781678913.803132535
gsm-4,t_attached,1781679040.124744367
gsm-4,t_test0,1781679040.126480982
gsm-4,t_testN,1781679354.292577081
gsm-4,t_teardown,1781679415.989690670
gsm-5,t0,1781678743.761977007
gsm-5,t_apply,1781678745.228951437
gsm-5,t_ready,1781678908.376655667
gsm-5,t_attached,1781679030.293435101
gsm-5,t_test0,1781679030.294693158
gsm-5,t_testN,1781679336.922021380
gsm-5,t_teardown,1781679407.126084986
gsm-6,t0,1781678743.764260114
gsm-6,t_apply,1781678745.169185807
gsm-6,t_ready,1781678903.234493240
gsm-6,t_attached,1781679027.003523269
gsm-6,t_test0,1781679027.004914294
gsm-6,t_testN,1781679194.389473877
gsm-6,t_teardown,1781679273.985359551
gsm-7,t0,1781678743.765371156
gsm-7,t_apply,1781678744.928699558
gsm-7,t_ready,1781678892.208601410
gsm-7,t_attached,1781679030.164792614
gsm-7,t_test0,1781679030.167424775
gsm-7,t_testN,1781679336.185162818
gsm-7,t_teardown,1781679405.984606884
gsm-8,t0,1781678743.767740700
gsm-8,t_apply,1781678745.342549174
gsm-8,t_ready,1781678918.949374837
gsm-8,t_attached,1781679040.234963349
gsm-8,t_test0,1781679040.236204632
gsm-8,t_testN,1781679367.123196305
gsm-8,t_teardown,1781679430.325232855
gsm-9,t0,1781678743.767963196
gsm-9,t_apply,1781678745.273703503
gsm-9,t_ready,1781678908.487669829
gsm-9,t_attached,1781679033.592200987
gsm-9,t_test0,1781679033.593606225
gsm-9,t_testN,1781679431.379542195
gsm-9,t_teardown,1781679486.025532122
gsm-10,t0,1781678743.771923407
gsm-10,t_apply,1781678745.320913140
gsm-10,t_ready,1781678908.379462887
gsm-10,t_attached,1781679030.138524450
gsm-10,t_test0,1781679030.139660980
gsm-10,t_testN,1781679408.993284074
gsm-10,t_teardown,1781679466.984486230
gsm-11,t0,1781678743.830236908
gsm-11,t_apply,1781678745.432228187
gsm-11,t_ready,1781678929.494654155
gsm-11,t_attached,1781679052.733910451
gsm-11,t_test0,1781679052.734888168
gsm-11,t_testN,1781679532.117798641
gsm-11,t_teardown,1781679580.337474721
gsm-12,t0,1781678743.832360237
gsm-12,t_apply,1781678745.474969742
gsm-12,t_teardown,1781679002.257947538
gsm-13,t0,1781678743.830230587
gsm-13,t_apply,1781678745.371455132
gsm-13,t_ready,1781678924.157393991
gsm-13,t_attached,1781679046.946470943
gsm-13,t_test0,1781679046.948761822
gsm-13,t_testN,1781679385.072502756
gsm-13,t_teardown,1781679441.892041182
gsm-14,t0,1781678743.829614601
gsm-14,t_apply,1781678745.383696490
gsm-14,t_ready,1781678908.380623481
gsm-14,t_attached,1781679036.979028857
gsm-14,t_test0,1781679036.980489456
gsm-14,t_testN,1781679594.399385312
gsm-14,t_teardown,1781679653.582197807
gsm-15,t0,1781678743.830231348
gsm-15,t_apply,1781678745.512425659
gsm-15,t_teardown,1781679001.472453831
gsm-16,t0,1781678743.829989982
gsm-16,t_apply,1781678745.465469569
gsm-16,t_teardown,1781679039.972649913
