unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781678744,70.83,97237912,5.15,421,1572864,203232,72,139,289,479232,3866624,6,5,17
1781678748,79.82,97791616,5.15,519,1572864,204000,76,47444,694653,8138752,66883584,25,21,17
1781678754,35.30,97758064,10.50,596,1572864,204384,80,35685,118240,36864,61616128,61,42,17
1781678765,29.48,98653960,29.16,704,1572864,205536,78,46355,26652,151552,165289984,122,120,17
1781678780,33.45,98502068,58.83,803,1572864,207552,76,40798,31003,1155072,200228864,134,133,17
1781678814,14.65,99999484,115.21,594,1572864,207744,95,131361,152770,1757184,215572480,134,133,17
1781678854,16.68,99770036,155.75,1001,1572864,208992,193,176733,320323,2371584,434339840,134,133,17
1781678874,17.97,99633772,169.83,1214,1572864,209664,306,138768,300349,28672,117743616,134,133,17
1781678878,19.87,99903812,156.97,2006,1572864,209376,487,174635,485048,491520,123916288,134,133,17
1781678883,30.16,99747788,158.68,2164,1572864,209088,566,79631,160073,8953856,71163904,134,133,17
1781678888,36.30,98134748,158.68,2358,1572864,208608,599,40015,36335,892928,16498688,134,133,17
1781678892,32.56,98267628,151.26,2590,1572864,208800,642,64409,65534,499712,12701696,134,133,17
1781678895,38.97,98220680,149.48,2811,1572864,209088,705,59862,71644,626688,32034816,134,133,17
1781678898,38.67,98199756,149.48,2939,1572864,209088,754,38362,68861,53248,6053888,134,133,15
1781678901,51.38,98164568,144.15,3108,1572864,209376,802,49963,51541,81920,25161728,134,133,15
1781678903,52.51,98140044,133.65,3219,1572864,209184,811,33107,49596,45056,524288,134,133,15
1781678906,34.31,98198504,133.65,3374,1572864,209376,857,37498,34962,65536,8699904,134,133,15
1781678909,29.46,98335688,123.91,3516,1572864,209088,899,42055,86461,0,17391616,134,133,15
1781678912,37.09,98401828,123.91,3718,1572864,209280,929,34195,52028,20480,4550656,134,133,15
1781678914,28.62,98833776,115.43,3871,1572864,209088,992,46319,41619,1626112,6037504,134,133,15
1781678917,33.79,98926532,115.43,4001,1572864,209088,1004,32772,34346,16384,26591232,134,133,15
1781678920,31.85,98790040,106.66,4178,1572864,208992,1047,44150,38936,0,1228800,134,133,15
1781678923,34.17,98894404,106.66,4302,1572864,209088,1089,31178,28331,0,5406720,134,133,15
1781678925,32.74,99103668,98.60,2232,1572864,208896,1098,32289,35903,12288,15769600,134,133,15
1781678929,32.37,98894816,91.67,2394,1572864,208704,1119,115031,76908,4096,12713984,134,133,15
1781678932,27.95,98888484,91.67,2632,1572864,208992,1154,102456,53799,749568,13942784,134,133,15
1781678935,34.96,99015124,86.09,2766,1572864,209184,1202,68863,27418,61440,331776,134,133,15
1781678938,34.46,98898136,86.09,2906,1572864,209184,1193,77055,32422,4096,13025280,134,133,15
1781678941,33.33,99003056,80.00,3092,1572864,208896,1218,88920,56092,10301440,13905920,134,133,15
1781678943,36.12,98942264,75.51,3247,1572864,208800,1206,79055,32687,4096,7680000,134,133,15
1781678946,34.79,98987088,75.51,3370,1572864,208992,1260,78113,33633,237568,983040,134,133,15
1781678948,33.77,99119588,70.75,3498,1572864,209088,1247,68539,28122,118784,15343616,134,133,15
