unix_ts,namespace,pod,cpu_m,mem_mib
1781678925,gsm-7,msc-test-stub-5b875d749d-hvdcl,1,16
1781678925,gsm-7,osmo-bsc-594654bd47-6d977,1,5
1781678925,gsm-7,osmo-bts-virtual-5f8b9b86fc-tnch2,10,9
1781678925,gsm-7,osmo-hlr-546bdb8988-mphkq,1,2
1781678925,gsm-7,osmo-mgw-8c8fc67d6-dx65q,1,2
1781678925,gsm-7,osmo-mobile-6865667c79-xgctm,2,28
1781678925,gsm-7,osmo-stp-768687f494-4tj2q,1,2
1781678925,gsm-7,virtphy-6cd7658d46-pf5ps,7,1
1781678929,gsm-7,msc-test-stub-5b875d749d-hvdcl,1,16
1781678929,gsm-7,osmo-bsc-594654bd47-6d977,1,5
1781678929,gsm-7,osmo-bts-virtual-5f8b9b86fc-tnch2,10,9
1781678929,gsm-7,osmo-hlr-546bdb8988-mphkq,1,2
1781678929,gsm-7,osmo-mgw-8c8fc67d6-dx65q,1,2
1781678929,gsm-7,osmo-mobile-6865667c79-xgctm,2,28
1781678929,gsm-7,osmo-stp-768687f494-4tj2q,1,2
1781678929,gsm-7,virtphy-6cd7658d46-pf5ps,7,1
1781678932,gsm-7,msc-test-stub-5b875d749d-hvdcl,1,16
1781678932,gsm-7,osmo-bsc-594654bd47-6d977,1,5
1781678932,gsm-7,osmo-bts-virtual-5f8b9b86fc-tnch2,10,9
1781678932,gsm-7,osmo-hlr-546bdb8988-mphkq,1,2
1781678932,gsm-7,osmo-mgw-8c8fc67d6-dx65q,1,2
1781678932,gsm-7,osmo-mobile-6865667c79-xgctm,2,28
1781678932,gsm-7,osmo-stp-768687f494-4tj2q,1,2
1781678932,gsm-7,virtphy-6cd7658d46-pf5ps,7,1
1781678934,gsm-7,msc-test-stub-5b875d749d-hvdcl,1,16
1781678934,gsm-7,osmo-bsc-594654bd47-6d977,1,5
1781678934,gsm-7,osmo-bts-virtual-5f8b9b86fc-tnch2,10,9
1781678934,gsm-7,osmo-hlr-546bdb8988-mphkq,1,2
1781678934,gsm-7,osmo-mgw-8c8fc67d6-dx65q,1,2
1781678934,gsm-7,osmo-mobile-6865667c79-xgctm,2,28
1781678934,gsm-7,osmo-stp-768687f494-4tj2q,1,2
1781678934,gsm-7,virtphy-6cd7658d46-pf5ps,7,1
1781678937,gsm-7,msc-test-stub-5b875d749d-hvdcl,1,16
1781678937,gsm-7,osmo-bsc-594654bd47-6d977,1,5
