unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781676941,46.15,92172308,4.62,436,1572864,201696,67,0,0,36044800,0,6,5,17
1781676944,64.93,92516436,9.53,535,1572864,202848,68,36376,397474,19591168,53501952,22,21,17
1781676947,70.97,92648972,9.53,477,1572864,203328,65,19286,86181,27811840,60563456,37,33,17
1781676949,77.18,93022240,12.85,649,1572864,204480,66,29703,131122,45604864,53157888,47,46,17
1781676952,75.65,93099024,12.85,843,1572864,204768,77,26313,137234,12328960,53125120,64,60,17
1781676955,75.53,93460064,16.95,1046,1572864,205152,86,29784,115511,4407296,182808576,70,69,17
1781676957,73.00,93617884,19.12,1286,1572864,205440,96,24668,130536,1433600,42045440,70,69,17
1781676960,70.54,93593980,19.12,1456,1572864,205248,109,42435,72833,507904,24805376,70,69,17
1781676962,70.24,93616908,19.83,1590,1572864,205056,123,55977,69005,610304,14598144,70,69,17
1781676965,38.79,93663892,19.83,1593,1572864,204960,148,46446,35265,425984,7462912,70,69,17
1781676967,18.91,93731768,18.88,1727,1572864,205248,179,68024,26779,483328,3203072,70,69,17
1781676970,21.43,93726660,18.88,1802,1572864,205344,201,57164,18446,77824,6795264,70,69,17
1781676972,21.71,93925880,18.88,1862,1572864,205344,223,50321,15132,270336,3362816,70,69,17
1781676974,22.34,93878556,21.69,1937,1572864,205536,249,52819,28057,217088,6275072,70,69,17
1781676976,19.46,93797704,21.69,2021,1572864,205344,284,94830,33152,249856,7430144,70,69,17
1781676979,19.87,93782440,20.76,2089,1572864,205248,298,79677,28397,98304,9080832,70,69,17
1781676982,27.01,93807412,20.76,2205,1572864,205248,328,64980,21169,1359872,6205440,72,69,17
1781676985,38.79,93829092,24.62,2314,1572864,205824,368,90051,45433,217088,6168576,73,72,17
1781676987,47.74,94027572,24.62,2455,1572864,205824,411,75271,38337,2207744,9834496,75,74,17
1781676990,54.48,94114376,30.90,2622,1572864,205536,439,78647,38250,5611520,6119424,77,76,17
1781676992,62.86,94024504,30.90,2755,1572864,205920,462,73187,27652,7581696,20721664,78,77,17
1781676995,44.14,93909908,31.79,2907,1572864,205920,496,67246,25331,2306048,8171520,78,77,17
1781676997,34.71,94384460,30.52,3172,1572864,206016,529,69622,21007,1630208,8785920,78,77,17
1781676999,37.37,94167552,30.52,3268,1572864,206208,554,62910,17182,2007040,2199552,78,77,17
1781677001,33.94,94064368,30.52,3367,1572864,206208,564,60823,17567,11091968,7389184,78,77,17
1781677003,23.12,94009176,28.80,3454,1572864,206304,596,63305,19209,667648,33820672,78,77,17
1781677006,49.08,94107108,28.80,3526,1572864,206208,617,70656,32633,155648,254427136,78,77,17
1781677008,40.15,94148572,27.05,3597,1572864,206112,637,68013,17456,282624,4845568,78,77,17
1781677010,29.43,94096144,27.05,3672,1572864,206016,664,70175,21800,249856,5935104,78,77,17
1781677012,58.66,93985520,27.05,1687,1572864,206400,690,68350,127555,507904,25792512,74,77,17
1781677014,50.87,93856396,28.17,1774,1572864,206304,693,59620,14762,81920,3805184,73,72,17
1781677016,25.38,93777536,28.17,1851,1572864,205920,717,56469,18021,49152,10776576,72,71,17
1781677018,22.98,93578044,27.20,1711,1572864,205824,713,70311,28427,4096,12308480,72,71,17
1781677021,24.90,93684352,27.20,1795,1572864,205728,736,62644,18652,1277952,5591040,72,71,17
1781677023,26.75,93580244,25.58,1873,1572864,205440,736,58681,16042,4096,8650752,72,71,17
1781677025,23.01,93466264,25.58,1958,1572864,205536,763,60071,16896,0,10428416,72,71,17
1781677027,22.79,93409188,23.69,2044,1572864,205536,749,65001,17018,8192,20713472,72,71,17
1781677029,24.42,93452600,23.69,2119,1572864,205728,770,67171,18809,0,1212416,72,71,17
1781677032,25.64,93593340,23.69,2193,1572864,205920,744,58495,15536,0,13975552,72,71,17
1781677034,25.99,93564252,22.91,2279,1572864,206016,775,66926,48964,57344,11227136,72,71,17
1781677037,20.81,93675456,22.91,2372,1572864,205824,760,65381,18817,8192,6479872,72,71,17
1781677040,20.44,93817064,21.32,2468,1572864,206496,749,72756,23323,147456,3489792,72,71,17
1781677042,51.49,93782436,21.32,2545,1572864,206016,775,65200,28460,1560576,22978560,69,68,17
1781677044,49.22,93791600,22.49,2612,1572864,205824,729,61513,14743,0,3686400,69,68,17
1781677046,22.79,93678772,22.49,2690,1572864,205632,755,57176,16332,0,204800,69,68,17
1781677048,22.70,93726104,21.89,2760,1572864,205632,718,63154,17697,212992,6180864,69,68,17
1781677050,21.66,93724536,21.89,2832,1572864,205632,702,62877,24601,0,352256,69,68,17
1781677053,21.70,93878000,20.62,2903,1572864,205824,719,62261,14290,45056,7766016,69,68,17
1781677055,24.18,93703220,20.62,2987,1572864,205440,691,63274,19196,167936,2310144,69,68,17
1781677059,19.72,93802264,19.45,3070,1572864,205536,719,65882,17755,225280,9895936,69,68,17
1781677061,23.21,93784216,19.45,3185,1572864,205728,701,94283,31061,294912,9818112,69,68,17
1781677064,48.81,93742040,18.77,3259,1572864,205728,673,58771,30433,114688,4042752,69,68,17
