unix_ts,namespace,pod,cpu_m,mem_mib
1781676960,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676960,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676960,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676960,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676960,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676960,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676960,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676962,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676962,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676962,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676962,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676962,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676962,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676962,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676965,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676965,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676965,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676965,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676965,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676965,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676965,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676968,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676968,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676968,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676968,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676968,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676968,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676968,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676970,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676970,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676970,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676970,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676970,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676970,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676970,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676972,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676972,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676972,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676972,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676972,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676972,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676972,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676974,gsm-8,msc-test-stub-5b875d749d-ntrdj,1,16
1781676974,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676974,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,24,5
1781676974,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676974,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676974,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,2,54
1781676974,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676974,gsm-8,virtphy-86b4bdf559-d6mc7,6,1
1781676976,gsm-8,msc-test-stub-5b875d749d-ntrdj,1,16
1781676976,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676976,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,24,5
1781676976,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676976,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676976,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,2,54
1781676976,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676976,gsm-8,virtphy-86b4bdf559-d6mc7,6,1
1781676979,gsm-8,msc-test-stub-5b875d749d-ntrdj,1,16
1781676979,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676979,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,24,5
1781676979,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676979,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676979,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,2,54
1781676979,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676979,gsm-8,virtphy-86b4bdf559-d6mc7,6,1
1781676982,gsm-8,msc-test-stub-5b875d749d-ntrdj,1,16
1781676982,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676982,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,24,5
1781676982,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676982,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676982,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,2,54
1781676982,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676982,gsm-8,virtphy-86b4bdf559-d6mc7,6,1
1781676985,gsm-8,msc-test-stub-5b875d749d-ntrdj,1,16
1781676985,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676985,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,24,5
1781676985,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676985,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676985,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,2,54
1781676985,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676985,gsm-8,virtphy-86b4bdf559-d6mc7,6,1
1781676987,gsm-8,msc-test-stub-5b875d749d-ntrdj,2,16
1781676987,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676987,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,29,5
1781676987,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676987,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676987,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,3,54
1781676987,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676987,gsm-8,virtphy-86b4bdf559-d6mc7,7,1
1781676990,gsm-8,msc-test-stub-5b875d749d-ntrdj,2,16
1781676990,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676990,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,29,5
1781676990,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676990,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676990,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,3,54
1781676990,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676990,gsm-8,virtphy-86b4bdf559-d6mc7,7,1
1781676992,gsm-8,msc-test-stub-5b875d749d-ntrdj,2,16
1781676992,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676992,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,29,5
1781676992,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676992,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676992,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,3,54
1781676992,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676992,gsm-8,virtphy-86b4bdf559-d6mc7,7,1
1781676994,gsm-8,msc-test-stub-5b875d749d-ntrdj,2,16
1781676994,gsm-8,osmo-bsc-594654bd47-7ttkz,1,5
1781676994,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,29,5
1781676994,gsm-8,osmo-hlr-546bdb8988-qsgz7,1,4
1781676994,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,1,2
1781676994,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,3,54
1781676994,gsm-8,osmo-stp-768687f494-c4tgz,1,2
1781676994,gsm-8,virtphy-86b4bdf559-d6mc7,7,1
