unix_ts,namespace,pod,cpu_m,mem_mib
1781676941,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781676941,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1781676941,kube-system,metrics-server-786d997795-hcp2m,11,43
1781676941,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676941,kube-system,traefik-9bcdbbd9-qtpjt,1,35
1781676944,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781676944,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1781676944,kube-system,metrics-server-786d997795-hcp2m,7,43
1781676944,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676944,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676946,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781676946,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1781676946,kube-system,metrics-server-786d997795-hcp2m,7,43
1781676946,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676946,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676949,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781676949,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1781676949,kube-system,metrics-server-786d997795-hcp2m,7,43
1781676949,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676949,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676952,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781676952,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1781676952,kube-system,metrics-server-786d997795-hcp2m,7,43
1781676952,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676952,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676954,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781676954,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1781676954,kube-system,metrics-server-786d997795-hcp2m,7,43
1781676954,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676954,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676956,kube-system,coredns-c4dbffb5f-p9rsr,3,25
1781676956,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,15
1781676956,kube-system,metrics-server-786d997795-hcp2m,7,43
1781676956,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676956,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676959,gsm-1,osmo-bsc-594654bd47-72b82,6,8
1781676959,gsm-1,osmo-bts-virtual-5f8b9b86fc-jtzcd,11,6
1781676959,gsm-1,osmo-hlr-546bdb8988-7ttds,4,2
1781676959,gsm-1,osmo-mgw-8c8fc67d6-dldfd,4,6
1781676959,gsm-1,osmo-mobile-947867b85-pdzq8,18,49
1781676959,gsm-1,osmo-stp-768687f494-v8gqk,4,7
1781676959,gsm-1,virtphy-858665df6d-lvvsk,8,2
1781676959,gsm-5,osmo-bsc-594654bd47-jlvm5,5,0
1781676959,gsm-5,osmo-bts-virtual-5f8b9b86fc-vtpf2,7,0
1781676959,gsm-5,osmo-hlr-546bdb8988-mf548,4,2
1781676959,gsm-5,osmo-mgw-8c8fc67d6-x9c6z,3,2
1781676959,gsm-5,osmo-stp-768687f494-lr7gx,4,2
1781676959,gsm-7,osmo-bsc-594654bd47-b8xpk,7,5
1781676959,gsm-7,osmo-bts-virtual-5f8b9b86fc-82slr,8,0
1781676959,gsm-7,osmo-hlr-546bdb8988-sd7dr,4,2
1781676959,gsm-7,osmo-mgw-8c8fc67d6-28mpq,4,2
1781676959,gsm-7,osmo-mobile-6865667c79-wqbln,18,32
1781676959,gsm-7,osmo-stp-768687f494-hcd46,3,2
1781676959,gsm-7,virtphy-6cd7658d46-mvw8w,7,1
1781676959,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676959,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676959,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676959,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676959,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676959,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676959,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676959,kube-system,coredns-c4dbffb5f-p9rsr,9,25
1781676959,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781676959,kube-system,metrics-server-786d997795-hcp2m,8,43
1781676959,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676959,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676962,gsm-1,osmo-bsc-594654bd47-72b82,6,8
1781676962,gsm-1,osmo-bts-virtual-5f8b9b86fc-jtzcd,11,6
1781676962,gsm-1,osmo-hlr-546bdb8988-7ttds,4,2
1781676962,gsm-1,osmo-mgw-8c8fc67d6-dldfd,4,6
1781676962,gsm-1,osmo-mobile-947867b85-pdzq8,18,49
1781676962,gsm-1,osmo-stp-768687f494-v8gqk,4,7
1781676962,gsm-1,virtphy-858665df6d-lvvsk,8,2
1781676962,gsm-5,osmo-bsc-594654bd47-jlvm5,5,0
1781676962,gsm-5,osmo-bts-virtual-5f8b9b86fc-vtpf2,7,0
1781676962,gsm-5,osmo-hlr-546bdb8988-mf548,4,2
1781676962,gsm-5,osmo-mgw-8c8fc67d6-x9c6z,3,2
1781676962,gsm-5,osmo-stp-768687f494-lr7gx,4,2
1781676962,gsm-7,osmo-bsc-594654bd47-b8xpk,7,5
1781676962,gsm-7,osmo-bts-virtual-5f8b9b86fc-82slr,8,0
1781676962,gsm-7,osmo-hlr-546bdb8988-sd7dr,4,2
1781676962,gsm-7,osmo-mgw-8c8fc67d6-28mpq,4,2
1781676962,gsm-7,osmo-mobile-6865667c79-wqbln,18,32
1781676962,gsm-7,osmo-stp-768687f494-hcd46,3,2
1781676962,gsm-7,virtphy-6cd7658d46-mvw8w,7,1
1781676962,gsm-8,osmo-bsc-594654bd47-7ttkz,5,5
1781676962,gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,9,0
1781676962,gsm-8,osmo-hlr-546bdb8988-qsgz7,4,4
1781676962,gsm-8,osmo-mgw-8c8fc67d6-m2vj9,3,2
1781676962,gsm-8,osmo-mobile-7f88cc47b4-ddk5b,19,54
1781676962,gsm-8,osmo-stp-768687f494-c4tgz,4,2
1781676962,gsm-8,virtphy-86b4bdf559-d6mc7,8,1
1781676962,kube-system,coredns-c4dbffb5f-p9rsr,9,25
1781676962,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,14
1781676962,kube-system,metrics-server-786d997795-hcp2m,8,43
1781676962,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781676962,kube-system,traefik-9bcdbbd9-qtpjt,2,35
1781676964,gsm-1,osmo-bsc-594654bd47-72b82,6,8
1781676964,gsm-1,osmo-bts-virtual-5f8b9b86fc-jtzcd,11,6
1781676964,gsm-1,osmo-hlr-546bdb8988-7ttds,4,2
1781676964,gsm-1,osmo-mgw-8c8fc67d6-dldfd,4,6
1781676964,gsm-1,osmo-mobile-947867b85-pdzq8,18,49
1781676964,gsm-1,osmo-stp-768687f494-v8gqk,4,7
1781676964,gsm-1,virtphy-858665df6d-lvvsk,8,2
1781676964,gsm-5,osmo-bsc-594654bd47-jlvm5,5,0
1781676964,gsm-5,osmo-bts-virtual-5f8b9b86fc-vtpf2,7,0
1781676964,gsm-5,osmo-hlr-546bdb8988-mf548,4,2
1781676964,gsm-5,osmo-mgw-8c8fc67d6-x9c6z,3,2
1781676964,gsm-5,osmo-stp-768687f494-lr7gx,4,2
1781676964,gsm-7,osmo-bsc-594654bd47-b8xpk,7,5
