namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-5c2vp,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-72b82,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-jtzcd,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-7ttds,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-dldfd,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-pdzq8,mobile,0,false,
gsm-1,osmo-stp-768687f494-v8gqk,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-8-1-3-1-1-1-559ds,ttcn3,0,false,
gsm-1,virtphy-858665df6d-lvvsk,virtphy,0,false,
gsm-2,msc-test-stub-5b875d749d-phd8h,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-26fhw,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-5f8b9b86fc-mjkgz,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-546bdb8988-2vq87,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-7cnbq,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-zdvrt,mobile,0,false,
gsm-2,osmo-stp-768687f494-hqfzq,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-6-2-1-2-1-5blbq,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-c88s6,virtphy,0,false,
gsm-3,msc-test-stub-5b875d749d-62rxg,msc-test-stub,0,false,
gsm-3,osmo-bsc-594654bd47-clhnc,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-5f8b9b86fc-f462k,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-546bdb8988-6hqlc,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-6g6qp,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-ttw8v,mobile,0,false,
gsm-3,osmo-stp-768687f494-6hn2q,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-6-11-1-1-kjzld,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-z4gqq,virtphy,0,false,
gsm-4,msc-test-stub-5b875d749d-8c25n,msc-test-stub,0,false,
gsm-4,osmo-bsc-594654bd47-7wrjj,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-5f8b9b86fc-bgwgt,osmo-bts-virtual,0,false,
gsm-4,osmo-hlr-546bdb8988-fpwrz,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-hd7wv,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-vqck6,mobile,0,false,
gsm-4,osmo-stp-768687f494-pv99z,osmo-stp,0,false,
gsm-4,ttcn3-tc-26-8-1-3-4-6-1-2rt2z,ttcn3,0,false,
gsm-4,virtphy-7cb5464db9-bnj5b,virtphy,0,false,
gsm-5,msc-test-stub-5b875d749d-2dpsk,msc-test-stub,1,false,137
gsm-5,osmo-bsc-594654bd47-jlvm5,osmo-bsc,0,false,
gsm-5,osmo-bts-virtual-5f8b9b86fc-vtpf2,osmo-bts-virtual,0,false,
gsm-5,osmo-hlr-546bdb8988-mf548,osmo-hlr,0,false,
gsm-5,osmo-mgw-8c8fc67d6-x9c6z,osmo-mgw,0,false,
gsm-5,osmo-mobile-59d8d55bb5-fj7g6,mobile,0,false,
gsm-5,osmo-stp-768687f494-lr7gx,osmo-stp,0,false,
gsm-5,ttcn3-tc-26-7-4-2-2-1-1-z8zjl,ttcn3,0,false,
gsm-5,virtphy-b55647b48-jwmkm,virtphy,0,false,
gsm-6,msc-test-stub-5b875d749d-24ppf,msc-test-stub,0,false,
gsm-6,osmo-bsc-594654bd47-9mgsr,osmo-bsc,0,false,
gsm-6,osmo-bts-virtual-5f8b9b86fc-fjtt4,osmo-bts-virtual,0,false,
gsm-6,osmo-hlr-546bdb8988-pcgbz,osmo-hlr,0,false,
gsm-6,osmo-mgw-8c8fc67d6-5lskr,osmo-mgw,0,false,
gsm-6,osmo-mobile-7b8d4df666-mzx7h,mobile,0,false,
gsm-6,osmo-stp-768687f494-vxlrb,osmo-stp,0,false,
gsm-6,ttcn3-tc-26-7-2-2-1-b89nd,ttcn3,0,false,
gsm-6,virtphy-65fcd75d7-kpw76,virtphy,0,false,
gsm-7,msc-test-stub-5b875d749d-zkrbd,msc-test-stub,0,false,
gsm-7,osmo-bsc-594654bd47-b8xpk,osmo-bsc,0,false,
gsm-7,osmo-bts-virtual-5f8b9b86fc-82slr,osmo-bts-virtual,0,false,
gsm-7,osmo-hlr-546bdb8988-sd7dr,osmo-hlr,0,false,
gsm-7,osmo-mgw-8c8fc67d6-28mpq,osmo-mgw,0,false,
gsm-7,osmo-mobile-6865667c79-wqbln,mobile,0,false,
gsm-7,osmo-stp-768687f494-hcd46,osmo-stp,0,false,
gsm-7,ttcn3-tc-26-6-8-4-1-8ps5n,ttcn3,0,false,
gsm-7,virtphy-6cd7658d46-mvw8w,virtphy,0,false,
gsm-8,msc-test-stub-5b875d749d-ntrdj,msc-test-stub,0,false,
gsm-8,osmo-bsc-594654bd47-7ttkz,osmo-bsc,0,false,
gsm-8,osmo-bts-virtual-5f8b9b86fc-g6zkc,osmo-bts-virtual,0,false,
gsm-8,osmo-hlr-546bdb8988-qsgz7,osmo-hlr,0,false,
gsm-8,osmo-mgw-8c8fc67d6-m2vj9,osmo-mgw,0,false,
gsm-8,osmo-mobile-7f88cc47b4-ddk5b,mobile,0,false,
gsm-8,osmo-stp-768687f494-c4tgz,osmo-stp,0,false,
gsm-8,ttcn3-tc-26-6-2-3-1-1-qfznz,ttcn3,0,false,
gsm-8,virtphy-86b4bdf559-d6mc7,virtphy,0,false,
