namespace,phase,unix_ts
gsm-1,t0,1781678001.906867920
gsm-1,t_apply,1781678002.542838527
gsm-1,t_ready,1781678038.955110097
gsm-1,t_attached,1781678039.861199860
gsm-1,t_test0,1781678039.862789350
gsm-1,t_testN,1781678158.890573611
gsm-1,t_teardown,1781678212.798218801
gsm-2,t0,1781678001.908436075
gsm-2,t_apply,1781678002.618708703
gsm-2,t_ready,1781678039.890429931
gsm-2,t_attached,1781678048.524527447
gsm-2,t_test0,1781678048.525782465
gsm-2,t_testN,1781678261.115899852
gsm-2,t_teardown,1781678315.056250148
gsm-3,t0,1781678001.911522061
gsm-3,t_apply,1781678002.787110469
gsm-3,t_ready,1781678045.100630970
gsm-3,t_attached,1781678047.211313002
gsm-3,t_test0,1781678047.212754001
gsm-3,t_testN,1781678123.141972142
gsm-3,t_teardown,1781678175.080089123
gsm-4,t0,1781678001.911805126
gsm-4,t_apply,1781678002.818231874
gsm-4,t_ready,1781678045.099009714
gsm-4,t_attached,1781678047.209102274
gsm-4,t_test0,1781678047.210366439
gsm-4,t_testN,1781678149.119593084
gsm-4,t_teardown,1781678203.075148423
gsm-5,t0,1781678001.912678408
gsm-5,t_apply,1781678002.890474725
gsm-5,t_ready,1781678050.326438327
gsm-5,t_attached,1781678051.481154886
gsm-5,t_test0,1781678051.482956068
gsm-5,t_testN,1781678071.708640169
gsm-5,t_teardown,1781678127.578646189
gsm-6,t0,1781678001.914985169
gsm-6,t_apply,1781678002.861278640
gsm-6,t_ready,1781678050.317519794
gsm-6,t_attached,1781678051.481890869
gsm-6,t_test0,1781678051.483840462
gsm-6,t_testN,1781678282.570928173
gsm-6,t_teardown,1781678334.138882664
gsm-7,t0,1781678001.915422515
gsm-7,t_apply,1781678002.835652522
gsm-7,t_ready,1781678045.107728073
gsm-7,t_attached,1781678047.211152266
gsm-7,t_test0,1781678047.213245363
gsm-7,t_testN,1781678077.534587749
gsm-7,t_teardown,1781678131.971754687
gsm-8,t0,1781678001.917259934
gsm-8,t_apply,1781678002.719592291
gsm-8,t_ready,1781678039.886123839
gsm-8,t_attached,1781678042.202583309
gsm-8,t_test0,1781678042.203771225
gsm-8,t_testN,1781678211.021666244
gsm-8,t_teardown,1781678264.386103557
