unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781678002,52.63,96029168,30.90,252,1572864,202272,44,0,0,0,0,6,5,17
1781678004,77.48,96255708,30.90,317,1572864,202752,62,30758,395015,76201984,53723136,22,20,17
1781678007,81.42,96331524,30.90,411,1572864,203136,61,20341,91891,112189440,295120896,32,31,17
1781678010,84.53,96526640,34.67,558,1572864,204192,62,25553,87670,102670336,51040256,48,46,17
1781678012,80.86,96782336,34.67,778,1572864,204576,66,27520,148443,141242368,68984832,60,57,17
1781678015,82.93,97652880,37.58,923,1572864,205152,73,23269,96044,101511168,42455040,70,69,17
1781678017,82.22,97753224,37.58,1177,1572864,205632,83,26562,159348,53854208,39518208,70,69,17
1781678019,72.18,98081760,39.14,1327,1572864,205824,101,22555,59499,56573952,58490880,70,69,17
1781678022,79.59,98342048,39.14,1534,1572864,205824,121,36791,75433,136433664,75485184,70,69,17
1781678024,64.14,98251244,40.33,1646,1572864,205728,142,47887,40569,195649536,76009472,70,69,17
1781678027,49.00,98212404,40.33,1733,1572864,205824,163,54425,23202,72507392,3104768,70,69,17
1781678029,49.64,98114508,40.54,1829,1572864,205632,187,74910,35261,240799744,15089664,70,69,17
1781678031,48.99,98219164,40.54,1900,1572864,205536,202,61338,15769,110223360,4272128,70,69,17
1781678033,48.04,98820944,39.22,1963,1572864,205344,224,63316,16569,101502976,247529472,70,69,17
1781678036,50.23,98693192,39.22,2047,1572864,205536,254,61912,24422,110997504,1355776,70,69,17
1781678038,49.37,98762604,37.84,2115,1572864,205536,276,62767,24624,117538816,12132352,70,69,17
1781678040,49.57,97982932,37.84,2185,1572864,205440,298,80167,37725,120115200,2580480,70,69,17
1781678042,56.57,98281092,37.84,2275,1572864,205344,323,67201,27442,134103040,8486912,71,70,17
1781678045,73.64,98331004,40.25,2369,1572864,205728,357,79694,31619,151695360,8503296,72,71,17
1781678047,55.30,98503196,40.25,2476,1572864,205824,399,67709,35895,183971840,12148736,72,71,17
1781678050,67.41,97596888,38.95,2629,1572864,206208,428,79125,24432,229535744,29745152,76,75,17
1781678052,68.84,97773296,38.95,2734,1572864,206400,463,69824,32911,210931712,6033408,78,77,17
1781678055,71.63,98314576,38.40,2830,1572864,206112,495,66157,34671,185851904,10698752,78,77,17
1781678057,54.15,98126908,38.40,3022,1572864,206112,520,63281,18213,163934208,8531968,78,77,17
1781678059,60.18,97785008,38.44,3156,1572864,206400,544,69354,21642,84127744,8994816,78,77,17
1781678061,61.85,97927744,38.44,3226,1572864,206400,566,61103,16256,116379648,5640192,78,77,17
1781678063,62.05,98109956,38.57,1460,1572864,206592,590,66221,20569,242728960,3518464,78,77,17
1781678066,61.46,98305168,38.57,1665,1572864,206784,623,62088,17638,127574016,3989504,78,77,17
1781678069,55.29,98076444,38.04,1789,1572864,206784,645,87713,35478,154984448,270516224,78,77,17
1781678071,60.60,98160960,38.04,1870,1572864,206880,674,65735,23592,131686400,3731456,78,77,17
1781678073,59.01,98240420,37.24,1957,1572864,206976,696,67514,16867,208924672,4059136,78,77,17
1781678076,58.93,98219568,37.24,2030,1572864,206976,706,64607,19836,86040576,9527296,78,77,17
1781678078,86.39,98187712,45.07,1760,1572864,206304,741,88219,136933,106307584,23695360,74,73,17
1781678080,57.17,98239060,45.07,1846,1572864,206592,737,61645,16201,94208000,5054464,74,73,17
