unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781678002,70.83,96030892,30.90,268,1572864,202176,60,0,0,7233536,1933312,6,5,17
1781678005,77.81,96320472,30.90,352,1572864,202944,60,33014,395944,106713088,183246848,24,23,17
1781678008,82.42,96411180,34.67,437,1572864,203136,61,20017,91232,90750976,173752320,38,36,17
1781678010,82.76,96517540,34.67,611,1572864,204288,62,32376,124867,113295360,59498496,52,48,17
1781678013,83.34,96781408,37.58,842,1572864,204480,71,24877,158028,177598464,71299072,65,63,17
1781678016,82.27,97682832,37.58,1049,1572864,205632,78,35122,170097,69472256,52367360,70,69,17
1781678018,81.74,97958500,39.14,1250,1572864,205728,87,22190,61969,41213952,25227264,70,69,17
1781678021,68.68,98048260,39.14,1410,1572864,205632,114,24211,73840,62128128,52523008,70,69,17
1781678024,82.11,98117876,40.33,1580,1572864,205728,136,47956,62930,238485504,135950336,70,69,17
1781678026,47.10,98147468,40.33,1724,1572864,205728,158,73596,36847,130113536,8130560,70,69,17
1781678029,49.42,98111900,40.54,1809,1572864,205824,180,67331,35087,186019840,12976128,70,69,17
1781678031,49.29,98202208,40.54,1884,1572864,205536,199,62441,16487,163147776,4145152,70,69,17
1781678033,47.59,98350712,39.22,1945,1572864,205344,218,60334,14070,84295680,245428224,70,69,17
1781678035,49.89,98898156,39.22,2021,1572864,205440,248,63560,18922,114597888,5701632,70,69,17
1781678037,49.20,98692216,37.84,2093,1572864,205728,266,65364,22245,107843584,12005376,70,69,17
1781678040,49.46,98699664,37.84,2164,1572864,205440,293,76941,43400,136880128,2703360,70,69,17
1781678042,53.49,98195364,37.84,2273,1572864,205344,323,75523,32961,147808256,8232960,71,70,17
1781678045,74.71,98331004,40.25,2369,1572864,205728,357,81554,31075,155742208,8757248,72,71,17
1781678047,55.30,98501688,40.25,2476,1572864,205824,399,67866,36439,185106432,11206656,72,71,17
1781678050,66.93,97589296,38.95,2627,1572864,206112,428,75401,22268,217731072,29745152,76,75,17
1781678052,69.25,97773292,38.95,2734,1572864,206400,463,73682,35075,222474240,6979584,78,76,17
1781678054,72.27,98271176,38.40,2825,1572864,206016,492,63623,32981,175845376,7905280,78,77,17
1781678057,54.78,98152632,38.40,3015,1572864,206112,518,61230,18005,153677824,10854400,78,77,17
1781678059,59.40,97804108,38.44,3149,1572864,206208,543,70641,23286,89214976,9101312,78,77,17
1781678061,61.17,97821720,38.44,3218,1572864,206400,566,60599,16250,114769920,5992448,78,77,17
1781678063,62.13,98024124,38.57,1436,1572864,206496,584,62062,16265,193695744,753664,78,77,17
1781678065,62.41,98306560,38.57,1630,1572864,206784,617,63950,19778,175849472,6766592,78,77,17
1781678067,52.48,98024236,38.04,1735,1572864,206784,628,65112,17165,101183488,57798656,78,77,17
1781678069,58.99,98123028,38.04,1823,1572864,206880,662,42391,28406,127270912,213110784,78,77,17
1781678071,68.37,98129740,38.04,1900,1572864,206880,681,65177,19260,115650560,5820416,78,77,17
1781678074,58.99,98355156,37.24,1984,1572864,206784,707,66380,18978,192294912,7921664,78,77,17
1781678076,59.12,98371292,37.24,2068,1572864,206688,722,68239,45956,95424512,8364032,78,77,17
1781678078,86.08,98271384,45.07,1773,1572864,206304,741,75070,105810,82165760,18522112,74,73,17
1781678080,54.54,98346436,45.07,1853,1572864,206496,738,61916,16572,93224960,5046272,74,73,17
1781678083,80.86,98576952,45.54,1944,1572864,206688,744,63059,108249,109998080,45445120,72,71,17
1781678086,79.96,98164368,45.54,1828,1572864,206592,761,68846,50962,168681472,72478720,67,66,17
1781678088,44.58,98212552,44.22,1900,1572864,206496,745,56759,18707,65507328,6152192,66,65,17
1781678090,47.84,98231996,44.22,1994,1572864,206592,769,67808,23307,148287488,17707008,66,65,17
1781678092,44.17,98344928,41.96,2055,1572864,206592,750,51634,13149,120995840,778240,66,65,17
1781678095,31.16,98325312,41.96,2139,1572864,206112,778,53271,16404,51826688,11808768,66,65,17
1781678097,30.16,98388340,41.96,2225,1572864,206112,753,57682,16382,57073664,237568,66,65,17
1781678100,31.61,98023240,39.80,2299,1572864,206208,740,60542,28198,105000960,10395648,66,65,17
1781678102,30.73,97782168,39.80,2372,1572864,206016,764,55053,16566,152002560,15720448,66,65,17
1781678104,30.25,97625128,38.21,2453,1572864,206016,739,53154,16297,146812928,47357952,66,65,17
1781678106,30.62,97691700,38.21,2517,1572864,206016,757,54990,14199,265089024,7335936,66,65,17
1781678108,77.53,97913984,38.20,2583,1572864,205920,709,59435,24815,329977856,127422464,63,62,17
1781678110,33.95,97890588,38.20,2650,1572864,205824,727,54611,14769,199622656,901120,63,62,17
1781678112,30.12,98651512,36.26,2706,1572864,205824,706,52450,14687,219688960,17932288,63,62,17
1781678115,70.33,97730776,36.26,2777,1572864,205728,728,58071,30277,259092480,7294976,60,59,17
1781678117,31.92,97709336,36.26,2844,1572864,205536,680,63910,16591,251252736,9269248,60,59,17
1781678119,37.08,97532848,35.28,2907,1572864,205248,707,59345,18554,151404544,23334912,60,59,17
1781678122,52.70,97858276,35.28,3083,1572864,205536,681,53701,19909,232050688,5660672,60,59,17
1781678125,30.02,97777904,33.17,1996,1572864,205920,672,65693,22796,272920576,1118208,60,59,17
1781678127,35.17,98370912,33.17,2075,1572864,205824,696,50054,14838,242688000,16494592,60,59,17
1781678130,55.64,98275516,32.36,2024,1572864,205440,657,65612,129952,267833344,271175680,57,56,17
