unix_ts,namespace,pod,cpu_m,mem_mib
1781678024,gsm-4,osmo-bsc-594654bd47-tlrl4,6,5
1781678024,gsm-4,osmo-bts-virtual-5f8b9b86fc-vhkcp,10,5
1781678024,gsm-4,osmo-hlr-546bdb8988-gcbxr,4,2
1781678024,gsm-4,osmo-mgw-8c8fc67d6-5slwk,4,2
1781678024,gsm-4,osmo-mobile-74f4b9d576-zgdh5,20,36
1781678024,gsm-4,osmo-stp-768687f494-drqtq,5,2
1781678024,gsm-4,virtphy-7cb5464db9-2hm7g,8,1
1781678026,gsm-4,osmo-bsc-594654bd47-tlrl4,6,5
1781678026,gsm-4,osmo-bts-virtual-5f8b9b86fc-vhkcp,10,5
1781678026,gsm-4,osmo-hlr-546bdb8988-gcbxr,4,2
1781678026,gsm-4,osmo-mgw-8c8fc67d6-5slwk,4,2
1781678026,gsm-4,osmo-mobile-74f4b9d576-zgdh5,20,36
1781678026,gsm-4,osmo-stp-768687f494-drqtq,5,2
1781678026,gsm-4,virtphy-7cb5464db9-2hm7g,8,1
1781678029,gsm-4,osmo-bsc-594654bd47-tlrl4,6,5
1781678029,gsm-4,osmo-bts-virtual-5f8b9b86fc-vhkcp,10,5
1781678029,gsm-4,osmo-hlr-546bdb8988-gcbxr,4,2
1781678029,gsm-4,osmo-mgw-8c8fc67d6-5slwk,4,2
1781678029,gsm-4,osmo-mobile-74f4b9d576-zgdh5,20,36
1781678029,gsm-4,osmo-stp-768687f494-drqtq,5,2
1781678029,gsm-4,virtphy-7cb5464db9-2hm7g,8,1
1781678031,gsm-4,osmo-bsc-594654bd47-tlrl4,6,5
1781678031,gsm-4,osmo-bts-virtual-5f8b9b86fc-vhkcp,10,5
1781678031,gsm-4,osmo-hlr-546bdb8988-gcbxr,4,2
1781678031,gsm-4,osmo-mgw-8c8fc67d6-5slwk,4,2
1781678031,gsm-4,osmo-mobile-74f4b9d576-zgdh5,20,36
1781678031,gsm-4,osmo-stp-768687f494-drqtq,5,2
1781678031,gsm-4,virtphy-7cb5464db9-2hm7g,8,1
1781678033,gsm-4,osmo-bsc-594654bd47-tlrl4,6,5
1781678033,gsm-4,osmo-bts-virtual-5f8b9b86fc-vhkcp,10,5
1781678033,gsm-4,osmo-hlr-546bdb8988-gcbxr,4,2
1781678033,gsm-4,osmo-mgw-8c8fc67d6-5slwk,4,2
1781678033,gsm-4,osmo-mobile-74f4b9d576-zgdh5,20,36
