unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781678002,73.08,96028744,30.90,268,1572864,202176,60,0,0,7766016,1933312,6,5,17
1781678005,77.82,96320472,30.90,352,1572864,202944,60,32882,395944,104644608,163364864,24,23,17
1781678008,82.36,96410480,34.67,437,1572864,203136,61,20149,91232,92299264,193634304,40,35,17
1781678011,82.58,96590864,34.67,614,1572864,204288,63,32937,125378,114053120,60710912,52,50,17
1781678013,83.63,96780404,37.58,842,1572864,204480,71,24128,157517,174325760,70086656,66,63,17
1781678016,82.29,97681584,37.58,1049,1572864,205632,78,35362,170097,71974912,52367360,70,69,17
1781678018,81.05,98006416,39.14,1273,1572864,205728,87,24536,62609,44883968,27934720,70,69,17
1781678021,68.76,98048260,39.14,1410,1572864,205632,114,21813,73200,58458112,49815552,70,69,17
1781678024,82.12,98117876,40.33,1580,1572864,205728,135,47576,62658,234987520,133853184,70,69,17
1781678026,47.05,98147804,40.33,1727,1572864,205728,161,75116,37935,140451840,10231808,70,69,17
1781678029,49.44,98113376,40.54,1810,1572864,205824,181,66524,34403,181469184,12972032,70,69,17
1781678031,49.47,98204224,40.54,1884,1572864,205536,199,62175,16429,160862208,4145152,70,69,17
1781678033,47.60,98350776,39.22,1945,1572864,205344,218,60133,13996,84291584,245428224,70,69,17
1781678035,49.92,98909496,39.22,2023,1572864,205440,248,63895,18922,116170752,5701632,70,69,17
1781678037,49.11,98694448,37.84,2093,1572864,205728,267,66193,26083,106270720,12005376,70,69,17
1781678040,49.52,98699664,37.84,2164,1572864,205440,293,77179,40626,136880128,2703360,70,69,17
1781678042,53.36,98195128,37.84,2273,1572864,205344,323,73518,31897,141656064,7671808,71,70,17
1781678045,74.73,98331004,40.25,2369,1572864,205728,357,83051,31619,164376576,9322496,72,71,17
1781678047,55.40,98487612,40.25,2474,1572864,205824,399,66045,35895,180162560,11202560,72,71,17
1781678050,66.39,97583876,38.95,2627,1572864,206016,427,75378,21724,207544320,25817088,76,75,17
1781678052,69.55,97772788,38.95,2734,1572864,206400,463,74900,35619,236683264,10907648,78,77,17
1781678055,71.39,98262552,38.40,2841,1572864,206112,496,67050,35747,187772928,10698752,78,77,17
1781678057,54.05,98126908,38.40,3022,1572864,206112,520,62589,17137,162086912,8531968,78,77,17
1781678059,60.18,97785008,38.44,3156,1572864,206400,544,69421,21642,84496384,9031680,78,77,17
1781678061,61.83,97934680,38.44,3226,1572864,206400,566,61304,16256,118927360,5603328,78,77,17
1781678063,62.07,98109960,38.57,1460,1572864,206592,590,64622,19221,229707776,3518464,78,77,17
1781678066,61.57,98295604,38.57,1665,1572864,206784,623,62972,18714,137560064,3989504,78,77,17
1781678068,52.62,97992604,38.04,1768,1572864,206688,640,81912,33277,149553152,198696960,78,77,17
1781678071,61.21,98092416,38.04,1860,1572864,206976,669,69043,23955,130416640,75550720,78,77,17
