unix_ts,namespace,pod,cpu_m,mem_mib
1781678024,gsm-6,osmo-bsc-594654bd47-wv89x,8,5
1781678024,gsm-6,osmo-hlr-546bdb8988-22gxl,5,2
1781678026,gsm-6,osmo-bsc-594654bd47-wv89x,8,5
1781678026,gsm-6,osmo-hlr-546bdb8988-22gxl,5,2
1781678028,gsm-6,osmo-bsc-594654bd47-wv89x,8,5
1781678028,gsm-6,osmo-hlr-546bdb8988-22gxl,5,2
1781678031,gsm-6,osmo-bsc-594654bd47-wv89x,8,5
1781678031,gsm-6,osmo-hlr-546bdb8988-22gxl,5,2
1781678033,gsm-6,osmo-bsc-594654bd47-wv89x,8,5
1781678033,gsm-6,osmo-hlr-546bdb8988-22gxl,5,2
1781678035,gsm-6,osmo-bsc-594654bd47-wv89x,8,5
1781678035,gsm-6,osmo-hlr-546bdb8988-22gxl,5,2
1781678037,gsm-6,msc-test-stub-5b875d749d-4p845,1,16
1781678037,gsm-6,osmo-bsc-594654bd47-wv89x,1,5
1781678037,gsm-6,osmo-bts-virtual-5f8b9b86fc-c7lhn,25,5
1781678037,gsm-6,osmo-hlr-546bdb8988-22gxl,1,2
1781678037,gsm-6,osmo-mgw-8c8fc67d6-7fdj5,5,2
1781678037,gsm-6,osmo-mobile-7b8d4df666-8gv68,3,36
1781678037,gsm-6,osmo-stp-768687f494-scfxl,1,2
1781678037,gsm-6,virtphy-65fcd75d7-p5v9t,7,1
1781678040,gsm-6,msc-test-stub-5b875d749d-4p845,1,16
1781678040,gsm-6,osmo-bsc-594654bd47-wv89x,1,5
1781678040,gsm-6,osmo-bts-virtual-5f8b9b86fc-c7lhn,25,5
1781678040,gsm-6,osmo-hlr-546bdb8988-22gxl,1,2
1781678040,gsm-6,osmo-mgw-8c8fc67d6-7fdj5,5,2
1781678040,gsm-6,osmo-mobile-7b8d4df666-8gv68,3,36
1781678040,gsm-6,osmo-stp-768687f494-scfxl,1,2
1781678040,gsm-6,virtphy-65fcd75d7-p5v9t,7,1
1781678042,gsm-6,msc-test-stub-5b875d749d-4p845,1,16
1781678042,gsm-6,osmo-bsc-594654bd47-wv89x,1,5
1781678042,gsm-6,osmo-bts-virtual-5f8b9b86fc-c7lhn,25,5
