namespace,phase,unix_ts
gsm-1,t0,1781599633.303630004
gsm-1,t_apply,1781599634.301747726
gsm-1,t_ready,1781599704.454853895
gsm-1,t_attached,1781599720.927500213
gsm-1,t_test0,1781599720.928959207
gsm-1,t_testN,1781600145.307103008
gsm-1,t_teardown,1781600199.692475099
gsm-2,t0,1781599633.303959204
gsm-2,t_apply,1781599634.399983016
gsm-2,t_ready,1781599704.455306944
gsm-2,t_attached,1781599720.277689592
gsm-2,t_test0,1781599720.280049872
gsm-2,t_testN,1781599985.412553580
gsm-2,t_teardown,1781600041.071263274
gsm-3,t0,1781599633.304457793
gsm-3,t_apply,1781599634.172105268
gsm-3,t_ready,1781599691.711366769
gsm-3,t_attached,1781599712.723305438
gsm-3,t_test0,1781599712.724682306
gsm-3,t_testN,1781599828.099901804
gsm-3,t_teardown,1781599886.418091509
gsm-4,t0,1781599633.303628778
gsm-4,t_apply,1781599634.352119345
gsm-4,t_ready,1781599703.327993801
gsm-4,t_attached,1781599719.903398976
gsm-4,t_test0,1781599719.904780593
gsm-4,t_testN,1781599824.679523817
gsm-4,t_teardown,1781599880.991545380
gsm-5,t0,1781599633.303783968
gsm-5,t_apply,1781599634.258369282
gsm-5,t_ready,1781599711.202774943
gsm-5,t_attached,1781599720.726638570
gsm-5,t_test0,1781599720.729962394
gsm-5,t_testN,1781599921.115878706
gsm-5,t_teardown,1781599974.011484587
gsm-6,t0,1781599633.303775677
gsm-6,t_apply,1781599634.061618703
gsm-6,t_ready,1781599683.954195333
gsm-6,t_attached,1781599716.811344707
gsm-6,t_test0,1781599716.814499180
gsm-6,t_testN,1781599823.091202668
gsm-6,t_teardown,1781599877.314486969
gsm-7,t0,1781599633.304859342
gsm-7,t_apply,1781599634.236385791
gsm-7,t_ready,1781599699.638143720
gsm-7,t_attached,1781599713.019809804
gsm-7,t_test0,1781599713.021279199
gsm-7,t_testN,1781599841.612968234
gsm-7,t_teardown,1781599895.121272332
gsm-8,t0,1781599633.306065592
gsm-8,t_apply,1781599634.136819942
gsm-8,t_ready,1781599683.010357158
gsm-8,t_attached,1781599706.544089137
gsm-8,t_test0,1781599706.545653278
gsm-8,t_testN,1781600051.148238329
gsm-8,t_teardown,1781600098.608120840
