unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781599634,59.26,98953700,5.65,303,1572864,199776,44,0,0,188416,5775360,6,5,12
1781599637,68.50,99283808,5.65,353,1572864,200352,43,36167,396400,1245184,61038592,30,23,12
1781599641,30.49,99490788,16.01,416,1572864,201312,46,27966,13670,126976,46014464,50,46,12
1781599651,26.59,99737036,23.62,508,1572864,202752,44,31491,34330,1142784,79425536,70,69,12
1781599655,19.66,99908396,42.43,509,1572864,203424,50,42178,110208,774144,96804864,70,69,12
1781599665,16.66,99917004,46.40,723,1572864,203520,70,28720,48188,2215936,83656704,70,69,12
1781599672,17.89,100205324,61.35,1163,1572864,203328,113,65186,257409,1347584,87351296,70,69,12
1781599676,18.86,100145304,65.49,1492,1572864,203232,160,55473,198768,798720,54771712,70,69,12
1781599679,26.19,100348412,63.61,1674,1572864,203328,195,38155,91689,983040,60477440,70,69,12
1781599681,48.31,100497912,63.61,1660,1572864,203424,211,30108,47006,294912,8220672,70,69,12
1781599684,43.04,100549460,61.32,1761,1572864,203328,238,32199,60649,0,6651904,70,69,12
1781599686,21.43,100521760,61.32,1902,1572864,203232,279,39606,44299,135168,6844416,70,69,12
1781599688,21.98,100504552,58.81,1998,1572864,203136,301,37627,25400,20480,3264512,70,69,12
1781599691,21.82,100539252,58.81,2068,1572864,203040,325,33801,30265,0,14721024,70,69,12
1781599693,22.38,100542020,54.98,2156,1572864,202944,353,47941,24068,4096,43020288,70,69,12
1781599695,24.50,100591720,54.98,2236,1572864,203040,385,60053,25720,49152,8912896,70,69,12
1781599697,22.31,100659436,51.46,2306,1572864,203040,408,66582,23518,0,1105920,70,69,12
1781599699,22.25,100617444,51.46,2380,1572864,203328,414,74964,23166,4096,54927360,70,69,12
1781599702,23.71,100510932,51.46,2458,1572864,203520,445,60721,15234,0,12320768,70,69,12
1781599704,21.98,100598400,47.98,2527,1572864,203424,473,64476,36975,0,6332416,70,69,12
1781599707,21.77,100600292,47.98,2650,1572864,203520,515,84037,23794,20480,8855552,71,69,12
1781599710,41.06,100630188,44.86,2751,1572864,203904,545,93308,34201,0,9302016,71,70,12
1781599712,21.95,100616576,41.50,2840,1572864,204000,566,67160,17019,0,8089600,71,70,12
1781599715,51.87,100567488,41.50,2938,1572864,204192,591,74947,21284,0,30777344,73,72,12
1781599717,40.67,100671788,43.87,3036,1572864,204288,626,72406,34610,12288,12079104,73,72,12
1781599719,43.61,100814584,43.87,3144,1572864,204000,637,72754,21110,0,6246400,74,73,12
1781599723,51.36,100835824,43.24,3258,1572864,204192,671,71247,28270,270336,52891648,78,77,12
1781599726,37.90,100734792,43.24,3370,1572864,204480,694,79006,24981,749568,12017664,78,77,12
1781599728,42.98,100774200,42.82,3525,1572864,204288,707,74351,34210,225280,10387456,78,77,12
1781599730,28.38,100702064,42.82,3592,1572864,204288,729,51988,22254,32768,3465216,78,77,12
1781599732,28.67,100703288,39.87,3703,1572864,204384,726,67357,28658,0,14499840,78,77,12
1781599735,24.41,100645872,39.87,1525,1572864,204480,729,77874,20766,20480,475136,78,77,12
1781599737,22.71,100657708,36.84,1724,1572864,204384,761,64826,19715,12288,37634048,78,77,12
1781599739,23.28,100762128,36.84,1803,1572864,204672,743,65812,26402,24576,4698112,78,77,12
1781599741,26.49,100802632,36.84,1894,1572864,204864,771,65598,17424,20480,3985408,78,77,12
1781599744,23.19,100774272,35.73,1988,1572864,204864,764,77288,22310,0,58777600,78,77,12
1781599746,23.90,100771408,35.73,2083,1572864,205056,799,66750,19331,0,2244608,78,77,12
1781599748,23.20,100839152,33.99,2150,1572864,205152,761,66761,16902,0,9125888,78,77,12
