unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781600314,17.14,100402764,5.60,520,1572864,200832,72,0,0,0,180224,6,5,12
1781600317,64.64,100659100,5.60,584,1572864,201408,85,33852,398858,12570624,51744768,24,22,12
1781600325,26.89,100744400,5.55,639,1572864,201696,85,23228,12413,0,41926656,67,62,12
1781600338,22.67,101083084,30.92,715,1572864,202752,83,46625,21926,48156672,91164672,70,69,12
1781600359,7.81,101007352,61.46,406,1572864,203520,63,84629,84142,360448,43900928,70,69,12
1781600388,12.07,101902464,71.27,595,1572864,204192,63,47106,123896,344064,86753280,70,69,12
1781600395,12.37,101938608,85.38,1234,1572864,204384,154,145512,430559,294912,131969024,70,69,12
1781600398,23.46,102260072,83.87,1423,1572864,204192,214,41298,120715,655360,53121024,70,69,12
1781600402,23.57,102291496,83.87,1492,1572864,204192,233,36466,68411,12288,12312576,70,69,12
1781600404,40.68,102463532,79.96,1634,1572864,204192,259,35990,53752,0,13692928,70,69,12
1781600406,22.38,102437804,79.96,1735,1572864,204480,289,22145,19053,12288,5292032,70,69,12
1781600409,21.45,102520292,75.00,1827,1572864,204384,326,25230,38533,0,3461120,70,69,12
1781600412,20.12,102595072,75.00,1634,1572864,204384,344,30569,31769,0,29032448,70,69,12
1781600414,18.76,102475932,69.31,1717,1572864,204480,373,28242,22976,65536,163840,70,69,12
1781600417,20.32,102550468,69.31,1808,1572864,204480,407,28380,34154,0,23781376,70,69,12
1781600419,19.12,102466468,64.48,1895,1572864,204384,433,29077,33890,0,8265728,70,69,12
1781600422,20.32,102504092,64.48,1957,1572864,204384,454,23880,15101,0,8867840,70,69,12
1781600424,20.28,102460384,59.64,2036,1572864,204288,477,26086,22673,16384,6082560,70,69,12
1781600426,21.83,102549712,59.64,2125,1572864,204480,525,24197,33244,0,22249472,70,69,12
1781600429,23.08,102691692,55.82,2193,1572864,204288,539,25175,22763,0,30990336,70,69,12
1781600431,21.78,102722972,55.82,2265,1572864,204384,551,75167,47258,503808,14970880,70,69,12
1781600433,21.76,102625692,52.31,2358,1572864,204480,574,55039,26248,61440,11014144,70,69,12
1781600435,22.69,102609720,52.31,2456,1572864,204672,596,56216,30400,0,2809856,70,69,12
1781600437,22.89,102669180,48.45,2530,1572864,204384,624,44515,23052,0,6250496,70,69,12
1781600440,23.41,102742476,48.45,2614,1572864,204576,623,49506,18950,0,11902976,70,69,12
