unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781600314,51.72,100401344,5.60,536,1572864,200640,88,0,0,9084928,1933312,6,5,12
1781600317,65.17,100659344,5.60,584,1572864,201408,85,33852,398858,3485696,49811456,24,22,12
1781600324,26.90,100744940,5.55,639,1572864,201696,85,23228,12413,0,41926656,67,62,12
1781600351,22.58,101086852,30.92,715,1572864,202848,83,47005,21926,48156672,91262976,70,69,12
1781600379,8.77,101390268,70.07,478,1572864,203904,57,115846,163241,540672,101163008,70,69,12
1781600389,11.72,101993040,85.38,1135,1572864,204384,140,142865,405291,458752,148213760,70,69,12
1781600394,19.79,101941468,85.38,1234,1572864,204384,154,18480,70065,0,13148160,70,69,12
1781600398,23.13,102238480,83.43,1434,1572864,204288,197,37848,108615,503808,51302400,70,69,12
1781600401,25.28,102292672,83.87,1479,1572864,204192,231,36359,73127,163840,13737984,70,69,12
1781600403,31.85,102461824,79.96,1578,1572864,204192,251,24008,41216,0,7450624,70,69,12
1781600405,37.32,102428124,79.96,1691,1572864,204480,284,27786,32814,12288,9150464,70,69,12
1781600407,21.13,102523096,75.00,1775,1572864,204288,308,22296,28203,0,3141632,70,69,12
1781600409,18.98,102542304,75.00,1857,1572864,204192,331,23637,29596,0,31506432,70,69,12
1781600412,22.65,102517748,75.00,1645,1572864,204384,346,21890,19854,0,622592,70,69,12
1781600414,18.19,102553496,69.31,1726,1572864,204384,374,27248,23006,65536,884736,70,69,12
1781600417,19.50,102412812,69.31,1808,1572864,204480,407,25599,32586,0,21618688,70,69,12
1781600419,19.54,102457236,64.48,1895,1572864,204384,433,30624,34496,0,9744384,70,69,12
1781600422,20.32,102493228,64.48,1957,1572864,204384,454,23926,14841,0,8830976,70,69,12
1781600424,19.71,102464920,59.64,2040,1572864,204288,480,26675,23675,16384,6152192,70,69,12
1781600427,22.36,102564296,59.64,2129,1572864,204480,518,24782,33484,0,24080384,70,69,12
1781600429,23.27,102694852,55.82,2194,1572864,204288,540,24068,21521,0,29327360,70,69,12
1781600431,21.75,102723124,55.82,2265,1572864,204384,551,77962,48890,503808,17985536,70,69,12
1781600433,22.09,102621568,52.31,2358,1572864,204480,574,51842,24616,61440,7761920,70,69,12
1781600435,22.62,102605952,52.31,2456,1572864,204672,596,55333,30140,0,2809856,70,69,12
1781600438,23.20,102655884,48.45,2529,1572864,204480,623,44929,23312,0,6250496,70,69,12
1781600440,22.67,102746076,48.45,2614,1572864,204576,624,50310,18950,0,11902976,70,69,12
1781600442,18.71,102725932,45.21,2693,1572864,204672,651,48104,18768,0,22429696,70,69,12
1781600445,20.61,102769972,45.21,2771,1572864,204768,665,49047,24828,0,7696384,70,69,12
1781600447,21.78,102765076,45.21,2859,1572864,204768,700,52017,22572,0,14557184,70,69,12
1781600449,21.31,102598848,42.23,2957,1572864,204768,700,61734,26092,0,7385088,70,69,12
1781600452,20.70,102562648,42.23,3018,1572864,204768,692,47882,14990,8192,6270976,70,69,12
1781600454,21.68,102596768,40.77,3086,1572864,204768,719,48230,16766,0,5890048,70,69,12
1781600456,23.19,102716836,40.77,3173,1572864,204576,711,51242,20567,0,9330688,70,69,12
1781600458,23.65,102752908,38.94,3245,1572864,204288,735,54149,20759,0,13586432,70,69,12
1781600461,20.23,102607888,38.94,3319,1572864,204288,729,49253,25864,0,14852096,70,69,12
1781600463,20.48,102658368,36.95,3399,1572864,203904,751,59627,21518,0,31858688,70,69,12
1781600466,23.90,102638468,36.95,3506,1572864,204192,759,59486,24509,0,8638464,70,69,12
1781600468,24.43,102880844,36.07,3575,1572864,204288,726,46992,16297,0,5836800,70,69,12
1781600470,22.81,102851380,36.07,3652,1572864,204288,753,53667,20315,0,16965632,70,69,12
1781600472,20.26,102808576,33.98,1638,1572864,204288,734,25718,13016,0,5685248,70,69,12
1781600474,23.31,102865340,33.98,1716,1572864,204288,762,52221,26530,3919872,6922240,70,69,12
1781600476,17.90,102926180,33.98,1813,1572864,204288,738,55587,22732,0,245411840,70,69,12
1781600479,22.57,102811868,32.62,1887,1572864,204480,762,51663,19011,65536,3964928,70,69,12
1781600481,34.34,102957428,32.62,1983,1572864,204576,733,51072,18352,73728,49000448,70,69,12
1781600484,20.67,102700352,31.13,2078,1572864,204768,768,52487,22441,0,585728,70,69,12
1781600486,23.52,102694124,31.13,2184,1572864,204864,772,51253,24224,4096,43978752,70,69,12
1781600489,22.01,102694224,29.52,2273,1572864,204864,732,52962,28378,28672,8278016,70,69,12
1781600491,22.42,102674036,29.52,2340,1572864,204768,755,48699,19654,0,11145216,70,69,12
1781600493,20.28,102614696,28.28,2426,1572864,204672,742,57900,23153,0,8474624,70,69,12
1781600496,21.92,102625564,28.28,2532,1572864,204864,782,56986,23815,32768,3563520,70,69,12
1781600498,22.16,102815672,26.89,2593,1572864,204864,752,46325,15253,4096,38748160,70,69,12
1781600501,20.64,102585360,26.89,2679,1572864,204672,734,58201,23078,0,10829824,70,69,12
1781600503,19.76,102671616,26.98,2753,1572864,204672,753,51005,16630,0,4796416,70,69,12
1781600505,23.82,102647832,26.98,2842,1572864,204768,744,52095,29049,200704,1806336,70,69,12
1781600507,19.99,102714696,24.90,2917,1572864,204480,775,54963,23351,0,10612736,70,69,12
1781600509,21.69,102695296,24.90,2987,1572864,204576,735,52283,18746,0,3215360,70,69,12
1781600512,19.50,102650504,24.90,3055,1572864,204768,755,27822,13343,0,9596928,70,69,12
1781600514,20.39,102800796,24.27,3122,1572864,204768,740,47804,16950,0,16830464,70,69,12
1781600517,18.49,102837584,24.27,3226,1572864,205152,794,56522,27975,4096,8527872,70,69,12
1781600519,21.81,102819104,23.44,3323,1572864,204768,757,69894,34154,12288,40914944,70,69,12
1781600522,19.63,102726956,23.44,3382,1572864,204768,734,40770,15443,0,8712192,70,69,12
1781600524,20.48,102798792,22.77,3436,1572864,204672,753,47490,18014,0,2654208,70,69,12
1781600527,18.21,102677428,22.77,3544,1572864,204672,758,59182,28315,0,7688192,70,69,12
1781600529,19.06,102608964,22.23,3628,1572864,204768,741,60438,26414,0,22974464,70,69,12
1781600532,23.47,102661804,22.23,3698,1572864,204960,763,49567,16774,0,5316608,70,69,12
1781600534,20.35,102660784,24.21,1945,1572864,204768,750,49094,25237,0,6586368,70,69,12
1781600537,44.36,101929072,24.21,2053,1572864,204864,787,61201,24303,8192,34263040,72,71,12
1781600540,15.41,102077516,23.15,2152,1572864,204768,774,63314,48810,0,11206656,72,71,12
1781600542,20.82,101947016,21.62,2235,1572864,204768,764,45979,15231,0,11481088,72,71,12
1781600545,39.70,102028652,21.62,2305,1572864,204672,786,54140,17435,0,4632576,72,71,12
1781600547,19.36,102061476,21.09,2411,1572864,204384,764,52952,24586,0,11165696,72,71,12
1781600549,20.04,102186292,21.09,2506,1572864,204672,788,61653,37592,4096,4358144,72,71,12
1781600551,19.38,102417972,21.09,2574,1572864,204672,758,48825,17997,0,27615232,73,71,12
1781600554,48.39,102064132,20.76,2639,1572864,204864,744,49631,15593,0,22745088,73,72,12
1781600556,30.03,102299052,20.76,2806,1572864,205536,791,53676,24547,8192,17711104,76,75,12
1781600559,37.98,102176204,22.38,2897,1572864,205248,759,61105,22696,8192,5148672,76,75,12
1781600561,22.66,102108836,22.38,2992,1572864,205248,797,56676,23066,32768,7479296,76,75,12
1781600565,48.69,102185552,23.71,3070,1572864,205920,778,49427,14483,69632,16453632,78,77,12
1781600569,18.43,102113656,25.18,3212,1572864,205920,780,72613,39638,0,6467584,78,77,12
1781600571,25.34,102100204,25.18,3327,1572864,206016,774,67893,39712,40960,21590016,78,77,12
1781600575,39.39,102129912,29.57,3421,1572864,206112,794,49131,15597,69632,5992448,78,77,12
1781600578,23.33,102065632,27.68,3642,1572864,206208,809,48095,41917,58687488,6610944,78,77,12
1781600580,24.73,102121112,27.68,3741,1572864,206304,772,33746,37305,3006464,21635072,78,77,12
1781600582,20.78,102213464,26.58,3865,1572864,206208,764,21471,15631,565248,8568832,78,77,12
1781600585,22.39,101845220,26.58,4001,1572864,206208,779,21867,11924,3620864,12808192,78,77,12
1781600587,24.07,101821872,26.58,4139,1572864,206016,759,26282,19932,36675584,28737536,78,77,12
1781600589,23.06,102004508,25.26,4221,1572864,206112,787,25520,16760,114675712,64856064,78,77,12
1781600591,22.15,101872892,25.26,4293,1572864,206112,762,20095,13501,59940864,7168000,78,77,12
1781600594,21.48,101758776,24.43,4373,1572864,206304,786,24264,23808,120664064,5562368,78,77,12
1781600596,23.65,101336268,24.43,2388,1572864,206112,785,30405,31013,267980800,8089600,78,77,12
1781600598,22.74,101419620,24.08,2474,1572864,205920,818,55857,21322,364404736,2363392,78,77,12
1781600601,19.12,101568376,24.08,2562,1572864,206208,789,55378,19158,35540992,10469376,78,77,12
1781600604,19.71,101558888,23.67,2656,1572864,206016,777,60703,22738,229834752,13938688,78,77,12
1781600606,23.49,101392924,23.67,2755,1572864,206208,820,54919,23132,145702912,4481024,78,77,12
1781600609,24.09,101602456,22.90,2854,1572864,206400,778,59309,28924,392884224,14651392,78,77,12
1781600611,28.04,102217980,22.90,2925,1572864,206496,798,56967,19018,448999424,6328320,78,77,12
1781600614,24.02,101299488,22.34,3014,1572864,206688,784,62105,22722,44023808,16080896,78,77,12
1781600616,39.44,101936928,22.34,3122,1572864,206880,760,61192,24188,59224064,119304192,78,77,12
1781600618,31.70,102235728,21.92,3207,1572864,206880,793,55966,19728,85815296,102428672,78,77,12
1781600620,28.13,101942064,21.92,3274,1572864,206880,774,53050,15974,50094080,121761792,78,77,12
1781600622,22.86,102995828,20.48,3351,1572864,206976,798,51492,15875,8192,209784832,78,77,12
1781600625,23.72,102886884,20.48,3429,1572864,207168,779,52437,26896,8192,196947968,78,77,12
1781600627,20.78,102703220,19.24,3547,1572864,207168,760,68663,33901,90112,161202176,78,77,12
1781600631,21.55,102690280,19.24,3616,1572864,207168,783,54000,16075,8192,137814016,78,77,12
1781600633,20.93,102770612,19.22,3707,1572864,206976,778,56387,21313,12288,180862976,78,77,12
1781600636,22.12,102783692,19.22,3819,1572864,207072,827,59276,25335,8192,233852928,78,77,12
1781600638,20.68,102742216,18.88,3914,1572864,207072,803,61033,22615,8192,234967040,78,77,12
1781600640,23.96,102760376,18.88,4000,1572864,207168,781,53230,24408,20480,190967808,78,77,12
1781600642,21.55,102769600,17.45,4064,1572864,206976,800,53838,15308,4096,211427328,78,77,12
1781600645,23.93,102856464,17.45,4135,1572864,206880,779,29642,13255,8192,116719616,78,77,12
1781600647,20.27,102759036,16.85,4257,1572864,207072,832,61992,29190,53248,188989440,78,77,12
1781600649,22.36,102728412,16.85,4327,1572864,207072,802,55723,19095,0,145563648,78,77,12
1781600652,20.99,102736084,16.85,4400,1572864,207264,829,54009,17506,4096,119926784,78,77,12
1781600654,22.21,102798964,16.55,4467,1572864,207072,797,52317,24192,36864,112070656,78,77,12
1781600657,20.62,102693072,16.55,2299,1572864,207168,776,61165,25417,28672,144445440,78,77,12
1781600659,33.71,102820152,16.02,2369,1572864,206880,800,57315,22068,16384,273641472,78,77,12
1781600661,47.70,102622148,16.02,2450,1572864,206880,782,54125,21132,0,54947840,78,77,12
1781600663,24.01,102713348,16.98,2546,1572864,206784,804,55974,19627,0,2809856,78,77,12
1781600666,20.81,102795992,16.98,2646,1572864,206496,803,53069,20380,0,11681792,78,77,12
1781600669,45.71,102801748,16.66,2323,1572864,206592,781,77654,148275,57344,27725824,74,73,12
1781600671,56.04,102776516,16.66,2404,1572864,206400,796,58198,19436,77824,1511424,73,72,12
1781600673,38.92,102735940,16.29,2480,1572864,206304,777,44379,25164,0,13209600,72,71,12
1781600675,40.04,102771704,16.29,2573,1572864,206208,814,55570,29320,36864,7315456,72,71,12
1781600678,25.18,102727072,15.22,2658,1572864,206016,780,45504,14752,0,462848,72,71,12
1781600680,36.31,102669712,15.22,2757,1572864,205728,799,51143,19727,0,14639104,72,71,12
