unix_ts,namespace,pod,cpu_m,mem_mib
1781600314,kube-system,coredns-c4dbffb5f-p9rsr,3,26
1781600314,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1781600314,kube-system,metrics-server-786d997795-hcp2m,7,46
1781600314,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781600314,kube-system,traefik-9bcdbbd9-qtpjt,1,40
1781600317,kube-system,coredns-c4dbffb5f-p9rsr,3,26
1781600317,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1781600317,kube-system,metrics-server-786d997795-hcp2m,7,46
1781600317,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781600317,kube-system,traefik-9bcdbbd9-qtpjt,1,40
1781600325,kube-system,coredns-c4dbffb5f-p9rsr,3,26
1781600325,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1781600325,kube-system,metrics-server-786d997795-hcp2m,7,46
1781600325,kube-system,svclb-traefik-1100f998-kpm9h,0,0
1781600325,kube-system,traefik-9bcdbbd9-qtpjt,1,40
1781600429,gsm-1,msc-test-stub-5b875d749d-2g6xb,1,16
1781600429,gsm-1,osmo-bsc-594654bd47-cjqsw,1,5
1781600429,gsm-1,osmo-bts-virtual-5f8b9b86fc-bf8cw,10,7
1781600429,gsm-1,osmo-hlr-546bdb8988-q7qzq,1,2
1781600429,gsm-1,osmo-mgw-8c8fc67d6-ggv4x,1,2
1781600429,gsm-1,osmo-mobile-947867b85-szc9q,2,27
1781600429,gsm-1,osmo-stp-768687f494-kss4m,1,2
1781600429,gsm-1,virtphy-858665df6d-79ltg,7,4
1781600429,gsm-2,msc-test-stub-5b875d749d-srq59,1,16
1781600429,gsm-2,osmo-bsc-594654bd47-bzwjg,1,5
1781600429,gsm-2,osmo-bts-virtual-5f8b9b86fc-xjk8q,10,5
1781600429,gsm-2,osmo-mgw-8c8fc67d6-k9t68,1,2
1781600429,gsm-2,osmo-stp-768687f494-6m9sm,1,2
1781600429,gsm-2,virtphy-6458f9f999-w9lvw,7,2
1781600429,gsm-3,msc-test-stub-5b875d749d-kl7np,1,16
1781600429,gsm-3,osmo-bsc-594654bd47-khl87,1,5
1781600429,gsm-3,osmo-mobile-856799fbbc-chcrl,11,24
1781600429,gsm-3,osmo-stp-768687f494-jwj4w,1,2
1781600429,gsm-3,virtphy-7c75c79c86-jlp5k,7,0
1781600429,gsm-4,msc-test-stub-5b875d749d-qbgmg,1,16
1781600429,gsm-4,osmo-bsc-594654bd47-lxrtq,1,5
1781600429,gsm-4,osmo-bts-virtual-5f8b9b86fc-n9ggj,10,5
1781600429,gsm-4,osmo-hlr-546bdb8988-68fq2,1,2
1781600429,gsm-4,osmo-mgw-8c8fc67d6-gjqgp,1,2
1781600429,gsm-4,osmo-mobile-74f4b9d576-rrtzh,10,25
1781600429,gsm-4,osmo-stp-768687f494-p6gws,1,2
1781600429,gsm-4,virtphy-7cb5464db9-f9m5g,7,2
1781600429,gsm-5,msc-test-stub-5b875d749d-7n794,1,16
1781600429,gsm-5,osmo-bsc-594654bd47-pltlz,1,5
1781600429,gsm-5,osmo-bts-virtual-5f8b9b86fc-r9m8t,11,9
1781600429,gsm-5,osmo-hlr-546bdb8988-r9nkx,1,2
1781600429,gsm-5,osmo-mgw-8c8fc67d6-vk8zc,1,2
1781600429,gsm-5,osmo-mobile-59d8d55bb5-qwp4r,4,28
1781600429,gsm-5,osmo-stp-768687f494-gskp2,1,2
1781600429,gsm-5,virtphy-b55647b48-44vw7,7,2
1781600429,gsm-6,msc-test-stub-5b875d749d-f8wjv,1,16
1781600429,gsm-6,osmo-bts-virtual-5f8b9b86fc-7xlkb,10,8
1781600429,gsm-6,osmo-hlr-546bdb8988-n29lt,1,2
1781600429,gsm-6,osmo-mgw-8c8fc67d6-798rz,1,2
1781600429,gsm-6,virtphy-65fcd75d7-cdrcn,7,3
1781600429,gsm-7,msc-test-stub-5b875d749d-7g266,1,16
1781600429,gsm-7,osmo-bsc-594654bd47-j6n49,2,5
1781600429,gsm-7,osmo-bts-virtual-5f8b9b86fc-czhcl,11,8
1781600429,gsm-7,osmo-mgw-8c8fc67d6-dqkv5,1,2
1781600429,gsm-7,osmo-mobile-6865667c79-ql6cl,9,26
1781600429,gsm-7,osmo-stp-768687f494-d64bj,1,2
1781600429,gsm-7,virtphy-6cd7658d46-rfgf2,7,2
1781600429,gsm-8,msc-test-stub-5b875d749d-dxqzs,2,16
1781600429,gsm-8,osmo-bts-virtual-5f8b9b86fc-tvcxl,11,7
1781600429,gsm-8,osmo-hlr-546bdb8988-vb8bb,1,2
1781600429,gsm-8,osmo-mgw-8c8fc67d6-v9gr9,1,2
1781600429,gsm-8,osmo-stp-768687f494-shd7q,1,2
1781600429,gsm-8,virtphy-86b4bdf559-ks45z,7,2
1781600429,kube-system,coredns-c4dbffb5f-p9rsr,3,26
1781600429,kube-system,local-path-provisioner-5c4dc5d66d-nfqxz,1,17
1781600429,kube-system,metrics-server-786d997795-hcp2m,7,45
1781600431,gsm-1,msc-test-stub-5b875d749d-2g6xb,1,16
1781600431,gsm-1,osmo-bsc-594654bd47-cjqsw,1,5
1781600431,gsm-1,osmo-bts-virtual-5f8b9b86fc-bf8cw,10,7
1781600431,gsm-1,osmo-hlr-546bdb8988-q7qzq,1,2
1781600431,gsm-1,osmo-mgw-8c8fc67d6-ggv4x,1,2
1781600431,gsm-1,osmo-mobile-947867b85-szc9q,2,27
1781600431,gsm-1,osmo-stp-768687f494-kss4m,1,2
1781600431,gsm-1,virtphy-858665df6d-79ltg,7,4
1781600431,gsm-2,msc-test-stub-5b875d749d-srq59,1,16
1781600431,gsm-2,osmo-bsc-594654bd47-bzwjg,1,5
1781600431,gsm-2,osmo-bts-virtual-5f8b9b86fc-xjk8q,10,5
1781600431,gsm-2,osmo-mgw-8c8fc67d6-k9t68,1,2
1781600431,gsm-2,osmo-stp-768687f494-6m9sm,1,2
1781600431,gsm-2,virtphy-6458f9f999-w9lvw,7,2
1781600431,gsm-3,msc-test-stub-5b875d749d-kl7np,1,16
1781600431,gsm-3,osmo-bsc-594654bd47-khl87,1,5
1781600431,gsm-3,osmo-mobile-856799fbbc-chcrl,11,24
1781600431,gsm-3,osmo-stp-768687f494-jwj4w,1,2
1781600431,gsm-3,virtphy-7c75c79c86-jlp5k,7,0
1781600431,gsm-4,msc-test-stub-5b875d749d-qbgmg,1,16
1781600431,gsm-4,osmo-bsc-594654bd47-lxrtq,1,5
1781600431,gsm-4,osmo-bts-virtual-5f8b9b86fc-n9ggj,10,5
1781600431,gsm-4,osmo-hlr-546bdb8988-68fq2,1,2
1781600431,gsm-4,osmo-mgw-8c8fc67d6-gjqgp,1,2
1781600431,gsm-4,osmo-mobile-74f4b9d576-rrtzh,10,25
