namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-2g6xb,msc-test-stub,1,false,137
gsm-1,osmo-bsc-594654bd47-cjqsw,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-bf8cw,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-q7qzq,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-ggv4x,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-szc9q,mobile,0,false,
gsm-1,osmo-stp-768687f494-kss4m,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-1-1-75xjg,ttcn3,0,false,
gsm-1,virtphy-858665df6d-79ltg,virtphy,0,false,
gsm-2,msc-test-stub-5b875d749d-srq59,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-bzwjg,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-5f8b9b86fc-xjk8q,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-546bdb8988-9knhz,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-k9t68,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-rfjsj,mobile,0,false,
gsm-2,osmo-stp-768687f494-6m9sm,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-6-2-1-1-1-66bds,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-w9lvw,virtphy,0,false,
gsm-3,msc-test-stub-5b875d749d-kl7np,msc-test-stub,0,false,
gsm-3,osmo-bsc-594654bd47-khl87,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-5f8b9b86fc-qfvhq,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-546bdb8988-7wmlp,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-q5tdd,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-chcrl,mobile,0,false,
gsm-3,osmo-stp-768687f494-jwj4w,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-6-8-2-1-4tbjt,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-jlp5k,virtphy,0,false,
gsm-4,msc-test-stub-5b875d749d-qbgmg,msc-test-stub,0,false,
gsm-4,osmo-bsc-594654bd47-lxrtq,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-5f8b9b86fc-n9ggj,osmo-bts-virtual,0,false,
gsm-4,osmo-hlr-546bdb8988-68fq2,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-gjqgp,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-rrtzh,mobile,0,false,
gsm-4,osmo-stp-768687f494-p6gws,osmo-stp,0,false,
gsm-4,ttcn3-tc-26-7-2-1-1-vksqt,ttcn3,0,false,
gsm-4,virtphy-7cb5464db9-f9m5g,virtphy,0,false,
gsm-5,msc-test-stub-5b875d749d-7n794,msc-test-stub,0,false,
gsm-5,osmo-bsc-594654bd47-pltlz,osmo-bsc,0,false,
gsm-5,osmo-bts-virtual-5f8b9b86fc-r9m8t,osmo-bts-virtual,0,false,
gsm-5,osmo-hlr-546bdb8988-r9nkx,osmo-hlr,0,false,
gsm-5,osmo-mgw-8c8fc67d6-vk8zc,osmo-mgw,0,false,
gsm-5,osmo-mobile-59d8d55bb5-qwp4r,mobile,0,false,
gsm-5,osmo-stp-768687f494-gskp2,osmo-stp,0,false,
gsm-5,ttcn3-tc-26-7-4-1-1-h677g,ttcn3,0,false,
gsm-5,virtphy-b55647b48-44vw7,virtphy,0,false,
gsm-6,msc-test-stub-5b875d749d-f8wjv,msc-test-stub,0,false,
gsm-6,osmo-bsc-594654bd47-d7qhz,osmo-bsc,0,false,
gsm-6,osmo-bts-virtual-5f8b9b86fc-7xlkb,osmo-bts-virtual,0,false,
gsm-6,osmo-hlr-546bdb8988-n29lt,osmo-hlr,0,false,
gsm-6,osmo-mgw-8c8fc67d6-798rz,osmo-mgw,0,false,
gsm-6,osmo-mobile-7b8d4df666-2796v,mobile,0,false,
gsm-6,osmo-stp-768687f494-4d2lm,osmo-stp,0,false,
gsm-6,ttcn3-tc-26-8-1-2-1-1-1-zc868,ttcn3,0,false,
gsm-6,virtphy-65fcd75d7-cdrcn,virtphy,0,false,
gsm-7,msc-test-stub-5b875d749d-7g266,msc-test-stub,0,false,
gsm-7,osmo-bsc-594654bd47-j6n49,osmo-bsc,0,false,
gsm-7,osmo-bts-virtual-5f8b9b86fc-czhcl,osmo-bts-virtual,0,false,
gsm-7,osmo-hlr-546bdb8988-gcb74,osmo-hlr,0,false,
gsm-7,osmo-mgw-8c8fc67d6-dqkv5,osmo-mgw,0,false,
gsm-7,osmo-mobile-6865667c79-ql6cl,mobile,0,false,
gsm-7,osmo-stp-768687f494-d64bj,osmo-stp,0,false,
gsm-7,ttcn3-tc-26-8-1-3-3-1-1-tppzd,ttcn3,0,false,
gsm-7,virtphy-6cd7658d46-rfgf2,virtphy,0,false,
gsm-8,msc-test-stub-5b875d749d-dxqzs,msc-test-stub,1,false,137
gsm-8,osmo-bsc-594654bd47-5zskx,osmo-bsc,0,false,
gsm-8,osmo-bts-virtual-5f8b9b86fc-tvcxl,osmo-bts-virtual,0,false,
gsm-8,osmo-hlr-546bdb8988-vb8bb,osmo-hlr,0,false,
gsm-8,osmo-mgw-8c8fc67d6-v9gr9,osmo-mgw,0,false,
gsm-8,osmo-mobile-7f88cc47b4-wjcqt,mobile,0,false,
gsm-8,osmo-stp-768687f494-shd7q,osmo-stp,0,false,
gsm-8,ttcn3-tc-34-2-2-1-brhlj,ttcn3,0,false,
gsm-8,virtphy-86b4bdf559-ks45z,virtphy,0,false,
