unix_ts,namespace,pod,cpu_m,mem_mib
1781603177,gsm-8,osmo-bsc-594654bd47-cdctn,7,5
1781603177,gsm-8,osmo-bts-virtual-5f8b9b86fc-dgp4v,7,0
1781603177,gsm-8,osmo-hlr-546bdb8988-tgs5g,5,2
1781603177,gsm-8,osmo-mgw-8c8fc67d6-2fxms,5,2
1781603177,gsm-8,osmo-mobile-7f88cc47b4-wb92t,15,23
1781603177,gsm-8,osmo-stp-768687f494-xcqhs,5,2
1781603180,gsm-8,osmo-bsc-594654bd47-cdctn,7,5
1781603180,gsm-8,osmo-bts-virtual-5f8b9b86fc-dgp4v,7,0
1781603180,gsm-8,osmo-hlr-546bdb8988-tgs5g,5,2
1781603180,gsm-8,osmo-mgw-8c8fc67d6-2fxms,5,2
1781603180,gsm-8,osmo-mobile-7f88cc47b4-wb92t,15,23
1781603180,gsm-8,osmo-stp-768687f494-xcqhs,5,2
1781603182,gsm-8,osmo-bsc-594654bd47-cdctn,7,5
1781603182,gsm-8,osmo-bts-virtual-5f8b9b86fc-dgp4v,7,0
1781603182,gsm-8,osmo-hlr-546bdb8988-tgs5g,5,2
1781603182,gsm-8,osmo-mgw-8c8fc67d6-2fxms,5,2
1781603182,gsm-8,osmo-mobile-7f88cc47b4-wb92t,15,23
1781603182,gsm-8,osmo-stp-768687f494-xcqhs,5,2
1781603184,gsm-8,osmo-bsc-594654bd47-cdctn,7,5
1781603184,gsm-8,osmo-bts-virtual-5f8b9b86fc-dgp4v,7,0
1781603184,gsm-8,osmo-hlr-546bdb8988-tgs5g,5,2
1781603184,gsm-8,osmo-mgw-8c8fc67d6-2fxms,5,2
1781603184,gsm-8,osmo-mobile-7f88cc47b4-wb92t,15,23
1781603184,gsm-8,osmo-stp-768687f494-xcqhs,5,2
1781603186,gsm-8,osmo-bsc-594654bd47-cdctn,7,5
1781603186,gsm-8,osmo-bts-virtual-5f8b9b86fc-dgp4v,7,0
1781603186,gsm-8,osmo-hlr-546bdb8988-tgs5g,5,2
