unix_ts,namespace,pod,cpu_m,mem_mib
1781603954,gsm-3,osmo-bsc-594654bd47-wdv2b,5,0
1781603954,gsm-3,osmo-stp-768687f494-brd6w,4,2
1781603954,gsm-3,virtphy-7c75c79c86-lnzs7,7,0
1781603956,gsm-3,osmo-bsc-594654bd47-wdv2b,5,0
1781603956,gsm-3,osmo-stp-768687f494-brd6w,4,2
1781603956,gsm-3,virtphy-7c75c79c86-lnzs7,7,0
1781603958,gsm-3,osmo-bsc-594654bd47-wdv2b,5,0
1781603958,gsm-3,osmo-stp-768687f494-brd6w,4,2
1781603958,gsm-3,virtphy-7c75c79c86-lnzs7,7,0
1781603961,gsm-3,msc-test-stub-5b875d749d-p2sj8,5,0
1781603961,gsm-3,osmo-bsc-594654bd47-wdv2b,5,0
1781603961,gsm-3,osmo-stp-768687f494-brd6w,4,2
1781603961,gsm-3,virtphy-7c75c79c86-lnzs7,7,0
1781603963,gsm-3,msc-test-stub-5b875d749d-p2sj8,5,0
1781603963,gsm-3,osmo-bsc-594654bd47-wdv2b,5,0
1781603963,gsm-3,osmo-stp-768687f494-brd6w,4,2
1781603963,gsm-3,virtphy-7c75c79c86-lnzs7,7,0
1781603965,gsm-3,msc-test-stub-5b875d749d-p2sj8,5,0
1781603965,gsm-3,osmo-bsc-594654bd47-wdv2b,5,0
1781603965,gsm-3,osmo-stp-768687f494-brd6w,4,2
1781603965,gsm-3,virtphy-7c75c79c86-lnzs7,7,0
1781603969,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603969,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603969,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603969,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603969,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603969,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603969,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603969,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603972,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603972,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603972,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603972,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603972,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603972,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603972,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603972,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603974,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603974,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603974,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603974,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603974,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603974,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603974,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603974,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603976,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603976,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603976,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603976,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603976,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603976,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603976,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603976,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603978,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603978,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603978,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603978,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603978,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603978,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603978,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603978,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603980,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603980,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603980,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603980,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603980,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603980,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603980,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603980,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603983,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603983,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603983,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603983,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603983,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603983,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603983,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603983,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603985,gsm-3,msc-test-stub-5b875d749d-p2sj8,14,16
1781603985,gsm-3,osmo-bsc-594654bd47-wdv2b,5,5
1781603985,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,12,5
1781603985,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603985,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603985,gsm-3,osmo-mobile-856799fbbc-pxxbm,10,27
1781603985,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603985,gsm-3,virtphy-7c75c79c86-lnzs7,6,2
1781603989,gsm-3,msc-test-stub-5b875d749d-p2sj8,1,16
1781603989,gsm-3,osmo-bsc-594654bd47-wdv2b,1,5
1781603989,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,19,5
1781603989,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603989,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603989,gsm-3,osmo-mobile-856799fbbc-pxxbm,3,31
1781603989,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603989,gsm-3,virtphy-7c75c79c86-lnzs7,8,4
1781603992,gsm-3,msc-test-stub-5b875d749d-p2sj8,1,16
1781603992,gsm-3,osmo-bsc-594654bd47-wdv2b,1,5
1781603992,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,19,5
1781603992,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603992,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603992,gsm-3,osmo-mobile-856799fbbc-pxxbm,3,31
1781603992,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603992,gsm-3,virtphy-7c75c79c86-lnzs7,8,4
1781603995,gsm-3,msc-test-stub-5b875d749d-p2sj8,1,16
1781603995,gsm-3,osmo-bsc-594654bd47-wdv2b,1,5
1781603995,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,19,5
1781603995,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603995,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603995,gsm-3,osmo-mobile-856799fbbc-pxxbm,3,31
1781603995,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603995,gsm-3,virtphy-7c75c79c86-lnzs7,8,4
1781603998,gsm-3,msc-test-stub-5b875d749d-p2sj8,1,16
1781603998,gsm-3,osmo-bsc-594654bd47-wdv2b,1,5
1781603998,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,19,5
1781603998,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781603998,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781603998,gsm-3,osmo-mobile-856799fbbc-pxxbm,3,31
1781603998,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781603998,gsm-3,virtphy-7c75c79c86-lnzs7,8,4
1781604000,gsm-3,msc-test-stub-5b875d749d-p2sj8,1,16
1781604000,gsm-3,osmo-bsc-594654bd47-wdv2b,1,5
1781604000,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,20,5
1781604000,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781604000,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781604000,gsm-3,osmo-mobile-856799fbbc-pxxbm,3,28
1781604000,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781604000,gsm-3,virtphy-7c75c79c86-lnzs7,6,1
1781604003,gsm-3,msc-test-stub-5b875d749d-p2sj8,1,16
1781604003,gsm-3,osmo-bsc-594654bd47-wdv2b,1,5
1781604003,gsm-3,osmo-bts-virtual-5f8b9b86fc-kf8x9,20,5
1781604003,gsm-3,osmo-hlr-546bdb8988-wt9tp,1,2
1781604003,gsm-3,osmo-mgw-8c8fc67d6-rxrqq,1,2
1781604003,gsm-3,osmo-mobile-856799fbbc-pxxbm,3,28
1781604003,gsm-3,osmo-stp-768687f494-brd6w,1,2
1781604003,gsm-3,virtphy-7c75c79c86-lnzs7,6,1
1781604005,gsm-3,msc-test-stub-5b875d749d-p2sj8,1,16
