unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781605028,57.14,111747792,4.23,296,1572864,204000,47,0,0,241664,2166784,6,5,10
1781605031,69.32,111990860,4.23,345,1572864,204864,48,31306,395963,4096,59559936,26,23,10
1781605035,35.92,112254720,13.50,397,1572864,205248,47,14164,6257,57344,83300352,45,37,10
1781605042,35.34,112505500,23.79,524,1572864,206496,47,36715,58167,172032,116629504,70,69,10
1781605048,26.86,112986488,30.62,720,1572864,207264,57,46118,185656,155648,101318656,70,69,10
1781605052,23.28,112522080,37.53,1012,1572864,207264,85,43728,222542,94208,99540992,70,69,10
1781605056,28.72,113015540,39.97,1324,1572864,207168,106,25874,126376,12288,40894464,70,69,10
1781605058,30.96,113477084,39.98,1472,1572864,207360,128,31543,93566,4096,19845120,70,69,10
1781605061,52.38,113629032,39.98,1654,1572864,207168,150,22126,50189,0,35184640,70,69,10
1781605064,41.97,113768340,39.66,1810,1572864,207264,175,34401,30909,0,20488192,70,69,10
1781605066,44.00,113666616,39.66,1909,1572864,207264,197,41921,52177,0,45232128,70,69,10
1781605068,23.19,113552492,37.60,2018,1572864,207168,230,37544,24872,0,12124160,70,69,10
1781605071,25.82,113545868,37.60,2115,1572864,207072,260,35115,30551,0,46764032,70,69,10
1781605073,22.57,113467232,35.55,2204,1572864,207552,290,57347,46162,0,19214336,70,69,10
1781605076,26.13,113584672,35.55,2290,1572864,207648,317,43309,23123,0,4001792,70,69,10
1781605078,24.71,113516916,33.19,2356,1572864,207840,342,45604,25401,0,5005312,70,69,10
1781605080,27.63,113654276,33.19,1641,1572864,207552,372,53706,27998,0,12197888,70,69,10
1781605082,24.63,113684472,33.19,1717,1572864,207648,399,40616,22783,4096,24870912,70,69,10
1781605085,28.27,113694848,31.97,1803,1572864,207456,427,47720,25797,0,19189760,71,70,10
1781605087,42.48,113695008,31.97,1894,1572864,207840,458,74744,32406,4096,50749440,71,70,10
1781605090,48.16,113593616,32.37,1983,1572864,207744,489,78524,23237,4096,15904768,72,71,10
1781605093,51.70,113800576,32.37,2090,1572864,208128,521,73847,25028,106496,32509952,73,72,10
1781605095,46.57,113773056,32.18,2224,1572864,208032,540,90348,27693,0,17813504,73,72,10
1781605098,55.07,113817964,32.18,2326,1572864,207744,566,73051,32342,106496,32583680,75,74,10
1781605101,48.84,113812100,32.57,2453,1572864,207840,593,83038,26067,4096,20127744,75,74,10
1781605103,39.63,113746128,31.80,2590,1572864,207936,632,80025,31398,249856,24031232,76,75,10
1781605106,53.43,113865964,31.80,2673,1572864,208320,657,62602,16058,20480,10870784,76,75,10
1781605108,42.50,113751296,33.50,2808,1572864,208128,677,67541,20398,0,31764480,76,75,10
1781605110,64.12,113754544,33.50,2909,1572864,208512,677,74344,33149,4096,8376320,78,77,10
1781605112,39.52,113768696,33.50,3002,1572864,209088,709,48027,18568,266240,33939456,78,77,10
1781605114,42.17,113718692,33.94,3107,1572864,208896,705,63166,23730,0,39555072,78,77,10
1781605117,26.20,113768884,33.94,3183,1572864,208800,709,63029,17253,0,3416064,78,77,10
