unix_ts,namespace,pod,cpu_m,mem_mib
1781605071,gsm-2,msc-test-stub-5b875d749d-xhkm6,12,16
1781605073,gsm-2,msc-test-stub-5b875d749d-xhkm6,12,16
1781605076,gsm-2,msc-test-stub-5b875d749d-xhkm6,12,16
1781605078,gsm-2,msc-test-stub-5b875d749d-xhkm6,12,16
1781605080,gsm-2,msc-test-stub-5b875d749d-xhkm6,12,16
1781605082,gsm-2,msc-test-stub-5b875d749d-xhkm6,12,16
1781605085,gsm-2,msc-test-stub-5b875d749d-xhkm6,1,16
1781605085,gsm-2,osmo-bsc-594654bd47-tdcd5,1,5
1781605085,gsm-2,osmo-bts-virtual-5f8b9b86fc-cszht,25,5
1781605085,gsm-2,osmo-hlr-546bdb8988-bngjx,1,2
1781605085,gsm-2,osmo-mgw-8c8fc67d6-kdj4g,1,2
1781605085,gsm-2,osmo-mobile-6b5b79f646-j4n69,4,28
1781605085,gsm-2,osmo-stp-768687f494-j4h2h,1,2
1781605085,gsm-2,virtphy-6458f9f999-68954,7,1
1781605087,gsm-2,msc-test-stub-5b875d749d-xhkm6,1,16
1781605087,gsm-2,osmo-bsc-594654bd47-tdcd5,1,5
1781605087,gsm-2,osmo-bts-virtual-5f8b9b86fc-cszht,25,5
1781605087,gsm-2,osmo-hlr-546bdb8988-bngjx,1,2
1781605087,gsm-2,osmo-mgw-8c8fc67d6-kdj4g,1,2
1781605087,gsm-2,osmo-mobile-6b5b79f646-j4n69,4,28
1781605087,gsm-2,osmo-stp-768687f494-j4h2h,1,2
1781605087,gsm-2,virtphy-6458f9f999-68954,7,1
1781605090,gsm-2,msc-test-stub-5b875d749d-xhkm6,1,16
1781605090,gsm-2,osmo-bsc-594654bd47-tdcd5,1,5
1781605090,gsm-2,osmo-bts-virtual-5f8b9b86fc-cszht,25,5
1781605090,gsm-2,osmo-hlr-546bdb8988-bngjx,1,2
1781605090,gsm-2,osmo-mgw-8c8fc67d6-kdj4g,1,2
1781605090,gsm-2,osmo-mobile-6b5b79f646-j4n69,4,28
1781605090,gsm-2,osmo-stp-768687f494-j4h2h,1,2
1781605090,gsm-2,virtphy-6458f9f999-68954,7,1
1781605093,gsm-2,msc-test-stub-5b875d749d-xhkm6,1,16
1781605093,gsm-2,osmo-bsc-594654bd47-tdcd5,1,5
1781605093,gsm-2,osmo-bts-virtual-5f8b9b86fc-cszht,25,5
1781605093,gsm-2,osmo-hlr-546bdb8988-bngjx,1,2
1781605093,gsm-2,osmo-mgw-8c8fc67d6-kdj4g,1,2
1781605093,gsm-2,osmo-mobile-6b5b79f646-j4n69,4,28
1781605093,gsm-2,osmo-stp-768687f494-j4h2h,1,2
1781605093,gsm-2,virtphy-6458f9f999-68954,7,1
1781605095,gsm-2,msc-test-stub-5b875d749d-xhkm6,3,16
1781605095,gsm-2,osmo-bsc-594654bd47-tdcd5,1,5
1781605095,gsm-2,osmo-bts-virtual-5f8b9b86fc-cszht,22,5
1781605095,gsm-2,osmo-hlr-546bdb8988-bngjx,1,2
1781605095,gsm-2,osmo-mgw-8c8fc67d6-kdj4g,1,2
1781605095,gsm-2,osmo-mobile-6b5b79f646-j4n69,3,28
1781605095,gsm-2,osmo-stp-768687f494-j4h2h,1,2
1781605095,gsm-2,virtphy-6458f9f999-68954,5,1
1781605098,gsm-2,msc-test-stub-5b875d749d-xhkm6,3,16
1781605098,gsm-2,osmo-bsc-594654bd47-tdcd5,1,5
1781605098,gsm-2,osmo-bts-virtual-5f8b9b86fc-cszht,22,5
1781605098,gsm-2,osmo-hlr-546bdb8988-bngjx,1,2
1781605098,gsm-2,osmo-mgw-8c8fc67d6-kdj4g,1,2
1781605098,gsm-2,osmo-mobile-6b5b79f646-j4n69,3,28
1781605098,gsm-2,osmo-stp-768687f494-j4h2h,1,2
1781605098,gsm-2,virtphy-6458f9f999-68954,5,1
1781605101,gsm-2,msc-test-stub-5b875d749d-xhkm6,3,16
1781605101,gsm-2,osmo-bsc-594654bd47-tdcd5,1,5
1781605101,gsm-2,osmo-bts-virtual-5f8b9b86fc-cszht,22,5
