unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1781605028,59.38,111747288,4.23,296,1572864,204000,47,0,0,139264,217088,6,5,10
1781605031,73.94,112002320,4.23,343,1572864,204576,47,30497,395452,106496,60968960,26,22,10
1781605035,35.52,112252480,13.50,397,1572864,205248,47,14897,6768,57344,83841024,46,43,10
1781605042,34.35,112524156,23.79,531,1572864,206592,47,38255,74278,172032,117850112,70,69,10
1781605048,26.88,112974188,30.62,721,1572864,207264,58,45151,170316,155648,100098048,70,69,10
1781605054,23.57,112529144,37.53,1009,1572864,207264,85,38558,219172,94208,96862208,70,69,10
1781605057,28.36,113167808,39.97,1387,1572864,206976,111,41009,158711,12288,51957760,70,69,10
1781605060,34.70,113473764,39.98,1546,1572864,207264,135,26992,88358,4096,37580800,70,69,10
1781605062,45.68,113779256,39.98,1711,1572864,207168,159,31410,39732,0,9748480,70,69,10
1781605064,50.05,113781332,39.66,1852,1572864,207360,185,35864,32315,0,39092224,70,69,10
1781605067,38.79,113630360,39.66,1953,1572864,207168,211,33763,42700,0,26894336,70,69,10
1781605069,24.47,113557912,37.60,2043,1572864,207168,233,35979,36349,0,14303232,70,69,10
1781605071,24.84,113591284,37.60,2134,1572864,207168,263,33478,14630,0,45887488,70,69,10
1781605074,22.42,113497568,35.55,2209,1572864,207648,294,54183,45422,0,17620992,70,69,10
1781605076,26.36,113592628,35.55,2294,1572864,207648,320,48003,26024,0,5332992,70,69,10
1781605078,24.60,113557200,33.19,2360,1572864,207840,342,45886,25412,0,3264512,70,69,10
1781605080,28.11,113656084,33.19,1642,1572864,207552,372,47244,24542,0,11948032,70,69,10
1781605082,24.17,113684660,33.19,1717,1572864,207648,399,40705,22511,4096,24870912,70,69,10
1781605085,28.48,113688296,31.97,1803,1572864,207456,427,47184,25797,0,19189760,71,70,10
1781605087,42.50,113695008,31.97,1894,1572864,207840,458,74945,32406,4096,50749440,71,70,10
1781605090,48.49,113604468,32.37,1984,1572864,207840,491,79184,23781,4096,16515072,72,71,10
1781605093,51.84,113801200,32.37,2090,1572864,208128,504,75636,24712,106496,32710656,73,72,10
1781605096,46.00,113767512,32.18,2224,1572864,208032,540,87698,27465,0,17002496,73,72,10
1781605098,56.48,113830884,32.57,2345,1572864,207648,568,89553,38860,106496,36134912,75,74,10
1781605101,44.60,113754940,32.57,2462,1572864,207840,600,68956,21973,4096,17285120,75,74,10
1781605103,40.38,113742348,31.80,2590,1572864,207936,632,76710,27614,249856,23183360,76,75,10
1781605106,53.47,113861704,31.80,2673,1572864,208320,657,62637,17418,20480,11010048,76,75,10
1781605108,42.70,113803864,33.50,2808,1572864,208128,677,67622,19878,0,31608832,76,75,10
1781605110,59.48,113738472,33.50,2915,1572864,208608,678,80041,34948,20480,9043968,78,77,10
1781605113,41.95,113785504,33.50,3016,1572864,209088,691,68712,20998,249856,34107392,78,77,10
1781605115,37.47,113724320,33.94,3128,1572864,208896,711,68239,23957,0,40280064,78,77,10
1781605117,27.10,113801008,33.94,3209,1572864,208800,715,63840,18083,0,4976640,78,77,10
