unix_ts,namespace,pod,cpu_m,mem_mib
1781605677,gsm-6,msc-test-stub-5b875d749d-jb5gk,1,16
1781605677,gsm-6,osmo-bts-virtual-5f8b9b86fc-plmvr,21,5
1781605677,gsm-6,osmo-hlr-546bdb8988-5cx6d,1,2
1781605677,gsm-6,osmo-mgw-8c8fc67d6-m4mtx,1,2
1781605677,gsm-6,osmo-mobile-7b8d4df666-7f58j,2,28
1781605677,gsm-6,osmo-stp-768687f494-9dz9f,1,2
1781605677,gsm-6,virtphy-65fcd75d7-4gjtw,7,1
1781605679,gsm-6,msc-test-stub-5b875d749d-jb5gk,1,16
1781605679,gsm-6,osmo-bts-virtual-5f8b9b86fc-plmvr,21,5
1781605679,gsm-6,osmo-hlr-546bdb8988-5cx6d,1,2
1781605679,gsm-6,osmo-mgw-8c8fc67d6-m4mtx,1,2
1781605679,gsm-6,osmo-mobile-7b8d4df666-7f58j,2,28
1781605679,gsm-6,osmo-stp-768687f494-9dz9f,1,2
1781605679,gsm-6,virtphy-65fcd75d7-4gjtw,7,1
1781605682,gsm-6,msc-test-stub-5b875d749d-jb5gk,1,16
1781605682,gsm-6,osmo-bts-virtual-5f8b9b86fc-plmvr,21,5
1781605682,gsm-6,osmo-hlr-546bdb8988-5cx6d,1,2
1781605682,gsm-6,osmo-mgw-8c8fc67d6-m4mtx,1,2
1781605682,gsm-6,osmo-mobile-7b8d4df666-7f58j,2,28
1781605682,gsm-6,osmo-stp-768687f494-9dz9f,1,2
1781605682,gsm-6,virtphy-65fcd75d7-4gjtw,7,1
1781605684,gsm-6,msc-test-stub-5b875d749d-jb5gk,1,16
1781605684,gsm-6,osmo-bts-virtual-5f8b9b86fc-plmvr,21,5
1781605684,gsm-6,osmo-hlr-546bdb8988-5cx6d,1,2
1781605684,gsm-6,osmo-mgw-8c8fc67d6-m4mtx,1,2
1781605684,gsm-6,osmo-mobile-7b8d4df666-7f58j,2,28
1781605684,gsm-6,osmo-stp-768687f494-9dz9f,1,2
1781605684,gsm-6,virtphy-65fcd75d7-4gjtw,7,1
1781605688,gsm-6,msc-test-stub-5b875d749d-jb5gk,1,16
1781605688,gsm-6,osmo-bts-virtual-5f8b9b86fc-plmvr,21,5
1781605688,gsm-6,osmo-hlr-546bdb8988-5cx6d,1,2
1781605688,gsm-6,osmo-mgw-8c8fc67d6-m4mtx,1,2
1781605688,gsm-6,osmo-mobile-7b8d4df666-7f58j,2,28
1781605688,gsm-6,osmo-stp-768687f494-9dz9f,1,2
1781605688,gsm-6,virtphy-65fcd75d7-4gjtw,7,1
1781605690,gsm-6,msc-test-stub-5b875d749d-jb5gk,1,16
1781605690,gsm-6,osmo-bts-virtual-5f8b9b86fc-plmvr,21,5
1781605690,gsm-6,osmo-hlr-546bdb8988-5cx6d,1,2
1781605690,gsm-6,osmo-mgw-8c8fc67d6-m4mtx,1,2
1781605690,gsm-6,osmo-mobile-7b8d4df666-7f58j,2,28
1781605690,gsm-6,osmo-stp-768687f494-9dz9f,1,2
1781605690,gsm-6,virtphy-65fcd75d7-4gjtw,7,1
1781605693,gsm-6,msc-test-stub-5b875d749d-jb5gk,1,16
1781605693,gsm-6,osmo-bsc-594654bd47-lrmjb,1,5
1781605693,gsm-6,osmo-bts-virtual-5f8b9b86fc-plmvr,23,5
