namespace,phase,unix_ts
gsm-1,t0,1781525069.309869443
gsm-1,t_apply,1781525070.393664348
gsm-1,t_ready,1781525107.157328947
gsm-1,t_attached,1781525111.320158878
gsm-1,t_test0,1781525111.322041944
gsm-1,t_testN,1781525521.880750541
gsm-1,t_teardown,1781525575.862892218
gsm-1,t0,1781525576.031683361
gsm-1,t_apply,1781525576.858637135
gsm-1,t_ready,1781525613.047966838
gsm-1,t_attached,1781525613.885806950
gsm-1,t_test0,1781525613.888569581
gsm-1,t_testN,1781525708.946945040
gsm-1,t_teardown,1781525761.359043463
gsm-1,t0,1781525761.451156423
gsm-1,t_apply,1781525762.548382834
gsm-1,t_ready,1781525798.764342491
gsm-1,t_attached,1781525799.645273062
gsm-1,t_test0,1781525799.646880758
gsm-1,t_testN,1781526002.060292890
gsm-1,t_teardown,1781526056.355429535
gsm-1,t0,1781526056.444675732
gsm-1,t_apply,1781526057.668661281
gsm-1,t_ready,1781526094.693803188
gsm-1,t_attached,1781526095.688746336
gsm-1,t_test0,1781526095.690452752
gsm-1,t_testN,1781526210.573461981
gsm-1,t_teardown,1781526264.238782770
gsm-2,t0,1781525069.310236165
gsm-2,t_apply,1781525070.401336728
gsm-2,t_ready,1781525107.164938471
gsm-2,t_attached,1781525111.323495475
gsm-2,t_test0,1781525111.325186306
gsm-2,t_testN,1781525307.028928106
gsm-2,t_teardown,1781525358.522370951
gsm-2,t0,1781525358.600466932
gsm-2,t_apply,1781525359.630969706
gsm-2,t_ready,1781525395.752480604
gsm-2,t_attached,1781525396.703652614
gsm-2,t_test0,1781525396.705685128
gsm-2,t_testN,1781525495.153907408
gsm-2,t_teardown,1781525548.337380221
gsm-2,t0,1781525548.427184043
gsm-2,t_apply,1781525549.609120321
gsm-2,t_ready,1781525587.182005874
gsm-2,t_attached,1781525588.054290195
gsm-2,t_test0,1781525588.056922316
gsm-2,t_testN,1781525679.821843590
gsm-2,t_teardown,1781525731.237088138
gsm-2,t0,1781525731.328323415
gsm-2,t_apply,1781525732.680500118
gsm-2,t_ready,1781525769.275614143
gsm-2,t_attached,1781525770.159177324
gsm-2,t_test0,1781525770.161627016
gsm-2,t_testN,1781526102.899261594
gsm-2,t_teardown,1781526157.751059318
