namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-qfpgb,msc-test-stub,1,false,137
gsm-1,osmo-bsc-594654bd47-z8q6r,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-fsqvq,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-fmwsk,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-z86zj,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-lg6gw,mobile,0,false,
gsm-1,osmo-stp-768687f494-98fkm,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-1-1-m2cps,ttcn3,0,false,
gsm-1,virtphy-858665df6d-d92f4,virtphy,0,false,
gsm-1,msc-test-stub-5b875d749d-f7s9g,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-2s4qb,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-57cl5,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-wxph8,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-wpv5v,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-f8xlx,mobile,0,false,
gsm-1,osmo-stp-768687f494-whrts,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-8-2-1-8x7mb,ttcn3,0,false,
gsm-1,virtphy-858665df6d-z9gx6,virtphy,0,false,
gsm-1,msc-test-stub-5b875d749d-xz8f8,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-d9w4z,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-fmfk2,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-gzmgv,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-skdgg,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-g4hbx,mobile,0,false,
gsm-1,osmo-stp-768687f494-fc7pv,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-7-4-1-1-2k75s,ttcn3,0,false,
gsm-1,virtphy-858665df6d-9khdw,virtphy,0,false,
gsm-1,msc-test-stub-5b875d749d-xjtmj,msc-test-stub,0,false,
gsm-1,osmo-bsc-594654bd47-tg9fj,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-nmgbn,osmo-bts-virtual,0,false,
