namespace,phase,unix_ts
gsm-1,t0,1781504063.570664666
gsm-1,t_apply,1781504064.472901019
gsm-1,t_ready,1781504100.860998799
gsm-1,t_attached,1781504101.170020103
gsm-1,t_test0,1781504101.171717430
gsm-1,t_testN,1781504515.139961781
gsm-1,t_teardown,1781504567.549593462
gsm-1,t0,1781504567.637985335
gsm-1,t_apply,1781504568.626734501
gsm-1,t_ready,1781504605.054571372
gsm-1,t_attached,1781504605.440047351
gsm-1,t_test0,1781504605.441653071
gsm-1,t_testN,1781504700.768145097
gsm-1,t_teardown,1781504752.727211103
gsm-1,t0,1781504752.806766138
gsm-1,t_apply,1781504753.453799183
gsm-1,t_ready,1781504789.698101155
gsm-1,t_attached,1781504790.010380074
gsm-1,t_test0,1781504790.011644870
gsm-1,t_testN,1781504937.689056763
gsm-1,t_teardown,1781504990.407501702
gsm-1,t0,1781504990.498832413
gsm-1,t_apply,1781504991.680469308
gsm-1,t_ready,1781505028.190719354
gsm-1,t_attached,1781505028.513522128
gsm-1,t_test0,1781505028.516611969
gsm-1,t_testN,1781505140.130847342
gsm-1,t_teardown,1781505193.009687067
gsm-2,t0,1781504063.578564170
gsm-2,t_apply,1781504064.448142288
gsm-2,t_ready,1781504100.875555591
gsm-2,t_attached,1781504101.167192546
gsm-2,t_test0,1781504101.168568320
gsm-2,t_testN,1781504303.216551172
gsm-2,t_teardown,1781504357.119851241
gsm-2,t0,1781504357.206533583
gsm-2,t_apply,1781504358.452322849
gsm-2,t_ready,1781504394.604564253
gsm-2,t_attached,1781504395.107515455
gsm-2,t_test0,1781504395.109074935
gsm-2,t_testN,1781504438.311607272
gsm-2,t_teardown,1781504493.156136508
