namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-bs8dm,msc-test-stub,1,false,137
gsm-1,osmo-bsc-594654bd47-hftlg,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-4dbg9,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-zc5v9,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-629rw,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-mtw9t,mobile,0,false,
gsm-1,osmo-stp-768687f494-swtnb,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-1-1-9mp67,ttcn3,0,false,
gsm-1,ttcn3-tc-26-6-8-2-2-kztjc,ttcn3,0,false,
gsm-1,ttcn3-tc-26-7-4-1-3-lf826,ttcn3,0,false,
gsm-1,ttcn3-tc-26-8-1-3-3-1-4-452fb,ttcn3,0,false,
gsm-1,virtphy-858665df6d-582xx,virtphy,0,false,
