namespace,phase,unix_ts
gsm-1,t0,1781501725.947681755
gsm-1,t_apply,1781501726.979479007
gsm-1,t_ready,1781501776.715963701
gsm-1,t_attached,1781501777.038002216
gsm-1,t_test0,1781501777.039577002
gsm-1,t_testN,1781502192.028874596
gsm-1,t_teardown,1781502246.958744041
gsm-2,t0,1781501725.951162964
gsm-2,t_apply,1781501726.902010830
gsm-2,t_ready,1781501766.445405472
gsm-2,t_attached,1781501767.000624063
gsm-2,t_test0,1781501767.002530039
gsm-2,t_testN,1781501960.831518769
gsm-2,t_teardown,1781502014.568000314
gsm-3,t0,1781501725.951806159
gsm-3,t_apply,1781501726.849880033
gsm-3,t_ready,1781501766.023429164
gsm-3,t_attached,1781501766.344372844
gsm-3,t_test0,1781501766.345798002
gsm-3,t_testN,1781501861.618173807
gsm-3,t_teardown,1781501914.563906569
gsm-4,t0,1781501725.951562230
gsm-4,t_apply,1781501726.954308398
gsm-4,t_ready,1781501766.023429098
gsm-4,t_attached,1781501766.349315086
gsm-4,t_test0,1781501766.350659271
gsm-4,t_testN,1781501868.085660502
gsm-4,t_teardown,1781501921.499270726
gsm-5,t0,1781501725.953415004
gsm-5,t_apply,1781501726.998759961
gsm-5,t_ready,1781501776.302436341
gsm-5,t_attached,1781501776.607265291
gsm-5,t_test0,1781501776.609108647
gsm-5,t_testN,1781501979.738936377
gsm-5,t_teardown,1781502033.567102431
gsm-6,t0,1781501725.959099325
gsm-6,t_apply,1781501726.777675124
gsm-6,t_ready,1781501760.903396827
gsm-6,t_attached,1781501761.990049670
gsm-6,t_test0,1781501761.991422421
gsm-6,t_testN,1781501854.039686800
gsm-6,t_teardown,1781501908.033034844
gsm-7,t0,1781501725.958994774
gsm-7,t_apply,1781501727.012834163
gsm-7,t_ready,1781501776.305646221
gsm-7,t_attached,1781501776.603856872
gsm-7,t_test0,1781501776.605331467
gsm-7,t_testN,1781501891.465517595
gsm-7,t_teardown,1781501944.031581444
gsm-8,t0,1781501725.959154658
gsm-8,t_apply,1781501726.716495782
gsm-8,t_ready,1781501761.311976865
gsm-8,t_attached,1781501762.114432121
gsm-8,t_test0,1781501762.115575377
gsm-8,t_testN,1781502095.562390015
gsm-8,t_teardown,1781502149.989126813
