namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-5b875d749d-4m2q6,msc-test-stub,1,false,137
gsm-1,osmo-bsc-594654bd47-gdgk4,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-z7fgd,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-546bdb8988-rf9nw,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-8mmtw,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-rw9qm,mobile,0,false,
gsm-1,osmo-stp-768687f494-d4svv,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-6-1-1-1-88vp9,ttcn3,0,false,
gsm-1,virtphy-858665df6d-gvsdh,virtphy,0,false,
gsm-2,msc-test-stub-5b875d749d-g5qgm,msc-test-stub,0,false,
gsm-2,osmo-bsc-594654bd47-bk7s2,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-5f8b9b86fc-krdnj,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-546bdb8988-dp5lk,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-fvcrv,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-q5xph,mobile,0,false,
gsm-2,osmo-stp-768687f494-swkc2,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-6-2-1-1-1-t9skc,ttcn3,0,false,
gsm-2,virtphy-6458f9f999-dvplm,virtphy,0,false,
gsm-3,msc-test-stub-5b875d749d-ptd7f,msc-test-stub,0,false,
gsm-3,osmo-bsc-594654bd47-p6gf2,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-5f8b9b86fc-5trvb,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-546bdb8988-h2pfv,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-fxj9x,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-4nnxc,mobile,0,false,
gsm-3,osmo-stp-768687f494-5rktl,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-6-8-2-1-nv4lq,ttcn3,0,false,
gsm-3,virtphy-7c75c79c86-kpl99,virtphy,0,false,
gsm-4,msc-test-stub-5b875d749d-4zpzl,msc-test-stub,0,false,
gsm-4,osmo-bsc-594654bd47-6rzzx,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-5f8b9b86fc-9csh6,osmo-bts-virtual,0,false,
gsm-4,osmo-hlr-546bdb8988-fcrt8,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-7lvb8,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-hlxcf,mobile,0,false,
gsm-4,osmo-stp-768687f494-9lsp7,osmo-stp,0,false,
gsm-4,ttcn3-tc-26-7-2-1-1-j22sw,ttcn3,0,false,
gsm-4,virtphy-7cb5464db9-54kfp,virtphy,0,false,
gsm-5,msc-test-stub-5b875d749d-l7q2b,msc-test-stub,0,false,
gsm-5,osmo-bsc-594654bd47-8fh9n,osmo-bsc,0,false,
gsm-5,osmo-bts-virtual-5f8b9b86fc-8q4rn,osmo-bts-virtual,0,false,
gsm-5,osmo-hlr-546bdb8988-7r92v,osmo-hlr,0,false,
gsm-5,osmo-mgw-8c8fc67d6-6rkqn,osmo-mgw,0,false,
gsm-5,osmo-mobile-59d8d55bb5-h94pb,mobile,0,false,
gsm-5,osmo-stp-768687f494-2t8rc,osmo-stp,0,false,
gsm-5,ttcn3-tc-26-7-4-1-1-wrvvz,ttcn3,0,false,
gsm-5,virtphy-b55647b48-bvgdv,virtphy,0,false,
gsm-6,msc-test-stub-5b875d749d-qxrmt,msc-test-stub,0,false,
gsm-6,osmo-bsc-594654bd47-nngcc,osmo-bsc,0,false,
gsm-6,osmo-bts-virtual-5f8b9b86fc-nzgsl,osmo-bts-virtual,0,false,
gsm-6,osmo-hlr-546bdb8988-9rxlm,osmo-hlr,0,false,
gsm-6,osmo-mgw-8c8fc67d6-tprl6,osmo-mgw,0,false,
gsm-6,osmo-mobile-7b8d4df666-fvwsv,mobile,0,false,
gsm-6,osmo-stp-768687f494-4lrvx,osmo-stp,0,false,
gsm-6,ttcn3-tc-26-8-1-2-1-1-1-9jhmg,ttcn3,0,false,
gsm-6,virtphy-65fcd75d7-t6sjl,virtphy,0,false,
gsm-7,msc-test-stub-5b875d749d-x8jfx,msc-test-stub,0,false,
gsm-7,osmo-bsc-594654bd47-jmsz6,osmo-bsc,0,false,
gsm-7,osmo-bts-virtual-5f8b9b86fc-fwmdv,osmo-bts-virtual,0,false,
gsm-7,osmo-hlr-546bdb8988-t59ts,osmo-hlr,0,false,
gsm-7,osmo-mgw-8c8fc67d6-tswds,osmo-mgw,0,false,
gsm-7,osmo-mobile-6865667c79-6wzrg,mobile,0,false,
gsm-7,osmo-stp-768687f494-svtjq,osmo-stp,0,false,
gsm-7,ttcn3-tc-26-8-1-3-3-1-1-85rt8,ttcn3,0,false,
gsm-7,virtphy-6cd7658d46-vxbqq,virtphy,0,false,
gsm-8,msc-test-stub-5b875d749d-bf7q8,msc-test-stub,0,false,
gsm-8,osmo-bsc-594654bd47-kswgr,osmo-bsc,0,false,
gsm-8,osmo-bts-virtual-5f8b9b86fc-2lltp,osmo-bts-virtual,0,false,
gsm-8,osmo-hlr-546bdb8988-26fjd,osmo-hlr,0,false,
gsm-8,osmo-mgw-8c8fc67d6-hc6xg,osmo-mgw,0,false,
gsm-8,osmo-mobile-7f88cc47b4-r8fdx,mobile,0,false,
gsm-8,osmo-stp-768687f494-pzldm,osmo-stp,0,false,
gsm-8,ttcn3-tc-34-2-2-1-tsw46,ttcn3,0,false,
gsm-8,virtphy-86b4bdf559-8vs6c,virtphy,0,false,
