unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780994087,14.29,74676428,3.97,274,1572864,171456,46,0,0,0,0,6,5,15
1780994089,40.67,74860772,3.97,307,1572864,171840,44,13744,63107,135168,37216256,13,11,15
1780994091,50.71,74894348,5.73,312,1572864,172128,46,8913,48749,0,23674880,14,13,15
1780994093,13.27,74908436,5.73,343,1572864,172032,44,5519,11514,1339392,3141632,14,13,15
1780994095,11.56,74890652,5.73,353,1572864,171936,48,6303,25866,139264,27344896,14,13,15
1780994097,11.64,74900680,5.59,376,1572864,171840,46,5935,4460,12288,3174400,14,13,15
1780994099,10.04,74903228,5.59,401,1572864,171744,48,9742,8895,106496,479232,14,13,15
1780994101,11.24,74901584,5.30,448,1572864,171744,51,6060,4633,245760,2899968,14,13,15
1780994103,15.11,74923736,5.30,469,1572864,171840,55,5903,13734,0,1134592,14,13,15
1780994105,10.87,74958684,5.30,487,1572864,171744,57,7163,4443,0,23588864,14,13,15
1780994107,12.07,74959628,5.44,498,1572864,171648,62,5959,11539,0,16695296,14,13,15
1780994109,10.11,74950012,5.44,526,1572864,171552,64,14254,9114,0,1814528,14,13,15
1780994111,10.53,74979692,5.24,535,1572864,171456,68,8546,4835,0,2101248,14,13,15
1780994113,11.74,74953504,5.24,543,1572864,171360,69,9117,4640,139264,1277952,14,13,15
1780994115,10.10,74957344,5.24,556,1572864,171360,73,8404,6712,40960,17178624,14,13,15
1780994117,11.23,74947752,5.22,564,1572864,171552,73,8507,4332,0,15441920,14,13,15
1780994119,9.68,74918868,5.22,577,1572864,171648,81,14252,8568,0,1376256,14,13,15
1780994121,10.72,74925784,5.05,590,1572864,171552,83,9403,11619,0,2859008,14,13,15
1780994123,10.10,74882524,5.05,595,1572864,171840,85,9517,4154,0,196608,14,13,15
1780994125,10.80,74889152,5.05,603,1572864,171648,86,8060,4186,0,8228864,14,13,15
1780994126,10.35,74901152,5.04,623,1572864,171648,92,8807,5024,53248,26226688,15,13,15
1780994128,22.28,74978364,5.04,636,1572864,172032,93,13937,13733,0,2584576,15,14,15
1780994130,9.39,74962840,5.04,650,1572864,171936,98,8929,5831,0,1388544,15,14,15
1780994132,8.44,74956272,4.96,657,1572864,171936,101,7492,4026,0,2850816,15,14,15
1780994134,9.10,74970108,4.96,702,1572864,172128,102,10470,5778,417792,307200,15,14,15
1780994136,10.35,74970272,5.52,714,1572864,172032,106,8548,5548,0,17260544,15,14,15
1780994138,10.45,74966568,5.52,725,1572864,172032,107,12271,7591,0,15736832,15,14,15
1780994140,9.79,74985404,5.52,738,1572864,171936,113,8562,5708,20480,1339392,15,14,15
1780994142,12.50,74986316,5.56,447,1572864,172224,116,10537,7205,0,5480448,15,14,15
1780994144,10.21,74979256,5.56,455,1572864,172128,118,7079,6016,0,2301952,15,14,15
1780994146,9.60,75015320,5.36,465,1572864,172128,120,8147,4706,0,17805312,15,14,15
1780994148,9.18,74974796,5.36,478,1572864,172320,125,12603,7500,0,17485824,15,14,15
1780994150,10.03,74990184,5.36,496,1572864,172224,129,7608,4988,0,348160,15,14,15
1780994152,11.10,75046216,5.49,505,1572864,172512,134,7883,4584,0,3346432,15,14,15
1780994154,13.38,75055960,5.49,534,1572864,172608,135,8311,4429,0,2744320,15,14,15
1780994156,14.96,75283092,5.77,639,1572864,172512,139,7823,4725,0,44199936,15,14,15
1780994158,14.66,75005312,5.77,650,1572864,172512,145,7656,4510,0,28655616,15,14,15
1780994160,13.77,74985512,5.77,667,1572864,172608,152,14242,10935,0,144334848,15,14,15
1780994162,11.95,75040328,5.63,676,1572864,172800,150,7451,3992,0,24797184,15,14,15
1780994164,12.37,75031588,5.63,691,1572864,172800,153,10182,5029,0,225374208,15,14,15
1780994166,12.36,75000036,5.82,703,1572864,172800,150,8359,4772,0,4173824,15,14,15
1780994168,11.95,74964068,5.82,713,1572864,172608,154,11769,7249,4096,4124672,15,14,15
1780994170,12.05,74999628,5.82,731,1572864,172512,151,8047,5895,0,12877824,15,14,15
1780994172,11.49,74918472,5.59,740,1572864,172512,156,7758,4897,0,17412096,15,14,15
1780994174,12.40,74989680,5.59,751,1572864,172704,152,7637,6606,0,2281472,15,14,15
1780994176,13.84,75023404,5.78,768,1572864,172512,158,7752,4850,0,151552,15,14,15
1780994178,12.42,74967712,5.78,781,1572864,172704,152,12396,7480,28672,3473408,15,14,15
1780994180,13.37,75016732,5.78,796,1572864,172704,156,8796,5261,0,16543744,15,14,15
1780994182,12.22,75041784,5.72,805,1572864,172608,148,9485,4924,0,15990784,15,14,15
1780994184,10.86,75047116,5.72,815,1572864,172704,152,8191,4467,0,1523712,15,14,15
1780994186,12.52,74994676,5.82,827,1572864,172512,151,7839,5013,0,1679360,15,14,15
1780994188,11.05,74982188,5.82,836,1572864,172608,154,7871,4432,0,495616,15,14,15
1780994190,10.85,74975396,5.82,855,1572864,172608,144,15207,11965,0,925696,15,14,15
1780994192,12.12,75012144,5.76,866,1572864,172704,148,7826,4435,126976,1736704,15,14,15
1780994194,13.81,74993060,5.76,874,1572864,172704,146,9601,5323,0,22773760,15,14,15
1780994196,12.85,75003688,5.54,886,1572864,172704,149,8934,5232,0,720896,15,14,15
1780994198,12.30,75017496,5.54,895,1572864,172800,152,7354,4230,0,25317376,15,14,15
1780994200,11.64,75014272,5.54,916,1572864,172704,151,14348,15978,0,1548288,15,14,15
1780994202,13.16,75078928,5.49,928,1572864,172704,156,9602,6895,0,1298432,15,14,15
1780994204,11.05,75032604,5.49,501,1572864,172608,149,7589,6299,0,1748992,15,14,15
1780994206,13.20,75077152,5.45,513,1572864,172512,155,7567,4850,4096,15949824,15,14,15
1780994208,11.69,75054520,5.45,523,1572864,172512,153,7846,4688,0,548864,15,14,15
1780994210,12.81,74981676,5.45,539,1572864,172608,161,13776,8196,0,4014080,15,14,15
1780994211,14.44,74971120,5.58,552,1572864,172608,149,8742,4611,0,8077312,15,14,15
1780994213,14.57,74958576,5.58,558,1572864,172512,150,8228,4061,0,24195072,15,14,15
1780994215,15.20,74940092,5.58,568,1572864,172416,148,4027,1913,0,32403456,15,14,15
1780994217,13.84,74923692,5.45,581,1572864,172032,153,8137,4485,0,3493888,15,14,15
1780994219,15.05,74917264,5.45,601,1572864,172128,139,13783,10355,0,13426688,15,14,15
1780994221,14.00,74892892,5.41,612,1572864,172128,146,8710,5054,0,5242880,15,14,15
1780994222,15.61,74915996,5.41,626,1572864,172032,148,8799,4034,0,23932928,15,14,15
1780994224,14.88,74946896,5.41,636,1572864,172128,141,10000,4956,0,12279808,15,14,15
1780994226,13.82,74923900,5.46,644,1572864,172224,144,9304,4547,0,14553088,15,14,15
1780994228,15.22,74948860,5.46,655,1572864,172032,140,12567,7297,49152,5017600,15,14,15
1780994229,15.08,74945384,5.46,671,1572864,172128,147,9369,6069,0,16719872,15,14,15
1780994231,15.87,74886268,5.42,684,1572864,172128,137,9194,4671,0,5308416,15,14,15
1780994233,14.86,74894644,5.42,691,1572864,172128,140,4316,4040,0,10244096,15,14,15
1780994235,15.13,74924372,5.42,704,1572864,172224,137,7972,4219,0,10985472,15,14,15
1780994237,14.28,74934092,5.71,713,1572864,172128,142,8377,4512,0,14782464,15,14,15
1780994239,11.95,74993764,5.71,730,1572864,172032,137,14229,8152,4096,26255360,15,14,15
1780994241,12.13,74970584,5.81,743,1572864,172128,143,8897,5745,36864,9007104,15,14,15
1780994243,9.93,74960088,5.81,750,1572864,172032,146,7760,4328,0,3518464,15,14,15
1780994245,13.84,74949300,5.81,761,1572864,171840,143,8248,14411,270336,4644864,15,14,15
