unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780990923,39.29,88024264,13.32,392,1572864,178272,52,0,0,0,8912896,6,5,15
1780990925,44.46,88325172,22.83,411,1572864,178560,53,10286,47093,385024,243949568,12,11,15
1780990928,62.30,88686872,22.83,386,1572864,178944,52,10059,53865,364544,29106176,14,13,15
1780990930,25.90,89123736,21.56,442,1572864,178848,53,16960,43671,0,43790336,14,13,15
1780990932,21.47,89732920,21.56,478,1572864,178848,56,5753,10906,0,327680,14,13,15
1780990934,60.40,90731828,21.56,498,1572864,178656,55,5399,12072,0,34041856,14,13,15
1780990936,79.34,90491824,23.12,516,1572864,178752,61,6282,5171,0,47878144,14,13,15
1780990938,77.19,90408932,23.12,551,1572864,178464,61,12278,10731,28672,27418624,14,13,15
1780990940,22.88,90319096,22.23,559,1572864,178560,64,7968,4230,0,3432448,14,13,15
1780990942,22.81,90276004,22.23,567,1572864,178560,62,9359,4574,98304,40960,14,13,15
1780990943,19.49,90226556,22.23,574,1572864,178560,65,8391,4187,0,4542464,14,13,15
1780990945,21.77,90340340,21.25,585,1572864,178560,71,9782,12238,290816,97345536,14,13,15
1780990947,45.16,91176492,21.25,519,1572864,178560,72,8506,4613,0,180224,14,13,15
1780990949,73.20,92098736,21.25,528,1572864,178656,74,9027,6597,69632,12587008,14,13,15
1780990951,61.20,91795276,21.39,536,1572864,178752,77,8116,4352,4096,170106880,14,13,15
1780990953,44.72,91650804,21.39,545,1572864,178752,80,8840,4325,4096,180576256,14,13,15
1780990955,23.63,91589340,21.39,554,1572864,178944,84,10652,5268,0,30253056,14,13,15
1780990957,24.10,91455548,20.32,566,1572864,179040,89,11074,5622,315392,24072192,14,13,15
1780990959,34.48,91374628,20.32,587,1572864,179328,94,13814,13766,192512,43188224,15,14,15
1780990961,23.28,91322456,19.41,596,1572864,179232,97,11286,9952,32768,52011008,15,14,15
1780990963,23.76,91334064,19.41,623,1572864,179136,99,8518,5256,69632,5074944,15,14,15
1780990965,70.13,92077936,22.50,665,1572864,178944,104,8793,7831,0,20086784,15,14,15
