unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780988082,25.00,100973600,20.96,865,1572864,185088,64,0,0,0,0,6,5,15
1780988084,67.89,101601168,20.96,889,1572864,185280,63,9658,61712,159744,35246080,13,11,15
1780988086,78.22,101922960,28.65,948,1572864,185664,63,9108,39059,360448,370503680,14,13,15
1780988088,69.86,102126020,28.65,763,1572864,185664,59,10511,21356,16384,211316736,14,13,15
1780988090,71.13,98598344,30.60,795,1572864,185472,63,7169,28901,0,31162368,14,13,16
1780988092,84.84,98649192,30.60,815,1572864,185280,69,6127,10737,135168,55652352,14,13,16
1780988094,97.89,98880176,30.60,831,1572864,185472,71,5270,3840,0,43143168,14,13,16
1780988096,41.64,98720960,29.75,867,1572864,185472,74,6041,5524,65536,14229504,14,13,16
1780988098,27.63,98834104,29.75,895,1572864,185376,76,13091,10862,0,9515008,14,13,16
1780988100,25.93,99209328,28.57,905,1572864,185472,75,8870,6334,4096,164220928,14,13,16
1780988101,26.43,100071160,28.57,913,1572864,185184,78,8855,4687,4096,140042240,14,13,16
1780988103,82.54,101693428,28.57,924,1572864,185184,84,8925,11650,4096,131624960,14,13,16
1780988105,82.59,97955608,29.16,932,1572864,184992,88,11595,6050,16384,15917056,14,13,16
1780988107,97.60,97432752,29.16,942,1572864,184992,91,4436,1587,8192,2465792,14,13,16
1780988109,74.75,97377488,29.16,949,1572864,185088,90,12972,6599,0,8253440,14,13,16
1780988111,32.12,97533816,28.35,969,1572864,185376,96,9289,5475,0,39759872,14,13,16
1780988113,27.19,96588532,28.35,978,1572864,185376,96,9465,4554,0,9207808,14,13,16
1780988115,27.58,96468820,27.44,989,1572864,185952,103,8739,7053,4096,2883584,14,13,16
1780988117,50.84,96743384,27.44,1002,1572864,186144,104,9533,11456,192512,122560512,14,13,16
1780988119,70.51,97493260,27.44,1021,1572864,186144,110,15316,7931,114688,104017920,14,13,16
1780988121,50.69,97468560,27.57,582,1572864,186144,103,8749,4140,0,238350336,14,13,16
1780988123,65.02,96669756,27.57,603,1572864,186528,109,7910,4839,462848,50880512,15,14,16
1780988125,41.23,96490556,26.64,617,1572864,186624,114,9298,12113,4096,48939008,15,14,16
1780988127,29.37,96327628,26.64,636,1572864,186144,118,7655,4438,4096,3403776,15,14,16
1780988129,30.91,96194176,26.64,648,1572864,185952,117,12724,9939,4096,181555200,15,14,16
1780988131,27.05,96112208,25.95,657,1572864,185952,122,7858,4696,0,26042368,15,14,16
1780988133,89.75,96969088,25.95,665,1572864,186048,115,8497,5223,4096,24887296,15,14,16
1780988134,55.94,97153640,25.31,679,1572864,185856,122,10840,6269,0,129716224,15,14,16
1780988137,45.98,97159100,25.31,693,1572864,185952,127,8826,5466,4096,43106304,15,14,16
1780988139,48.54,96655596,25.31,704,1572864,185952,132,13287,7236,4096,44445696,15,14,16
1780988141,33.98,96602752,25.05,756,1572864,186048,133,10635,6939,69632,16846848,15,14,16
1780988143,30.26,96543220,25.05,784,1572864,186144,138,7985,4823,0,1404928,15,14,16
1780988144,42.51,96552144,24.80,798,1572864,186144,131,8828,7359,53878784,20332544,15,14,16
1780988147,69.00,96777364,24.80,808,1572864,186048,136,7964,5156,130879488,34316288,15,14,16
1780988149,71.64,96953288,24.80,826,1572864,186048,143,13821,7825,229318656,39768064,15,14,16
1780988151,71.59,95232524,26.74,835,1572864,185568,147,7991,4206,289398784,24838144,15,14,16
1780988153,78.36,95140528,26.74,845,1572864,185664,138,9594,4916,308203520,23801856,15,14,16
1780988154,34.72,95072404,25.64,857,1572864,185760,145,9307,39581,268066816,33320960,15,14,16
1780988157,43.47,95028580,25.64,876,1572864,185568,152,8535,5054,285765632,38260736,16,15,16
1780988159,43.43,95046536,25.64,900,1572864,185760,147,14374,13704,658554880,18006016,16,15,16
1780988161,35.17,94990420,25.03,912,1572864,185760,143,9379,5584,472858624,139403264,16,15,16
1780988163,31.47,95069504,25.03,960,1572864,185952,148,8071,4971,267390976,92848128,16,15,16
1780988164,31.41,95140320,24.30,972,1572864,185760,154,10917,6662,121647104,293302272,16,15,16
1780988167,30.43,95148448,24.30,985,1572864,185760,151,8226,5273,4096,183525376,16,15,16
1780988169,26.87,95219560,24.30,995,1572864,185952,149,13078,7866,86016,339828736,16,15,16
1780988171,26.50,91407632,23.56,1007,1572864,185952,154,8285,5435,0,76886016,16,15,16
1780988173,28.57,91386504,23.56,1020,1572864,186048,151,7615,4796,4096,46284800,16,15,16
1780988175,28.06,91384524,23.35,1033,1572864,186048,158,7661,7396,65536,2150400,16,15,16
1780988177,27.29,91486456,23.35,1046,1572864,186144,155,8288,5175,0,13885440,16,15,16
1780988179,26.14,91615452,23.35,1071,1572864,185952,158,12270,7208,102400,24272896,16,15,16
1780988181,25.85,91525600,22.36,545,1572864,186144,155,8396,4370,86016,2195456,16,15,16
1780988183,24.16,91410572,22.36,560,1572864,186240,162,8793,5057,0,24481792,16,15,16
1780988185,36.04,91291828,21.45,575,1572864,186048,170,8804,11041,278528,4829184,16,15,16
1780988187,26.54,91197860,21.45,593,1572864,186432,161,9285,4232,0,32362496,15,14,16
1780988189,25.07,91177548,21.45,606,1572864,186240,165,14241,10263,4096,97038336,15,14,15
1780988191,24.21,91194804,20.38,620,1572864,186240,162,9030,5489,0,25935872,15,14,15
1780988193,23.56,91174436,20.38,630,1572864,186336,167,8365,4863,0,12222464,15,14,15
1780988195,26.95,91114352,19.71,648,1572864,186144,163,9907,6517,102400,295092224,15,14,15
1780988197,24.88,90913912,19.71,660,1572864,186144,166,8513,4566,4096,116273152,15,14,15
1780988199,25.42,90912820,19.71,670,1572864,186240,160,12040,7170,0,1957888,15,14,15
1780988201,26.49,91082568,18.93,682,1572864,186144,165,9857,6994,4096,105390080,15,14,15
1780988203,26.30,91012984,18.93,694,1572864,186240,161,7902,4691,0,85671936,15,14,15
1780988205,28.00,90989844,18.61,709,1572864,186240,167,7601,7084,4096,19435520,15,14,15
1780988207,24.71,91059744,18.61,718,1572864,186144,158,9001,4896,0,1925120,15,14,15
1780988209,28.35,91255892,18.61,730,1572864,186048,163,14098,8689,0,34996224,15,14,15
1780988211,29.27,91206732,17.84,740,1572864,185952,154,8009,4490,0,20930560,15,14,15
1780988213,28.37,91165420,17.84,758,1572864,186144,158,8526,4805,8192,74571776,15,14,15
1780988215,31.53,91304472,17.70,785,1572864,186144,159,7627,5047,204800,90841088,15,14,15
1780988217,34.17,92053100,17.70,802,1572864,186336,164,7638,4588,0,54685696,15,14,15
1780988219,31.96,92129180,17.70,846,1572864,185952,157,13255,9743,0,34914304,15,14,15
1780988221,31.50,92386804,17.32,890,1572864,186048,163,7883,5358,0,33112064,15,14,15
1780988223,30.11,92716932,17.32,900,1572864,185856,159,8577,4402,8192,217886720,15,14,15
1780988225,30.26,92979012,21.54,921,1572864,186144,165,10633,12816,4096,159649792,15,14,15
1780988227,32.06,93465936,21.54,939,1572864,185952,156,8766,7707,0,21991424,15,14,15
1780988229,43.18,94235696,21.54,949,1572864,185664,161,12310,7314,0,13971456,15,14,15
1780988231,74.66,94678904,22.70,968,1572864,185856,155,8858,12074,0,34222080,15,14,15
1780988233,92.12,94431332,22.70,977,1572864,185856,159,8305,5112,192512,45051904,15,14,15
1780988235,60.34,94186540,22.32,992,1572864,185760,152,9588,7360,0,18976768,15,14,15
1780988237,27.09,94107868,22.32,1003,1572864,185856,157,7661,4952,0,42586112,15,14,15
1780988239,24.62,94037456,22.32,1013,1572864,185760,147,12960,7526,12288,58834944,15,14,15
1780988241,25.55,94132508,21.57,1025,1572864,185952,151,7819,4424,0,31514624,15,14,15
1780988243,45.79,94863436,21.57,640,1572864,185952,144,8032,4621,0,13647872,15,14,15
1780988245,76.80,95905244,23.05,654,1572864,185952,150,11980,6843,0,19124224,15,14,15
1780988247,57.43,95322772,23.05,665,1572864,185856,153,7733,4154,0,28663808,15,14,15
1780988249,45.09,94896452,23.05,675,1572864,186144,145,13033,9784,16384,368640,15,14,15
1780988251,25.92,94859212,22.40,691,1572864,186240,137,8386,5201,0,75673600,15,14,15
1780988253,25.54,94859368,22.40,705,1572864,186240,142,7693,4104,0,1511424,15,14,15
1780988255,25.55,94793732,21.41,720,1572864,186144,148,10820,7032,0,176128,15,14,15
1780988257,28.40,94746100,21.41,732,1572864,186144,141,7693,4859,12288,198164480,15,14,15
1780988259,72.62,95934468,21.41,747,1572864,186432,139,12965,7154,73728,288432128,15,14,15
1780988261,58.93,96143608,22.34,760,1572864,186336,146,10062,7421,0,3203072,15,14,15
1780988263,51.78,95751940,22.34,772,1572864,186240,150,8032,4605,0,32194560,15,14,15
1780988265,45.70,95412232,21.75,782,1572864,186336,146,8054,7612,4096,69804032,15,14,15
1780988267,25.63,95360088,21.75,795,1572864,186336,151,7662,4950,0,36810752,15,14,15
1780988269,26.08,95245756,21.75,810,1572864,186336,145,13150,7861,0,26423296,15,14,15
1780988271,25.94,95171420,21.37,818,1572864,186240,151,7600,4624,0,33873920,15,14,15
1780988273,84.69,95927992,21.37,830,1572864,186144,147,8832,5729,0,12582912,15,14,15
1780988275,53.11,96046120,23.02,846,1572864,186144,154,8394,5793,0,12566528,15,14,15
1780988277,46.25,96207704,23.02,857,1572864,186144,147,7447,4588,0,14479360,15,14,15
1780988279,41.06,95880504,23.02,872,1572864,186144,152,12804,10090,0,27869184,15,14,15
1780988281,28.32,95965628,22.14,886,1572864,186336,144,7924,5318,0,48988160,15,14,15
1780988283,28.65,96019264,22.14,905,1572864,186336,150,7698,4198,8192,25120768,15,14,15
1780988285,36.27,96016252,21.57,918,1572864,186528,148,10503,6468,0,111251456,15,14,15
1780988287,72.63,96231992,21.57,928,1572864,186624,153,7795,4864,0,34254848,15,14,15
1780988289,57.05,96220892,21.57,940,1572864,186432,149,12001,7326,0,12357632,15,14,15
1780988291,70.99,96190468,21.20,950,1572864,186432,154,8344,5414,8192,320671744,15,14,15
1780988293,50.30,96170420,21.20,969,1572864,186240,151,7934,5145,4096,143147008,15,14,15
1780988295,28.90,96181580,20.22,981,1572864,186336,155,9282,7874,0,1314816,15,14,15
1780988297,33.81,96223852,20.22,990,1572864,186144,147,8479,5288,0,14823424,15,14,15
1780988299,30.97,96151184,20.22,1005,1572864,186336,151,12863,7844,0,17702912,15,14,15
1780988301,29.39,96237976,19.81,1013,1572864,186144,149,7428,4370,4096,37703680,15,14,15
1780988303,29.83,96222104,19.81,1030,1572864,186048,154,9027,4947,8192,252047360,15,14,15
