namespace,phase,unix_ts
gsm-1,t0,1780849678.689229910
gsm-1,t_apply,1780849681.538577039
gsm-1,t_ready,1780849718.100149503
gsm-1,t_attached,1780849718.998656374
gsm-1,t_test0,1780849718.999898979
gsm-1,t_testN,1780849934.896370439
gsm-1,t_teardown,1780849986.503659137
gsm-2,t0,1780849678.691582008
gsm-2,t_apply,1780849681.638625764
gsm-2,t_ready,1780849718.091038073
gsm-2,t_attached,1780849718.997527680
gsm-2,t_test0,1780849718.998904385
gsm-2,t_testN,1780849782.084045883
gsm-2,t_teardown,1780849840.139503160
gsm-3,t0,1780849678.692516497
gsm-3,t_apply,1780849681.413062011
gsm-3,t_ready,1780849718.091264361
gsm-3,t_attached,1780849718.995361890
gsm-3,t_test0,1780849718.997549755
gsm-3,t_testN,1780849782.084495880
gsm-3,t_teardown,1780849838.996263153
gsm-4,t0,1780849678.696739144
gsm-4,t_apply,1780849681.469052899
gsm-4,t_ready,1780849718.091944325
gsm-4,t_attached,1780849718.996854951
gsm-4,t_test0,1780849718.998377606
gsm-4,t_testN,1780849838.105730913
gsm-4,t_teardown,1780849889.510040718
