unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780849679,22.22,53550092,10.76,532,1572864,159744,77,0,0,0,1200128,0,0,11
1780849681,63.52,53882508,10.76,592,1572864,159936,86,18628,176775,0,21852160,0,0,11
1780849683,75.84,53925500,17.18,683,1572864,160416,86,14663,120733,4096,27324416,0,0,11
1780849685,79.32,53804508,17.18,643,1572864,160704,78,10724,49416,0,50798592,0,0,11
1780849687,73.00,53578320,18.45,753,1572864,160608,82,15252,99247,45056,36122624,0,0,11
1780849688,36.49,53562048,18.45,804,1572864,160608,70,13819,72332,0,12005376,0,0,11
1780849690,22.98,53549860,18.45,875,1572864,160608,77,11535,43792,0,14581760,0,0,11
1780849692,23.76,53580656,17.93,944,1572864,160608,71,6020,4210,24576,2228224,0,0,11
1780849694,23.59,53580752,17.93,1078,1572864,160512,79,9026,16693,0,3870720,0,0,11
1780849696,23.45,53550624,17.93,1116,1572864,160512,80,7170,24343,0,88444928,0,0,11
1780849697,45.05,53084324,17.38,1175,1572864,160704,91,8653,10463,0,27357184,0,0,11
1780849699,32.10,53062424,17.38,1226,1572864,160800,99,15886,20172,0,3084288,0,0,11
1780849701,21.48,53042208,17.38,1271,1572864,160800,106,38206,10481,0,29077504,0,0,11
1780849703,21.62,53077248,16.87,1295,1572864,160704,121,202927,22770,0,819200,0,0,11
1780849704,23.36,53046104,16.87,1308,1572864,160704,122,198685,12439,0,25956352,0,0,11
1780849706,21.63,53048348,16.87,1328,1572864,160608,134,200842,8276,0,30957568,0,0,11
1780849708,23.97,52967056,17.84,1352,1572864,160608,141,206471,11399,0,151429120,0,0,11
1780849710,21.12,52999628,17.84,1362,1572864,160608,148,200891,12298,0,6778880,0,0,11
1780849711,20.32,52937516,16.81,1385,1572864,160512,162,112334,9806,0,1069056,0,0,11
1780849713,21.92,52920148,16.81,1404,1572864,160320,174,17608,6676,0,46587904,0,0,11
1780849715,20.15,52921624,16.81,1431,1572864,160320,192,18265,25696,0,630784,0,0,11
1780849717,20.20,52932524,16.02,979,1572864,160608,193,21663,14036,0,1232896,0,0,11
1780849719,22.95,52930184,16.02,1010,1572864,160608,201,22012,8364,4096,3592192,0,0,11
1780849721,28.86,52985376,16.02,1063,1572864,160416,217,21190,9126,0,14479360,0,0,11
1780849723,47.21,53062484,17.38,1092,1572864,160608,235,168761,23194,57344,6844416,0,0,11
1780849724,24.03,53013520,17.38,1118,1572864,160704,241,145317,11902,0,2420736,0,0,11
1780849726,23.01,53021992,17.38,1149,1572864,160800,258,147052,10221,4096,18014208,0,0,11
