unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780850788,67.86,56578820,21.38,1606,1572864,158592,116,0,0,0,0,0,0,11
1780850790,79.94,56162660,21.38,1680,1572864,159264,100,27135,314251,147456,216326144,0,0,11
1780850792,79.90,55866252,35.04,1880,1572864,160032,100,23764,187308,16384,48259072,0,0,11
1780850794,76.37,55886076,35.04,1525,1572864,160896,93,14748,105479,53248,68710400,0,0,11
1780850796,76.43,56185304,35.04,1643,1572864,160992,94,11307,46425,196608,19267584,0,0,11
1780850798,72.77,56233144,37.44,1795,1572864,161376,87,22909,146125,0,55967744,0,0,11
1780850801,85.79,56817352,37.44,1861,1572864,161376,90,19195,117570,811008,108269568,0,0,11
1780850803,82.42,57420260,44.69,1996,1572864,161664,91,21155,83565,53248,49442816,0,0,11
1780850804,83.52,57167032,44.69,2149,1572864,161568,97,11539,38106,61440,7340032,0,0,11
1780850806,46.09,57176856,44.69,2293,1572864,161568,101,12329,41439,24576,139132928,0,0,11
1780850808,28.19,57287820,42.07,2490,1572864,161376,115,14344,42645,0,7929856,0,0,11
1780850810,50.98,57265024,42.07,2702,1572864,161568,119,14189,52890,0,4444160,0,0,11
1780850812,44.52,57323032,41.19,2781,1572864,162048,138,69917,37935,0,987136,0,0,11
1780850814,77.90,57565260,41.19,2866,1572864,162048,158,165997,48315,0,12759040,0,0,11
1780850816,74.19,57513384,41.19,2964,1572864,162048,174,171813,25019,0,22708224,0,0,11
1780850817,76.33,57329964,40.69,2996,1572864,161856,183,168936,25013,0,688128,0,0,11
1780850819,58.52,57376504,40.69,3039,1572864,161856,204,180536,22657,0,6148096,0,0,11
1780850821,30.72,57392136,40.69,3074,1572864,162240,225,164393,11803,0,30052352,0,0,11
1780850823,36.98,57359444,38.63,3103,1572864,162144,238,33218,9520,0,118452224,0,0,11
1780850825,39.57,57256648,38.63,3144,1572864,162048,255,32201,12767,0,27533312,0,0,11
1780850826,32.20,57307072,38.63,3179,1572864,162144,265,29717,12454,0,6291456,0,0,11
1780850828,29.92,57304236,37.14,3219,1572864,162048,285,35469,56435,0,29499392,0,0,11
