namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-589b74d577-vpxr6,msc-test-stub,2,false,0
gsm-1,osmo-bsc-594654bd47-rvzgk,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-2mp7k,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-76d9565554-r5prb,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-869nn,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-k7g7s,mobile,0,false,
gsm-1,osmo-stp-768687f494-tbwf8,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-2-3-1-6xn5w,ttcn3,0,false,
gsm-1,virtphy-858665df6d-85nbl,virtphy,0,false,
gsm-2,msc-test-stub-589b74d577-dnkdk,msc-test-stub,2,false,0
gsm-2,osmo-bsc-594654bd47-qmzgw,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-5f8b9b86fc-zrpsg,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-76d9565554-gz2xw,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-9tpvk,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-zdptl,mobile,0,false,
gsm-2,osmo-stp-768687f494-hbs5p,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-2-3-1-c2622,ttcn3,0,false,
gsm-2,virtphy-5875655b57-6b87d,virtphy,0,false,
gsm-3,msc-test-stub-589b74d577-4kxq2,msc-test-stub,2,false,0
gsm-3,osmo-bsc-594654bd47-8ljdw,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-5f8b9b86fc-cn54t,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-76d9565554-tf4bh,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-lbsxm,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-z77x4,mobile,0,false,
gsm-3,osmo-stp-768687f494-q4tzf,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-2-3-1-87g76,ttcn3,0,false,
gsm-3,virtphy-5796494ccd-zvv4p,virtphy,0,false,
gsm-4,msc-test-stub-589b74d577-22ph5,msc-test-stub,2,false,0
gsm-4,osmo-bsc-594654bd47-gzkx2,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-5f8b9b86fc-zwndk,osmo-bts-virtual,0,false,
gsm-4,osmo-hlr-76d9565554-w9nj7,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-smf6w,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-6l66z,mobile,0,false,
gsm-4,osmo-stp-768687f494-nmz8z,osmo-stp,0,false,
gsm-4,ttcn3-tc-26-2-3-1-jxrmt,ttcn3,0,false,
gsm-4,virtphy-6fd55fff79-vgbk5,virtphy,0,false,
gsm-5,msc-test-stub-589b74d577-pq2js,msc-test-stub,2,false,0
gsm-5,osmo-bsc-594654bd47-92v7z,osmo-bsc,0,false,
gsm-5,osmo-bts-virtual-5f8b9b86fc-sfw5s,osmo-bts-virtual,0,false,
gsm-5,osmo-hlr-76d9565554-g2cpm,osmo-hlr,0,false,
gsm-5,osmo-mgw-8c8fc67d6-vvps9,osmo-mgw,0,false,
gsm-5,osmo-mobile-59d8d55bb5-xvw2h,mobile,0,false,
gsm-5,osmo-stp-768687f494-rklpt,osmo-stp,0,false,
gsm-5,ttcn3-tc-26-2-3-1-grpr6,ttcn3,0,false,
gsm-5,virtphy-78b76c84b4-qr48p,virtphy,0,false,
gsm-6,msc-test-stub-589b74d577-vtqv9,msc-test-stub,2,false,0
gsm-6,osmo-bsc-594654bd47-n82sf,osmo-bsc,0,false,
gsm-6,osmo-bts-virtual-5f8b9b86fc-d5vq7,osmo-bts-virtual,0,false,
gsm-6,osmo-hlr-76d9565554-6w49h,osmo-hlr,0,false,
gsm-6,osmo-mgw-8c8fc67d6-djzgd,osmo-mgw,0,false,
