namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-589b74d577-f4r8l,msc-test-stub,7,false,137
gsm-1,osmo-bsc-594654bd47-g7zwt,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-4gbm2,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-76d9565554-f4cxl,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-4cncg,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-hnstw,mobile,0,false,
gsm-1,osmo-stp-768687f494-9gvtq,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-2-3-1-zsvpm,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-2-sdvgj,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-3-8bpgt,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-4-5dh75,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-5-vz7m8,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-6-94thq,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-7-whzpq,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-8-zx5vg,ttcn3,0,false,
gsm-1,virtphy-858665df6d-zgg65,virtphy,0,false,
