namespace,phase,unix_ts
gsm-1,t0,1780655503.629879387
gsm-1,t_apply,1780655506.139939919
gsm-1,t_ready,1780655543.195149052
gsm-1,t_attached,1780655543.508746059
gsm-1,t_test0,1780655543.509905786
gsm-1,t_testN,1780655812.792132943
gsm-1,t_teardown,1780655864.426910478
gsm-2,t0,1780655503.630307672
gsm-2,t_apply,1780655506.129374587
gsm-2,t_ready,1780655543.192163492
gsm-2,t_attached,1780655543.506365532
gsm-2,t_test0,1780655543.507675458
gsm-2,t_testN,1780655949.155107583
gsm-2,t_teardown,1780655994.586731232
