unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780655504,35.00,66956204,18.72,574,1572864,158688,83,0,0,0,0,0,0,11
1780655506,56.54,67252072,18.72,632,1572864,159456,87,10740,91568,167936,20885504,0,0,11
1780655508,77.35,67301992,18.72,658,1572864,159936,89,12780,75091,147456,39698432,0,0,11
1780655509,53.00,67323548,24.51,760,1572864,159936,66,12924,50425,45056,42983424,0,0,11
1780655511,45.21,67702640,24.51,897,1572864,159840,72,8987,57851,0,3526656,0,0,11
1780655513,92.61,68659964,27.11,948,1572864,159936,76,5712,10634,0,5226496,0,0,11
1780655515,40.38,68624008,27.11,978,1572864,159744,82,1810,8530,4096,90812416,0,0,11
1780655517,38.82,68542836,27.11,1018,1572864,159552,76,10589,6992,0,11169792,0,0,11
1780655519,30.78,68414212,26.14,1073,1572864,159552,77,11314,9657,0,53342208,0,0,11
1780655520,30.39,68397748,26.14,1099,1572864,159936,75,9698,18029,4096,258506752,0,0,11
1780655522,22.60,68336484,26.14,1125,1572864,159744,85,8480,3762,0,60092416,0,0,11
1780655524,21.19,68151248,25.09,1157,1572864,159648,90,10842,18996,0,20774912,0,0,11
1780655526,61.31,68259608,25.09,1176,1572864,159552,93,14484,7074,4096,11001856,0,0,11
1780655528,59.28,68270008,27.64,1194,1572864,159456,95,15692,8034,0,2015232,0,0,11
1780655529,78.24,68170556,27.64,1207,1572864,159264,97,10980,5401,0,6012928,0,0,11
1780655531,47.58,68052260,27.64,1217,1572864,159456,100,12096,6999,28672,47824896,0,0,11
1780655533,23.72,68209920,26.31,1234,1572864,159552,101,6071,2961,0,3403776,0,0,11
1780655535,23.97,68349560,26.31,1269,1572864,159552,110,10560,9056,8192,103923712,0,0,11
1780655537,22.27,68760224,26.31,1291,1572864,159648,121,10942,6706,16384,237146112,0,0,11
1780655538,23.21,64858740,25.01,1313,1572864,159744,127,16513,8645,4096,31039488,0,0,11
1780655540,26.91,65271584,25.01,1331,1572864,160128,132,10766,17544,0,4620288,0,0,11
1780655542,72.98,65684148,25.01,1346,1572864,160128,134,10719,5907,0,36044800,0,0,11
1780655544,79.07,65926716,25.97,1385,1572864,160320,148,35711,5559,0,48377856,0,0,11
1780655546,67.56,63464572,25.97,1424,1572864,160320,156,81527,6616,0,19763200,0,0,11
1780655547,23.70,62563096,25.97,1454,1572864,160416,163,80465,13444,32768,29818880,0,0,11
1780655549,23.59,62685088,24.61,1475,1572864,160224,164,80506,11712,0,2854912,0,0,11
1780655551,24.62,62991448,24.61,1555,1572864,160320,171,71798,3667,479232,8417280,0,0,11
1780655553,24.87,63499468,23.68,1582,1572864,160608,178,78060,5262,360448,47603712,0,0,11
1780655555,24.08,63559848,23.68,1600,1572864,160608,179,26911,4335,69632,30220288,0,0,11
1780655556,27.71,63973676,23.68,1624,1572864,160608,191,13999,7957,0,5115904,0,0,11
1780655558,27.82,63956968,22.74,866,1572864,160608,194,14166,8064,0,5672960,0,0,11
1780655560,25.53,64063232,22.74,885,1572864,160608,203,10036,5433,0,22560768,0,0,11
1780655562,26.22,64106484,22.74,906,1572864,160704,208,10244,5340,4096,6569984,0,0,11
1780655563,25.77,64222580,22.28,919,1572864,160800,209,9384,6653,0,15970304,0,0,11
1780655565,26.99,64226120,22.28,942,1572864,160896,214,11785,6938,20480,14458880,0,0,11
1780655567,27.09,64278260,22.28,965,1572864,160992,221,6193,2836,0,178200576,0,0,11
1780655569,25.92,64338348,21.62,986,1572864,160704,229,15975,9427,4096,197378048,0,0,11
1780655571,29.85,64334676,21.62,1001,1572864,160800,230,9643,4413,8192,115437568,0,0,11
1780655572,27.96,64496164,21.62,1020,1572864,160800,236,10182,5277,8192,123883520,0,0,11
1780655574,26.94,64455604,21.01,1042,1572864,160800,229,10483,5872,4096,93138944,0,0,11
1780655576,26.77,64591872,21.01,1064,1572864,160704,237,10263,5661,8192,108843008,0,0,11
1780655578,26.27,64589248,20.13,1090,1572864,160800,234,68671,10160,0,2064384,0,0,11
1780655580,26.41,64407612,20.13,1105,1572864,160800,239,79743,8083,4096,68120576,0,0,11
1780655581,24.86,64018632,20.13,1124,1572864,160608,245,77322,4944,8192,33857536,0,0,11
1780655583,25.73,64047912,19.32,1148,1572864,160704,244,78794,5274,0,3645440,0,0,11
1780655585,24.20,64028116,19.32,1166,1572864,160704,249,78769,2135,0,13103104,0,0,11
1780655587,23.82,64071376,19.32,1200,1572864,160608,244,90552,7427,0,6758400,0,0,11
1780655588,23.02,64095056,20.41,1219,1572864,160320,250,40246,8121,0,2539520,0,0,11
1780655590,27.38,64086976,20.41,1247,1572864,160320,252,35779,6652,0,16379904,0,0,11
1780655592,29.52,64071912,20.41,1264,1572864,160320,257,39603,13927,4096,33476608,0,0,11
1780655594,35.27,64024144,19.74,1286,1572864,160416,261,38127,14453,0,10903552,0,0,11
1780655596,23.69,64138420,19.74,1306,1572864,160320,261,19777,7032,4096,78974976,0,0,11
1780655597,28.47,64055204,19.74,1345,1572864,160608,274,10679,5679,4096,60518400,0,0,11
1780655599,40.25,64076352,23.28,1363,1572864,160896,253,17316,15449,0,14061568,0,0,11
