unix_ts,cpu_pct,mem_used_kb,load1,conntrack_count,conntrack_max,fd_used,tcp_tw,net_rx_bytes,net_tx_bytes,disk_read_bytes,disk_write_bytes,container_count,pod_count,inotify_watches
1780656619,46.43,76290204,23.00,1461,1572864,162432,116,4297,2665,0,172032,0,0,11
1780656621,70.04,76593052,23.00,1536,1572864,162720,117,11945,185472,114688,26279936,0,0,11
1780656623,78.14,76581244,24.92,1630,1572864,163200,98,19122,113053,425984,79814656,0,0,11
1780656625,79.25,76613308,24.92,1433,1572864,163296,99,12153,74970,1814528,151166976,0,0,11
1780656627,71.79,76719468,24.92,1520,1572864,163392,97,10692,88749,1064960,63889408,0,0,11
1780656629,34.97,76801644,24.29,1458,1572864,163488,102,12789,60173,4096,20344832,0,0,11
1780656631,30.65,76752512,24.29,1539,1572864,163488,106,8814,33526,49152,1953792,0,0,11
1780656632,30.98,76736528,24.29,1579,1572864,163488,109,5846,4484,49152,24170496,0,0,11
1780656634,33.09,76812672,23.79,1716,1572864,163392,111,7581,6601,12288,124264448,0,0,11
1780656636,35.08,76807808,23.79,1762,1572864,163584,120,8055,19086,0,9629696,0,0,11
1780656638,49.93,76882188,22.76,1817,1572864,163584,126,12859,32867,110592,5496832,0,0,11
1780656640,31.57,77133784,22.76,1901,1572864,163776,132,13500,8611,151552,14270464,0,0,11
1780656641,28.96,76930680,22.76,1926,1572864,163584,139,18852,25738,0,1921024,0,0,11
1780656643,29.58,76849872,21.74,1959,1572864,163680,149,26390,13283,0,3522560,0,0,11
1780656645,29.84,76848696,21.74,1981,1572864,163680,158,19325,12110,0,21929984,0,0,11
1780656647,29.27,76833328,21.74,1997,1572864,163680,159,23169,6562,20480,134180864,0,0,11
1780656649,28.72,76835472,21.68,2021,1572864,163680,175,27144,10361,0,10006528,0,0,11
1780656650,30.69,76833544,21.68,2038,1572864,163776,178,20491,5204,0,43458560,0,0,11
1780656652,26.26,76886540,21.68,2073,1572864,163776,197,19448,11221,0,5038080,0,0,11
1780656654,27.90,76908080,21.22,2100,1572864,164064,205,14837,6993,4096,23273472,0,0,11
1780656656,46.18,72669144,21.22,2126,1572864,163296,217,18269,33543,4096,41107456,0,0,11
1780656657,51.37,72758280,21.22,2144,1572864,163008,222,17829,6911,0,142479360,0,0,11
1780656659,40.67,74017020,21.93,2189,1572864,162912,224,20906,13964,0,174407680,0,0,11
1780656661,66.20,74081612,21.93,2243,1572864,163392,250,19323,16558,196608,149037056,0,0,11
1780656663,54.02,74447328,21.21,1255,1572864,163392,254,14595,12512,49152,12902400,0,0,11
1780656665,27.93,74445496,21.21,1287,1572864,163488,265,20302,8442,0,3964928,0,0,11
