namespace,pod,container,restarts,oom_killed,exit_code
gsm-1,msc-test-stub-589b74d577-fghqn,msc-test-stub,3,false,137
gsm-1,osmo-bsc-594654bd47-t9gpp,osmo-bsc,0,false,
gsm-1,osmo-bts-virtual-5f8b9b86fc-l8jf9,osmo-bts-virtual,0,false,
gsm-1,osmo-hlr-76d9565554-64hxn,osmo-hlr,0,false,
gsm-1,osmo-mgw-8c8fc67d6-fj5pn,osmo-mgw,0,false,
gsm-1,osmo-mobile-947867b85-6fhzv,mobile,0,false,
gsm-1,osmo-stp-768687f494-xx5sz,osmo-stp,0,false,
gsm-1,ttcn3-tc-26-2-3-1-9cdll,ttcn3,0,false,
gsm-1,ttcn3-tc-26-2-3-2-wcgnz,ttcn3,0,false,
gsm-1,virtphy-858665df6d-ksmt2,virtphy,0,false,
gsm-2,msc-test-stub-589b74d577-f7226,msc-test-stub,3,false,137
gsm-2,osmo-bsc-594654bd47-mv2qz,osmo-bsc,0,false,
gsm-2,osmo-bts-virtual-5f8b9b86fc-kk5p6,osmo-bts-virtual,0,false,
gsm-2,osmo-hlr-76d9565554-l9qns,osmo-hlr,0,false,
gsm-2,osmo-mgw-8c8fc67d6-nlt9f,osmo-mgw,0,false,
gsm-2,osmo-mobile-6b5b79f646-4pxxw,mobile,0,false,
gsm-2,osmo-stp-768687f494-q2kdn,osmo-stp,0,false,
gsm-2,ttcn3-tc-26-2-3-1-bsjq8,ttcn3,0,false,
gsm-2,ttcn3-tc-26-2-3-2-rz922,ttcn3,0,false,
gsm-2,virtphy-5875655b57-g7h56,virtphy,0,false,
gsm-3,msc-test-stub-589b74d577-6nmsv,msc-test-stub,3,false,137
gsm-3,osmo-bsc-594654bd47-ggcks,osmo-bsc,0,false,
gsm-3,osmo-bts-virtual-5f8b9b86fc-8cb72,osmo-bts-virtual,0,false,
gsm-3,osmo-hlr-76d9565554-75xdl,osmo-hlr,0,false,
gsm-3,osmo-mgw-8c8fc67d6-sz9zc,osmo-mgw,0,false,
gsm-3,osmo-mobile-856799fbbc-rmdc4,mobile,0,false,
gsm-3,osmo-stp-768687f494-m6l2h,osmo-stp,0,false,
gsm-3,ttcn3-tc-26-2-3-1-4x8jv,ttcn3,0,false,
gsm-3,ttcn3-tc-26-2-3-2-lsdbj,ttcn3,0,false,
gsm-3,virtphy-5796494ccd-vcglh,virtphy,0,false,
gsm-4,msc-test-stub-589b74d577-fkpn8,msc-test-stub,3,false,137
gsm-4,osmo-bsc-594654bd47-z48k7,osmo-bsc,0,false,
gsm-4,osmo-bts-virtual-5f8b9b86fc-n66d4,osmo-bts-virtual,0,false,
gsm-4,osmo-hlr-76d9565554-sgjvq,osmo-hlr,0,false,
gsm-4,osmo-mgw-8c8fc67d6-j4rzp,osmo-mgw,0,false,
gsm-4,osmo-mobile-74f4b9d576-jfnrt,mobile,0,false,
gsm-4,osmo-stp-768687f494-2vnpz,osmo-stp,0,false,
gsm-4,ttcn3-tc-26-2-3-1-qdhtw,ttcn3,0,false,
gsm-4,ttcn3-tc-26-2-3-2-q6t2x,ttcn3,0,false,
gsm-4,virtphy-6fd55fff79-4ntb9,virtphy,0,false,
